,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999982,-0.11205979926757809,-0.0537482906398364,-0.4555390216105218,-0.4537875663936815,-0.45203969644130637,-0.4590461761633238,-0.4720640405513681,-0.476646885490637,-0.4606909915007409,-0.427189812243209,-0.3951339376103542,-0.35881709756087254,-0.32771317357756113,-0.29337467223673536,-0.25835091335670646,-0.2266640294444857,-0.1896519898941277,-0.14878236992622293,-0.13155167626855768,-0.11765080870822799,-0.08819875445810706,-0.06116858502456519,-0.02442419698454092,0.001376584436089879,0.018826312274691726,0.0323442378845377,0.03602325377742699,0.040195881302746324,0.036755171549750526,0.03854594905405984,0.04532771386846852,0.04014744771193942,0.04360963260188193,0.05268220548537285,0.03742911270237784,0.008949916853054183
rotD50,"AvgSA[0,3]",3.0,-0.1120597992675781,0.9999999999999971,0.936762896540957,0.7170599539500836,0.702823443835343,0.6593143993377515,0.6319445973908394,0.6010781133448834,0.5941263025327621,0.6267114516010581,0.6757803115311942,0.7204097226383315,0.7625011321297419,0.7973110919572325,0.8199232505611698,0.8407078653923156,0.8591188041652985,0.8892472891236715,0.9093776565142933,0.9148055818418481,0.9198462390915986,0.9293074448016794,0.9352600572157213,0.9392162634247253,0.9405559120400837,0.9394312142223499,0.9383121562767465,0.934763312159349,0.9264430404116396,0.906737632098604,0.8650670744097279,0.8454611252828178,0.8211501233131533,0.8084929064794218,0.7786417890458142,0.7779604659729387,0.7836402147887166
rotD50,"AvgSA[0,6]",6.0,-0.0537482906398364,0.9367628965409569,0.9999999999999942,0.6236636912633774,0.6135035113295876,0.5784655678048801,0.5542850953721109,0.5199696572117559,0.5039854565458428,0.520020332578944,0.5585921678468564,0.5947009706186814,0.6331333511515337,0.6694282899326697,0.6959284695349596,0.7202970092569926,0.7428702872935937,0.7863325835086964,0.8126156512737538,0.8203792976644131,0.827458393876151,0.8428361902151995,0.8518439335554887,0.8681322159048197,0.8791285760251558,0.8844892365868087,0.8918446396036755,0.8959575413615797,0.9153484778872796,0.9273998343677342,0.9370061022222521,0.9295472963265415,0.9451894161889743,0.9359775082767027,0.9158870106339044,0.906158099281303,0.9006765952219394
rotD50,PGA,None,-0.4555390216105218,0.7170599539500836,0.6236636912633774,1.0000000000000013,0.9968752883028724,0.9803510756433464,0.9710834230527482,0.9598637851523487,0.9549683481562519,0.9515478056061486,0.9425501769151485,0.9245150130095188,0.9030442922579889,0.8796828637335524,0.8535949963184573,0.829007799143695,0.8055516611055082,0.7648971692074695,0.7278070570772506,0.7087922641841164,0.6927215783001937,0.6634330738111037,0.637631174359617,0.5984153769182766,0.5707053019462014,0.5508071907469418,0.5335424449881873,0.5235809033662707,0.5058514613257667,0.4861739382119297,0.4611159291560162,0.4570579615435472,0.45596033104175104,0.4621467905264739,0.4570986409994453,0.4800208135472311,0.5086189561738911
rotD50,SA,0.025,-0.45378756639368145,0.7028234438353431,0.6135035113295877,0.9968752883028724,1.0000000000000007,0.9881180853968614,0.9786964711832992,0.9646707072707278,0.9545997051853157,0.9454830704635262,0.9330615747181233,0.912469273985776,0.8895345130150908,0.8652042685130736,0.8382911392877547,0.8135059018294082,0.7897730715975547,0.7488379903041414,0.7118408517947237,0.6928381896932365,0.6769301358294099,0.6477119989085992,0.6219665955263437,0.5830276650646005,0.5556625116566895,0.5359901420634979,0.5191076252345763,0.5094019653338145,0.4920821353477219,0.4733232025185971,0.44901235940950096,0.4451925848784638,0.44618369415290304,0.452715384703686,0.4495528843922517,0.4725911710219876,0.5010134427110833
rotD50,SA,0.04,-0.45203969644130637,0.6593143993377515,0.5784655678048801,0.9803510756433464,0.9881180853968614,1.0000000000000004,0.9921178576601706,0.9727558826782419,0.9497865245176036,0.9248206064721488,0.9021731179801066,0.8746938248760154,0.8469110774495169,0.8199573729539671,0.7915496799790618,0.765873130122349,0.7415554585377757,0.7007691750680486,0.663601404970301,0.6447338902576799,0.6292451869259786,0.6002712460165398,0.575137764441633,0.5372198967679193,0.5108996039568808,0.4920604043131937,0.4763611686353177,0.46720206800815434,0.45165792107821395,0.435819005037018,0.413712342685446,0.4107485474742336,0.4145976174446879,0.4215980593280284,0.421820326521463,0.4443507280521609,0.47222710078491115
rotD50,SA,0.05,-0.4590461761633238,0.6319445973908393,0.5542850953721109,0.9710834230527482,0.9786964711832992,0.9921178576601705,1.0000000000000007,0.9821825106338106,0.9537183619912807,0.9188947210546936,0.8893251311210865,0.8566770705251593,0.826222502040088,0.7968335661380715,0.766583484905447,0.7396893995739973,0.7143731861029441,0.6725093919664277,0.6346651128835187,0.6157305693758053,0.599831768339858,0.5708771138577174,0.5456067399616162,0.5080724585533763,0.4819505793742526,0.4633635498327353,0.4481312086340014,0.43909221455717523,0.4251276151407182,0.4105265213379042,0.38953525095522223,0.38655017617974297,0.3917609198444945,0.3988359330501687,0.39988013698013714,0.42209380407323444,0.4500088690448042
rotD50,SA,0.07,-0.472064040551368,0.6010781133448835,0.5199696572117559,0.9598637851523487,0.9646707072707277,0.9727558826782418,0.9821825106338106,0.9999999999999987,0.9714250817943398,0.92603657110734,0.8867530251519353,0.8472287151619025,0.8119287420752471,0.7784911990992841,0.7453698670526234,0.7160613643945795,0.689403152617059,0.6452805605068549,0.605539621365323,0.5860709657149659,0.5698423358401269,0.5406498972486048,0.5150093425660431,0.47681560442017756,0.4500170201151022,0.43084168497945097,0.4157254922009357,0.4066082618034081,0.39286077874993636,0.37848403306335304,0.3583761832280521,0.35541002499835317,0.3597394933845514,0.3664449681633191,0.36589261698716197,0.3878051835406547,0.41567625178195383
