,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.1977950602313141,-0.21328294608379406,-0.5059329741025782,-0.5054072761214615,-0.5029518675262756,-0.5060919256132203,-0.518609743669441,-0.529594623386706,-0.5017172043679922,-0.46737778575755456,-0.4224466763302202,-0.39212308511002314,-0.357086911260759,-0.3472176467893395,-0.34024204836736405,-0.320814094769434,-0.303594240020466,-0.26934253190996527,-0.26113346769023027,-0.2475825772709727,-0.22155269264972124,-0.20417285302130622,-0.16957594389840874,-0.17463582719623766,-0.21553230512829927,-0.2365568017963556,-0.2684890596664214,-0.22892757692670423,-0.2148751890064931,-0.23638445594253935,-0.24606262214904087,-0.2099431296519632,-0.22129913209299407,-0.2305798761072428,-0.24924460798825526,-0.25744493124950896
rotD50,"AvgSA[0,3]",3.0,-0.19779506023131418,1.0,0.969856920045542,0.8087101166065709,0.7914994717606317,0.7521526184358491,0.7348849592282639,0.6881723549217476,0.678626684532686,0.7192458265347009,0.7817677963111829,0.8307184000633037,0.866655772623143,0.8914957338434832,0.9103093994181003,0.9266599097909098,0.9425133322085341,0.9501622624586133,0.9538211364144816,0.956924236912345,0.9560424956905389,0.9581556269949247,0.96061625177488,0.9615073285919331,0.9605849100092553,0.9738124007105365,0.9767010282805747,0.9694400531366556,0.9569813492318506,0.947965437729563,0.938409146849784,0.9315320185579529,0.9175196429492416,0.9068531314824184,0.8722071431700266,0.8507081505770755,0.8251700100172976
rotD50,"AvgSA[0,6]",6.0,-0.21328294608379406,0.9698569200455419,1.0,0.7455498320204849,0.7267766190166057,0.6895722579241639,0.6727760682701357,0.6256855096245505,0.6114216135833834,0.6429912995637812,0.6980710683231962,0.7402711916323004,0.779615092485017,0.8036026312952848,0.8359113312541319,0.8578384540859735,0.8689216116966029,0.8720540612227582,0.8795766852635613,0.8877439348457555,0.8887773689032785,0.8921585112111733,0.9019235942077737,0.9101778213760389,0.9143565825311311,0.9405505804966999,0.9539510610806828,0.9556495699268204,0.953859446120781,0.9584053579916393,0.9584888703152096,0.9575434266231694,0.9508773130092899,0.945309304451264,0.9467632099858251,0.9249722432491818,0.9003382658977105
rotD50,PGA,None,-0.5059329741025782,0.8087101166065709,0.7455498320204849,1.0,0.9991736529892915,0.9894979996738775,0.9847534671671528,0.9735046174823814,0.9720483407392017,0.9796307131260938,0.9827975700885347,0.9671344065329803,0.9512638160448362,0.9320058886942706,0.9261423591830781,0.9150650275296904,0.8960094913384693,0.8536272314652648,0.8210259899166078,0.8071745224352861,0.7943601556207206,0.7752163020560131,0.7559935553651761,0.7328848007727363,0.7121286584707981,0.7419280910345701,0.7613038700824489,0.7714854341322397,0.7463577804708211,0.731314362396393,0.7454533401149228,0.7523511739057808,0.7667939629747942,0.7749696731809633,0.7290231686462063,0.7494447953084127,0.7583022460178187
rotD50,SA,0.025,-0.5054072761214615,0.7914994717606316,0.7267766190166058,0.9991736529892916,1.0,0.9940146649989603,0.9901371073685928,0.979557749844693,0.9773947241277592,0.9818310307284923,0.9819417982054296,0.9624770893505614,0.9435719118386076,0.9226256557114679,0.9160117770478733,0.9046036949098908,0.884339172709497,0.8396129956828167,0.8057119822441902,0.7912911086797106,0.7784204340437052,0.7585874643076489,0.7389814768195658,0.7165762283837872,0.6943523931628311,0.7239518395840387,0.7438828696506111,0.7548640128143381,0.7296083862344709,0.7138712660056266,0.7296360340648719,0.7374206334331312,0.7545545559215899,0.7635691791602924,0.7153626063898751,0.7379123332478847,0.7487710283409023
rotD50,SA,0.04,-0.5029518675262757,0.7521526184358491,0.689572257924164,0.9894979996738776,0.9940146649989603,1.0,0.9976452465307919,0.9899213966089752,0.9838613735237222,0.9798750206231194,0.9689533373341787,0.9394600969544644,0.9148253091926454,0.8909004553671369,0.8848859703174148,0.8743965578496025,0.8523699715673132,0.8038963946287173,0.7700802017999707,0.7553701129236831,0.7432347648102605,0.7231380624637015,0.7036440895518062,0.6822799141343662,0.6566480021202507,0.686966290164005,0.7093708068776757,0.7219546535761897,0.6945358877563352,0.6750628907085745,0.6957815863129412,0.7065304448204295,0.7286873497421134,0.7427473052886407,0.6943584457762636,0.7176188477148054,0.7320576192608255
rotD50,SA,0.05,-0.5060919256132203,0.7348849592282638,0.6727760682701357,0.9847534671671528,0.9901371073685927,0.9976452465307918,1.0,0.9931133438570442,0.986349004574798,0.977338474156043,0.9637733184937166,0.9309032642001012,0.9048574116992554,0.8790867014003027,0.8729922159447275,0.8620448011094761,0.8398855026071446,0.7908454331821014,0.7574682315659805,0.7429088742146825,0.7304903365351154,0.7087016566348375,0.6890686261933979,0.6681188700261236,0.6413450848733354,0.6708781636751905,0.6934401978193819,0.7064728157728555,0.6775624912697724,0.6562120430386663,0.6790825733293266,0.691373805796019,0.7137104694883046,0.7287175223665846,0.6807763759216745,0.7068346174257304,0.7229076085760623
rotD50,SA,0.07,-0.518609743669441,0.6881723549217476,0.6256855096245506,0.9735046174823814,0.9795577498446929,0.9899213966089752,0.9931133438570442,1.0,0.9932037498450079,0.9779097348429644,0.9528347798486768,0.9100354027113405,0.8788193626684098,0.8482092228351039,0.8396712321522892,0.8263111968712852,0.8019685319000526,0.7520087041276391,0.7168096451648789,0.7006116574935468,0.6869260405205682,0.666150250164685,0.6449132626831073,0.6208429029690696,0.5930508227999077,0.6257211832027137,0.6510658622758653,0.6641581037274169,0.6331148271628656,0.6096114828137308,0.6351818897200449,0.6478136776505117,0.6706219114144766,0.6899696388959042,0.6494210570874334,0.677157076473554,0.6958789310187755
