,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999999,-0.10805291015700133,-0.08588839731321599,-0.4655155915222094,-0.4581497004829098,-0.4467709361540138,-0.4562342909314042,-0.470851497992085,-0.48717674606783146,-0.47078416893984215,-0.4416591685445695,-0.40852172574531004,-0.3849959087077951,-0.35047613248127657,-0.3330325856571511,-0.31979949469594704,-0.30129711550398997,-0.27548338752545315,-0.2367773737704652,-0.22031265372806094,-0.19999754143157691,-0.1737804059262894,-0.1512038735970859,-0.1188437191394812,-0.10200904376678949,-0.10731933053790083,-0.10042977746011066,-0.10449023634535043,-0.06970834411671864,-0.03187188775419813,-0.04334670613667236,-0.053192231578515874,-0.03264194789793439,-0.03238137999680942,-0.03435834300940818,-0.05288017355200764,-0.058927363823491896
rotD50,"AvgSA([0, 3])",3.0,-0.10805291015700129,0.9999999999999964,0.9200509031330345,0.7043247252623824,0.689524562907331,0.6541669664340868,0.6290596827422641,0.5882656359532304,0.562188155590025,0.5680636738748368,0.6279824107799273,0.6673137957930553,0.7105271157264098,0.7494174376158828,0.7781934648657304,0.8050960590397369,0.8314037517883751,0.8725783565662424,0.8976798646997752,0.9111199772471049,0.9166580019304744,0.9301379343865099,0.9380436484484584,0.9433037797178166,0.9397782803727627,0.9394484234207217,0.9327061567084731,0.9220461237508449,0.9205656265602907,0.9375510891171195,0.9123507159335021,0.8994652532099184,0.8858518948069869,0.8776373174230265,0.8051909395882129,0.7867738966190588,0.7603333910315798
rotD50,"AvgSA([0, 6])",6.0,-0.08588839731321596,0.9200509031330345,1.0000000000000036,0.662759008596048,0.6486707266564242,0.6278183020759317,0.6065941174673315,0.5715151400464192,0.5299740274327631,0.5175623852969093,0.5630702608433401,0.5776710584007375,0.6061426034635795,0.6327145553433627,0.6691330076725854,0.6947858575127746,0.7187030073726459,0.7563026318642807,0.7837375858909154,0.7968048054109286,0.804830118827318,0.8173312347559558,0.8258737513774417,0.833841069672076,0.8389432088994144,0.8498339391021256,0.8597017068336982,0.8636663695932485,0.8855803467059014,0.9105623408950102,0.9198972950765786,0.9258703413630328,0.9375559120604627,0.9340182217311159,0.9450746875002409,0.9239868954858311,0.8966966407105835
rotD50,PGA,None,-0.4655155915222094,0.7043247252623824,0.662759008596048,0.9999999999999991,0.9972130187518788,0.9834989506825698,0.9790795136944028,0.9703480225787845,0.9670222905545843,0.9659542790522297,0.9682605076774656,0.9560610285924525,0.9409313773747707,0.9221164067017819,0.9128598376467487,0.8978986009485864,0.8778992618554152,0.8281635780066383,0.787975602268569,0.7687135063925002,0.7531660520716363,0.7338021171158503,0.7134619503644974,0.683202241681576,0.6539164836149756,0.658905368552135,0.6597368005187011,0.6588544235087529,0.6147465569142743,0.5708290003788385,0.5812188254413536,0.5907879116769424,0.5854856013715467,0.5880735859543487,0.5853286792897442,0.6060198525130897,0.6097280081942433
rotD50,SA,0.025,-0.4581497004829098,0.689524562907331,0.6486707266564242,0.9972130187518788,0.9999999999999986,0.9908539188963716,0.9847613811801966,0.9738977083796155,0.9687397791902793,0.9642645423476227,0.9643278712205448,0.949305456911349,0.9316870232015299,0.9108378544430314,0.901041239483289,0.8858002179509523,0.8645697396208075,0.8129683943400793,0.7724580793770423,0.7527255535915449,0.7379009900256905,0.7178903628969884,0.6976924097126092,0.6672795959735222,0.636961094766041,0.643790135660258,0.6450830420964117,0.6458319322382474,0.6021223798349988,0.5596550663431296,0.5732894707917848,0.58464386855233,0.5802333981430157,0.5831602031057175,0.5792127044828753,0.600005752335491,0.6046547935978576
rotD50,SA,0.04,-0.44677093615401386,0.6541669664340869,0.6278183020759317,0.9834989506825699,0.9908539188963718,0.9999999999999987,0.9933370491565813,0.9809217544152824,0.9690579925355893,0.9564721856688069,0.9482780737977718,0.9236261396263288,0.9003155913777026,0.8755686192158496,0.865041339158158,0.8493024830083511,0.8264766411882465,0.7718021856682905,0.7300485092915951,0.7102195140436808,0.6967390184950619,0.6774263847260238,0.6585074375616032,0.6285152319676609,0.5975446395087652,0.6058396310224352,0.6103753535792471,0.6135959614541645,0.5703003093192545,0.5321209946287757,0.5523715041855998,0.5674470583991907,0.565772160458063,0.5715228190966899,0.5758438005486638,0.5957829190265178,0.6016342001486423
rotD50,SA,0.05,-0.4562342909314043,0.6290596827422643,0.6065941174673316,0.9790795136944029,0.9847613811801967,0.9933370491565813,0.9999999999999981,0.9866639249363899,0.9733324534546361,0.955499232869769,0.9438414814295576,0.915991850878368,0.890611310759663,0.8636749835800819,0.8515148703078296,0.8345341545651339,0.8111875087909699,0.7542508579076206,0.7121952857254841,0.6916006740523992,0.6769731899891578,0.6575090383182928,0.6387293125337613,0.6087570715632422,0.5771020290649034,0.5840584147427159,0.5892655873003846,0.5915843329943887,0.5470124816182247,0.5065582960812607,0.5277705492531521,0.5438722284624942,0.5435750853944815,0.5521857607224848,0.5598943176841592,0.5810274201359215,0.5870886663808662
rotD50,SA,0.07,-0.470851497992085,0.5882656359532306,0.5715151400464193,0.9703480225787845,0.9738977083796155,0.9809217544152825,0.9866639249363899,0.9999999999999989,0.98691682717151,0.9645664935585038,0.9413992609979744,0.9037387156651965,0.8734441911646124,0.840018766668191,0.8241400260037609,0.803378250712428,0.7769227570302343,0.7181020397513252,0.6731649929514615,0.6514129364925946,0.6355389931671751,0.6149693130256594,0.5958416775825901,0.5647223387639115,0.5319278344885848,0.5386108729463251,0.5439122488235566,0.5456157980641103,0.5016389720639827,0.4620092046141348,0.48827531268187896,0.5046949447073567,0.5018687981164999,0.5139454406405927,0.5287527004726172,0.5533418806936469,0.5640132880095222
