,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.43967541283202694,0.7987435516926695,0.7178294541028845,0.9100366618284539,0.9045116663192336,0.8809431937400147,0.8709324743640922,0.8464593319785855,0.8346221815392377,0.8713795823271686,0.9096650766551263,0.9113751229522286,0.9127393499636783,0.9024259178306195,0.9018292189846439,0.8936530177673488,0.875588691930568,0.8540631365168312,0.8308579812986752,0.8217291980105724,0.8136143236592205,0.7993808418512041,0.7961080291154933,0.773355966941351,0.7666839841379186,0.7554973174396198,0.745839882112355,0.7462561171542584,0.7253380765610271,0.6926087857427466,0.7117697888355141,0.7094768812175186,0.7174644835013149,0.7204906905431003,0.6504128738473914,0.6596747399494032,0.6624485570817119
GM,RSD595,None,-0.4396754128320269,1.0,-0.026421811258190354,-0.021715303366555156,-0.27883844680507086,-0.2745220972183902,-0.25787109989647805,-0.273573554477261,-0.2518535596789919,-0.24672686087700374,-0.2652892581713901,-0.31533586184944057,-0.2834648804916097,-0.23607889751804415,-0.1900155281055594,-0.17874349654510355,-0.16265144978451906,-0.13143888134114756,-0.07410765778506832,-0.050912248678284124,-0.04379496769816874,-0.03507990004123812,-0.02159699112038926,-0.016077940988586965,0.013097094206837535,0.01894312759143931,0.013628590768116159,0.012314319642845599,0.010398454178753536,0.016831495946255114,0.028511275365909427,-0.0013978836622863683,-0.015404787399671516,-0.1512125431458698,-0.16574917865275343,-0.08773313279651171,-0.13680154149403195,-0.18053682840630236
rotD50,"AvgSA([0, 3])",3.0,0.7987435516926695,-0.026421811258190365,1.0,0.9636028065985693,0.835945155104712,0.8305237986371695,0.8019884387853011,0.7741138049849094,0.7479942118889553,0.7336166496620009,0.7721407550435755,0.7902792158455131,0.8162857543176674,0.8527282708540783,0.87436448602411,0.8953440335956045,0.9125734408017793,0.9331461795253494,0.9558247817989153,0.9688243526309857,0.9708617435225508,0.9739121233478205,0.9778461085220993,0.9817550522666323,0.9818148688490869,0.9828429371747153,0.9842518773296588,0.982789533326842,0.9831118604642639,0.9785391603619578,0.9702593801974359,0.9584035951188005,0.9466743463799318,0.9314859399549846,0.9207855654944057,0.8733433694511793,0.8431706107563753,0.8137625710525949
rotD50,"AvgSA([0, 6])",6.0,0.7178294541028845,-0.021715303366555156,0.9636028065985692,1.0,0.7757965729195495,0.7748937510679478,0.7609922814834161,0.7340919675351131,0.7143865268753423,0.6854998690257939,0.7113865240085525,0.7117381875185491,0.7212619161354983,0.7427956449467035,0.7553247902568416,0.7823763922590412,0.8101854792100728,0.8431269304759276,0.8774781307633299,0.8997951804624004,0.9060778178937094,0.9152212870191573,0.9268889909199282,0.9355412838358125,0.9389736005922823,0.9470682568983462,0.9558872286096066,0.9623079545209383,0.965110269805198,0.9737135861674996,0.9723720767615245,0.9779198668566066,0.9701487278141048,0.9754348479768327,0.9672098951161244,0.9518264156953827,0.9248393517318239,0.8976538273407035
rotD50,PGA,None,0.9100366618284538,-0.2788384468050708,0.8359451551047119,0.7757965729195495,1.0,0.9993320533686121,0.989834839214704,0.9849679396705041,0.9717389354245706,0.967157518377475,0.9788372784130657,0.972699207145642,0.9626880128356866,0.9605687712753472,0.9449380185323678,0.9316298055766759,0.9153904089553263,0.9002062991709863,0.8742426211842701,0.8490829574976029,0.8428320433563867,0.8415536132466069,0.8288108682755111,0.8246680331471544,0.8032692439196193,0.7921664246419468,0.7765815272357622,0.763049554728667,0.7653028937734295,0.7534974884454074,0.7398220157392746,0.7576472053793475,0.7602567433335282,0.7498406707165531,0.7560472871089162,0.7137966941442412,0.7113806201760552,0.7121286215083471
rotD50,SA,0.025,0.9045116663192335,-0.2745220972183902,0.8305237986371694,0.7748937510679478,0.9993320533686122,1.0,0.993587890259176,0.9887675691089644,0.9742559288882866,0.9682310599567626,0.9782379558200689,0.9687440838649233,0.9565946680100084,0.9531077779962638,0.9377433166580459,0.9241538883432521,0.9076602973482932,0.8918983099510472,0.865648600591546,0.841264162607908,0.8352594691285349,0.8343044789892481,0.8221431569885516,0.8183799548328327,0.797867225070957,0.7869328041065762,0.771144032982723,0.7575596145641776,0.7597034719998524,0.7489850409838636,0.7360771988521736,0.7545945026811058,0.7573757467656891,0.7475998787961273,0.7541904005057417,0.7144850854467482,0.71231503419933,0.7128100569653814
rotD50,SA,0.04,0.8809431937400147,-0.257871099896478,0.801988438785301,0.7609922814834161,0.989834839214704,0.993587890259176,1.0,0.9977465831958762,0.9845685759917934,0.9711088241867188,0.9713492128956077,0.9484461698916145,0.931577224336113,0.9262457311063148,0.9110666397903787,0.8964311470063749,0.8789836113461906,0.8618080219661024,0.8324035882666522,0.8072433649785438,0.800924285144114,0.8010306469300875,0.7890949058414565,0.7868718541889818,0.7670409448792972,0.75621800816114,0.7407115447531758,0.7283375808913299,0.7315275850560046,0.7247551997451193,0.7133860784441041,0.7339325040186289,0.7383455824999557,0.7309621034832643,0.7403348113549136,0.7148987451355433,0.7163435006780424,0.7196714717588009
rotD50,SA,0.05,0.870932474364092,-0.273573554477261,0.7741138049849093,0.7340919675351131,0.9849679396705041,0.9887675691089644,0.9977465831958762,1.0,0.9894898595599635,0.9761070648381084,0.9721670919161236,0.9436888733685443,0.9232193956442537,0.9166127546654644,0.8981661868620788,0.8812510048776918,0.8610426011227802,0.8418313721049426,0.8090719039608397,0.7813960375015798,0.774654320624526,0.7742234850928117,0.7612970140350833,0.7587567105328323,0.7383089762720024,0.7262104842699378,0.7107089981610456,0.698251023044532,0.7020466808303342,0.6954331021898252,0.684520664179538,0.7061313914149862,0.711446322743142,0.7060006564753234,0.7168579880475945,0.6941138779264461,0.6976838018190235,0.7044213994033518
rotD50,SA,0.07,0.8464593319785855,-0.2518535596789919,0.7479942118889553,0.7143865268753424,0.9717389354245707,0.9742559288882867,0.9845685759917935,0.9894898595599636,1.0,0.9871233582156037,0.969761656106457,0.9337591566876196,0.9069410775625308,0.897440467315527,0.8709922499421141,0.8554352106333539,0.8338503996438926,0.8154286806452588,0.7840617799351427,0.7553646181412075,0.7477422474532766,0.7472593284625685,0.7341525760019977,0.7324579797669146,0.7121269466512875,0.7005461317770239,0.6831322336154056,0.6712215627103107,0.6763784838261606,0.6695317891206637,0.6600920857709832,0.6880454023120555,0.6944462557975124,0.6840862109406036,0.6958933828344099,0.6828098142465804,0.6858887203060114,0.6933249203141842
