,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.4432676801449008,0.847763542557518,0.8317732601914712,0.8039217908480384,0.7905169839758883,0.7674114547602539,0.7622051595966461,0.73582540771464,0.7308160062502342,0.7642091640292306,0.7850704649105799,0.8058376739013492,0.8167817431676723,0.8075963038217653,0.8240707248928186,0.8379430201652704,0.8351660226533383,0.833409156484834,0.8315991693304284,0.8346430331210516,0.8345995506334689,0.8257060223236351,0.8118192471112241,0.7911967155411772,0.7882658833478641,0.7927722407743695,0.7915854319820875,0.7934793180527868,0.8047036413463657,0.7889146138694143,0.8019123635270956,0.8091737444480003,0.814308484533299,0.8216485742148549,0.817029419265202,0.833403670350347,0.8471374009818559
GM,RSD595,None,-0.44326768014490087,1.0,-0.17174451990352613,-0.17440578742306861,-0.32036615788561,-0.3118943884724363,-0.30088061376575603,-0.30833840606951846,-0.2924133910304641,-0.28057429605804646,-0.2869049071998473,-0.28356273869215065,-0.2625083908928072,-0.24640452877584018,-0.23191120092142142,-0.22711375556999805,-0.23850667928192962,-0.23239810576054784,-0.2344288063096844,-0.20982986891975186,-0.21246527906683468,-0.20517236045719467,-0.18336061144870341,-0.1590901394277443,-0.13061338423208646,-0.12098455357326102,-0.1265274086423883,-0.13531174820947073,-0.14631504944054502,-0.1625883046078571,-0.13168142737814428,-0.15407477108735973,-0.16210139607808388,-0.0873542968784499,-0.09437458906060635,-0.18501413069200923,-0.21260389649108305,-0.2253497711398767
rotD50,"AvgSA([0, 3])",3.0,0.847763542557518,-0.1717445199035261,1.0,0.9506115312188784,0.8092845807163802,0.7928182725093937,0.7497879210845307,0.728446293442005,0.7017336649766486,0.7002656948958348,0.7558646086901959,0.8045363168647449,0.8538552954440118,0.891472757999928,0.9084303702744971,0.925723935383013,0.9341304969157694,0.941063798595647,0.9560448640511386,0.9637524825520756,0.966538516339373,0.9681702616767859,0.9685685339673165,0.964583997287403,0.9582272557027774,0.957481157760355,0.9589195899933304,0.9592652899949439,0.9601401142305858,0.9619416317534526,0.9595623924810925,0.9512087285911407,0.9496627767027301,0.9215736562304327,0.9260046011538048,0.9045739557589104,0.90237292031711,0.8998359503423096
rotD50,"AvgSA([0, 6])",6.0,0.8317732601914712,-0.1744057874230686,0.9506115312188784,1.0,0.7097593979669017,0.6893251266806316,0.6467082081265775,0.63030767196335,0.5984400822415491,0.5872937697104618,0.6442096538639444,0.6961364736978458,0.7438621033963948,0.7903660498422341,0.8147598797185708,0.8425667909885273,0.8642971177551132,0.8733671777263121,0.8963809451521627,0.9125665404059728,0.9202539099906459,0.9266295486345894,0.9301940664731099,0.9207531380728489,0.923326677660722,0.9266980124352475,0.9259040952422123,0.9238444483577773,0.9209104794377744,0.9296046499520699,0.9291391360995919,0.9375088686927442,0.9411086104318274,0.9701369069054454,0.9729562963531719,0.9809779329074019,0.9773125512031996,0.9747722290594693
rotD50,PGA,None,0.8039217908480385,-0.32036615788560996,0.8092845807163802,0.7097593979669017,1.0,0.9987653730067539,0.9882705337949431,0.9809599437040258,0.972872772514644,0.97242236317728,0.9824319019601674,0.9799292422299869,0.9608016684910855,0.9443050052101961,0.922468026285907,0.9051698017908243,0.8901969030597725,0.8728917579696565,0.8379165267091886,0.8113280038709245,0.7919864096673039,0.7823071766483838,0.7625880003615026,0.7385682503623446,0.6993439941346994,0.6838881550754068,0.6782741177581694,0.6797582227116268,0.68561169550996,0.689220600318872,0.693135366954956,0.7016109106854175,0.7083806647257342,0.652040169162317,0.6699628934230264,0.6568009881934714,0.6730251615128646,0.6755498768954787
rotD50,SA,0.025,0.7905169839758883,-0.3118943884724363,0.7928182725093939,0.6893251266806317,0.998765373006754,1.0,0.9931589080489105,0.9862663851263949,0.9784069036264607,0.9758530770683649,0.9809258712694071,0.975031278097797,0.9520257498570495,0.9330047244970123,0.9102574232812655,0.8920820630175971,0.876792592800473,0.859033891493324,0.8230297966099704,0.7959060210470654,0.775487035810687,0.7652525619626656,0.7443141714169162,0.7202630548128289,0.6812693586083847,0.6660510771317739,0.6604176385687761,0.6624069082718503,0.6683191413338725,0.6715350513613667,0.6769336745714208,0.6854226929722729,0.6921330971988847,0.6334240384399781,0.6516585320777205,0.6382355769798685,0.6546722604663491,0.6559235003526849
rotD50,SA,0.04,0.7674114547602539,-0.30088061376575603,0.7497879210845307,0.6467082081265775,0.9882705337949431,0.9931589080489104,1.0,0.9958607297138783,0.9882462747695953,0.979653362788857,0.9721482061195905,0.9549447322758162,0.9225378059206483,0.8994325990552399,0.8751369301381583,0.8561893489933298,0.8416646207995203,0.8225374302121446,0.7844320000984618,0.7586924038508874,0.7377343943274021,0.7275717699892061,0.7034380645139273,0.6784078893429646,0.6391343423326165,0.6247728465736843,0.6194924996274762,0.6221722595011165,0.6281205354387174,0.6278834542077938,0.6333314983491594,0.6433816701936645,0.650170761594094,0.5952519325163551,0.6136280432294519,0.6010467734965167,0.6199374633288863,0.6213626271906346
rotD50,SA,0.05,0.7622051595966461,-0.30833840606951846,0.728446293442005,0.6303076719633501,0.9809599437040258,0.9862663851263948,0.9958607297138784,1.0,0.9930088921180314,0.981960611351302,0.9655017569470831,0.9419676948019357,0.9046207361051631,0.8817556350069217,0.8549299051765522,0.8367833852091026,0.822142451906086,0.802785888430826,0.7645596132390329,0.7412318230468499,0.720776029461711,0.711424922489655,0.6860650607738537,0.6618824141382423,0.6208003029114623,0.6057287483850052,0.6003879388654519,0.6028607517019294,0.6090198000488262,0.6072566058456682,0.6119773529427273,0.6222229602463534,0.629422948547555,0.5801454515329572,0.5981334374852473,0.5855995084033507,0.6040169256341905,0.6076643362363968
rotD50,SA,0.07,0.73582540771464,-0.2924133910304641,0.7017336649766487,0.5984400822415491,0.972872772514644,0.9784069036264607,0.9882462747695953,0.9930088921180314,1.0,0.9903514753233008,0.9670431493784811,0.9357913603049758,0.8928360333417996,0.8651418358231213,0.833426030976022,0.8116921000123359,0.794896683418499,0.775002099905843,0.7361709235762193,0.7119876209951013,0.6900336646825028,0.6809633912149496,0.6560152668665762,0.6321334832642704,0.5921971714905637,0.576078677078585,0.5699889857702116,0.5726384672330648,0.5778977153031803,0.5766017559112014,0.584909655392284,0.5922009944614279,0.5996018936597924,0.5507056416553278,0.5689767227714969,0.5548864241274144,0.5741818491705043,0.5771760603316637
