,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.22073920734546695,-0.21533140325759034,-0.38697008237925995,-0.37799540440625606,-0.3514570010449334,-0.3587053566396658,-0.3526107088116923,-0.35270307965366665,-0.3677611275399108,-0.3902557578062704,-0.37905515843635623,-0.351365578509957,-0.3206554334416234,-0.30545594907813817,-0.2921915341185989,-0.2805917842583683,-0.2523260006039482,-0.22240847420741122,-0.2151163386306962,-0.20761821431998645,-0.19833378913494204,-0.1878621593524879,-0.15604220272604247,-0.14156172704279593,-0.1412216233772044,-0.14285401523736888,-0.14621174209436966,-0.14712296551442317,-0.14518944741915266,-0.16636028578127177,-0.18469259149283385,-0.20358934538558754,-0.21111520662463615,-0.19257601347342115,-0.23099504989725606,-0.2621254096034005
rotD50,"AvgSA([0, 3])",3.0,-0.220739207345467,1.0,0.9900020410421063,0.8346556158981465,0.8247446742405051,0.7920794744745604,0.7697935899131886,0.7476362231073242,0.7386265155074302,0.7745684974253532,0.8011201872595815,0.8356694135403692,0.8676745843700344,0.8905238678342167,0.9090509691403911,0.9208507255125203,0.9340737327263019,0.9535346598638516,0.9653451053351391,0.968928044120054,0.971326285729568,0.9736813256661914,0.9750155269454818,0.9736759379881611,0.9744096720600662,0.975070210257363,0.9743283342727906,0.9732101296968929,0.967701975783486,0.959931667851256,0.9534673347627987,0.949713738111381,0.9394073311256641,0.9337071644029644,0.9076163319145015,0.8939875448420221,0.8796564660071338
rotD50,"AvgSA([0, 6])",6.0,-0.21533140325759037,0.9900020410421063,1.0,0.8167133339020034,0.8076752145812561,0.7772169830854829,0.7555819363229522,0.7333222012095644,0.720762402218085,0.7553449888623108,0.7783608831703485,0.8079650533696006,0.835279628637957,0.8555833126842263,0.8764057940000065,0.8902684092418184,0.9027580825546356,0.9212427628839691,0.934595486956326,0.9390781176476151,0.9416738517339808,0.9439242213306526,0.9471841865925494,0.9491297283560944,0.9558451989058279,0.961332542827034,0.9659773650780173,0.968445456967738,0.9752580688043487,0.9761547877154215,0.9779855023243311,0.9795149512069407,0.9750933159438029,0.9730521458480211,0.9559330247047556,0.9438978378858125,0.9297861602738895
rotD50,PGA,None,-0.38697008237925995,0.8346556158981464,0.8167133339020033,1.0,0.9985985994408273,0.9870679656525208,0.9796586481498686,0.971704314461059,0.9698945182744534,0.9755888437381602,0.9705328362567173,0.9561076541459314,0.9468699803309883,0.9290289841522577,0.9136578609104946,0.9008897400183664,0.8877787938436721,0.8582277739915481,0.8302446815387806,0.817006705183235,0.8096740364443828,0.7921976505599023,0.7772965142806239,0.7468054687778723,0.7294891479390748,0.7181783654353455,0.7138820785129141,0.7144985721920459,0.7104964523950097,0.7120139318517992,0.7207672461858641,0.7295495771708438,0.7280587230533994,0.7376984238467006,0.7337126327754666,0.7497642398559261,0.7617611558736938
rotD50,SA,0.025,-0.37799540440625606,0.8247446742405051,0.8076752145812561,0.9985985994408274,1.0,0.9922429947771525,0.9852776296937757,0.9760927672842793,0.9720751383760613,0.9739129508025327,0.9649351299106085,0.9470096126614931,0.9365328500520421,0.9186023791633141,0.9030439484470126,0.890458481702352,0.8771626455377703,0.8467441496187346,0.818756671335032,0.8053995990810792,0.7982303211401112,0.7804125269302309,0.7660211554667651,0.7356880162422166,0.7186836697183013,0.707616867379896,0.7038551037375542,0.7045417672553496,0.7010268213878408,0.7026980714527531,0.7113548740194248,0.7202012769769804,0.7203090228646979,0.7305322989704535,0.72619985705991,0.7419789577334454,0.7532300608183025
rotD50,SA,0.04,-0.3514570010449334,0.7920794744745604,0.7772169830854829,0.9870679656525209,0.9922429947771525,1.0,0.9949754977510739,0.9830495974980957,0.971612464164706,0.9626256535038004,0.9435614369038308,0.918121826819228,0.9053424866371551,0.8874472684419524,0.8714985672135256,0.8592910095743719,0.845040332140483,0.8131005307051062,0.7844130881004486,0.7711382783471902,0.7645484196999996,0.7451167584444168,0.7309823306643776,0.7014541480274348,0.6842597181171529,0.6728962426404305,0.6698031535941866,0.6710566806529255,0.6677892689207262,0.669661120921924,0.6793922248043105,0.6878270929342961,0.6904281158374959,0.7021465063626371,0.6996542014738323,0.716949554854354,0.7292753090171142
rotD50,SA,0.05,-0.3587053566396658,0.7697935899131886,0.7555819363229521,0.9796586481498686,0.9852776296937757,0.9949754977510739,1.0,0.9885004862730621,0.9737574073661597,0.9580973546981065,0.9341438149808622,0.9048847499094529,0.8906287001843401,0.8690800797144832,0.8524000016811196,0.8399528370642156,0.8252028464698912,0.7911418223402144,0.7630859836694351,0.7496604876821881,0.7426957009851022,0.722646078180537,0.7082966422339557,0.6781883207617901,0.6603606337613418,0.6484908361198856,0.6451709700005375,0.6466495934059888,0.6425486975826585,0.6454973594877197,0.6563374754040519,0.6656338007918471,0.6702538089661058,0.6824061154823312,0.6786414463719813,0.697615683071707,0.7121643611506879
rotD50,SA,0.07,-0.3526107088116923,0.7476362231073241,0.7333222012095643,0.971704314461059,0.9760927672842793,0.9830495974980956,0.9885004862730621,1.0,0.9843763045139526,0.9600388743375938,0.9317754427297146,0.8986662615316092,0.8803589803324472,0.8533488502502049,0.8352734633630232,0.8211487501211538,0.8055500246482349,0.7717845319197065,0.7425376847127876,0.7280455280374354,0.7204730626546845,0.6999908157185967,0.6856837298455721,0.6550860939868774,0.6372491101167125,0.6235812579835726,0.6198526783839051,0.6207526322184951,0.6159136954798997,0.622054065329132,0.6353166418038724,0.6445817809767636,0.6495687903301215,0.6614420822659599,0.6580338191016224,0.677895784809052,0.691995694701788
