,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0000000000000029,-0.40522831979882123,0.7863996283093757,0.6648049524286642,0.8373969313871711,0.8275421942970836,0.8029490459763263,0.7955827831294761,0.7701145157704145,0.7623680141917489,0.7929959039405997,0.8163846366539065,0.8271347381886138,0.8296846345315323,0.8217061457098314,0.8280131417160714,0.8306916435720293,0.8208197827428202,0.8086692751544309,0.7904794419803571,0.78519826551976,0.7785960374022183,0.7583572349870841,0.7417399616644728,0.7195783042325697,0.7111977141939863,0.7005145425226353,0.6959695710135436,0.6930300177722725,0.6924731100700859,0.6793691739745558,0.6811094005703008,0.6896047514838441,0.639246727965912,0.6431260959504099,0.6003567000814747,0.6230363257855088,0.6310572650750493
GM,RSD595,None,-0.40522831979882123,1.0000000000000013,-0.14858325160088243,-0.12062350899755091,-0.32864532136315694,-0.31783601296799974,-0.29302987535710123,-0.2983949705946099,-0.29018354827462334,-0.29103643663562034,-0.3022175953673644,-0.33218955563868807,-0.3195024349928134,-0.2994048681120907,-0.27032090199388215,-0.262194374707936,-0.2506468868502237,-0.2369156301249596,-0.2020563725116727,-0.17663114944498204,-0.16808153140795704,-0.15946017672799376,-0.14518135815302624,-0.1336227683924342,-0.09758536287470385,-0.08743345704190865,-0.08562430404652079,-0.08454362529611278,-0.08665056591899611,-0.08540141461980856,-0.08258799945569234,-0.11157945048289536,-0.12350870216973683,-0.14818520517134462,-0.1590825177751536,-0.13739845263408965,-0.17677716882218936,-0.20672503574202436
rotD50,"AvgSA([0, 3])",3.0,0.7863996283093757,-0.14858325160088245,1.0,0.8625336889792907,0.7926205684149198,0.7786309692672686,0.7353640603688681,0.7119146179185223,0.6861489396237185,0.6812647985050849,0.7267749228460763,0.7582325211081707,0.7968064187084084,0.8365637155533109,0.8600779085545148,0.8820023021634849,0.8975495310915166,0.9160285737839043,0.940106037989249,0.9547475590869502,0.9580053533165634,0.9607006415892582,0.9652367630941134,0.9657875663776133,0.967901433032704,0.9659328905986416,0.9636728382820013,0.9610366859573369,0.9579694324904487,0.9587099164423343,0.9556149089335062,0.9379580506045969,0.9304716963372383,0.8678606562227114,0.8616002664433123,0.7819688114342375,0.7692054259705684,0.7522457064017284
rotD50,"AvgSA([0, 6])",6.0,0.6648049524286642,-0.12062350899755091,0.8625336889792907,0.9999999999999988,0.6648275246174288,0.658166020772674,0.633320252173173,0.6134114483608007,0.5924330514029974,0.5701436995494246,0.6079681274775722,0.6173570255925357,0.6381297815694771,0.6588477234149264,0.6743074021871257,0.6997846620855476,0.7258232527918166,0.7423251824651275,0.7623826822342705,0.7802260469589858,0.7885124277442787,0.7991694286999662,0.8146011804151069,0.8213555432831804,0.8330419060610338,0.8266553204635907,0.8292028838509906,0.8326456530189507,0.8293600115222143,0.8486985923527887,0.8656336461050517,0.8820483448506621,0.885761584903217,0.9181139261285108,0.9090455484845966,0.9536459126390642,0.9391801598949862,0.9206730548067508
rotD50,PGA,None,0.8373969313871711,-0.32864532136315694,0.7926205684149197,0.6648275246174288,0.9999999999999991,0.9982330841459658,0.9841478424234428,0.9756528626496255,0.9649843400359297,0.9632995397042081,0.9726484809882783,0.967200999786899,0.9491542596091129,0.9378779805240516,0.9190974897209743,0.8997055987588424,0.8835452726615297,0.868192609253075,0.8359825526450855,0.804937831281665,0.789614023506466,0.7801415038295714,0.756833392697386,0.7378366211176459,0.7043210077973976,0.6872358993938089,0.6708791747491345,0.6644462714563556,0.6642184304023057,0.6632970380004268,0.6625983274396139,0.6743352519829116,0.6820033140720188,0.6216650347095164,0.6323452326369213,0.6002742664602587,0.6162273056633666,0.6223848588529166
rotD50,SA,0.025,0.8275421942970836,-0.3178360129679997,0.7786309692672686,0.658166020772674,0.9982330841459658,1.0,0.9907103530378104,0.9824839053929616,0.9703749121235856,0.966543145555189,0.9713417694426814,0.961680287865274,0.9390785769055534,0.9252250442358735,0.9064226095943968,0.8862173354015683,0.8698655050623403,0.853940827720118,0.8209642162573343,0.7893899363409892,0.7738746965236725,0.7642948886250344,0.7403303282700318,0.7215705480113892,0.688371614534951,0.6716369825802493,0.6555106124070388,0.6496745501149576,0.6493644881421693,0.6495365257973545,0.6505226647976299,0.6633195126180785,0.6710935297165921,0.6130761386756718,0.6241362797778536,0.5956651195284771,0.6115577854854051,0.6168346626193723
rotD50,SA,0.04,0.8029490459763263,-0.29302987535710123,0.7353640603688681,0.6333202521731729,0.9841478424234428,0.9907103530378104,1.0,0.9938638119919105,0.9790316655072052,0.9666999222553795,0.9595036200595063,0.9387558989702941,0.9062851303890551,0.88758093261129,0.868572663502542,0.846929606739832,0.8304657977123309,0.8127717869790774,0.7780522111179896,0.7449691993392837,0.729292397591463,0.7198704368741814,0.6939222893535782,0.6756397867322937,0.6429901298139978,0.6269495020314854,0.6107630783828194,0.6062987820151922,0.6063939368009614,0.607604273164803,0.6114964974359329,0.6276506768276164,0.6361858080615579,0.584638490982218,0.5974864506205352,0.5792958887869023,0.597384244632523,0.6035260357763346
rotD50,SA,0.05,0.7955827831294761,-0.2983949705946099,0.7119146179185222,0.6134114483608006,0.9756528626496255,0.9824839053929616,0.9938638119919105,0.9999999999999992,0.985650063911051,0.9695814916368645,0.9551715488371701,0.9277672845979786,0.891029266447206,0.8712086993780004,0.8480120685793696,0.8258300086159803,0.809543702455227,0.7915095597031102,0.7544225509999819,0.7227203387069416,0.7072664036117611,0.6976874033405972,0.6710611008273781,0.652803523272424,0.6197986147604084,0.6035107022371213,0.587137020312571,0.5824165755156647,0.5827581357253963,0.5828025952751541,0.587670514686804,0.6052265747061376,0.6139285178694994,0.56754650588169,0.5807939967779513,0.5620708700024154,0.5808849838569764,0.5891125553811796
rotD50,SA,0.07,0.7701145157704145,-0.29018354827462334,0.6861489396237184,0.5924330514029973,0.9649843400359297,0.9703749121235856,0.9790316655072052,0.985650063911051,0.9999999999999979,0.9816987379731615,0.9553409110728904,0.9211042749196677,0.880096743696675,0.857151522710466,0.827994983569091,0.804608451137408,0.7862006101260252,0.768015595446046,0.7315680205688081,0.6990431607820199,0.6826059330892773,0.6730990852344044,0.6466341121548734,0.6289115251174374,0.5959096363644527,0.5804382767841406,0.5623369888479497,0.5571892510048932,0.557523768033791,0.5562554439398347,0.5625288177976947,0.5819760154918455,0.5907943519722034,0.548514775296528,0.5617622505919746,0.5454093578545222,0.5642420577911748,0.5721112715055754
