,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.49751454923158384,0.9502979292091237,0.924262801001959,0.9709970037993221,0.969343004149916,0.9619407296719842,0.9669197262485131,0.9439526408418306,0.9255999562259819,0.9403389024838564,0.9547210778123902,0.9581963566273065,0.9692575130020871,0.9761856988184202,0.9737447465339758,0.9688454823218484,0.9700894825558205,0.9626404037043237,0.9616809590395559,0.9560361825882678,0.9513182945911128,0.9417091139317963,0.9415549348844418,0.9325426587095358,0.9261048538461525,0.9268950634255473,0.9257555181493222,0.9225110007879282,0.9176537873448893,0.9230684397149665,0.8974457464310791,0.8698467911694058,0.8343563179653134,0.7895978887389667,0.6942830768785144,0.631912420378158,0.5798918111370653
GM,RSD595,None,-0.49751454923158384,1.0,-0.5474480802167913,-0.5181633953257937,-0.479057295962507,-0.47299683763085726,-0.4571625110453005,-0.44082348041748026,-0.4331039953921645,-0.44841079926325633,-0.45074675229966776,-0.44500018853455114,-0.4529524429188824,-0.4516560102537492,-0.45066167610779984,-0.46818164094667114,-0.4544831096625801,-0.4640910151157878,-0.4997621219242321,-0.5144341564025796,-0.5160411524342916,-0.5099970262647425,-0.5078288200135446,-0.504610867683749,-0.5042790543854292,-0.5121048002544056,-0.5119743250572687,-0.5133942466024529,-0.5065660722155058,-0.4944984531944903,-0.5262682038209533,-0.49252203764390085,-0.4609036451714343,-0.4490067803090621,-0.40439193795177764,-0.3135846030763119,-0.2663528875710319,-0.22880527246887844
rotD50,"AvgSA([0, 3])",3.0,0.9502979292091237,-0.5474480802167913,1.0,0.9624840656265911,0.9453999307499459,0.943189838264823,0.9362056516845156,0.9272006961130426,0.8962970329310608,0.8768350961331137,0.8966672651585927,0.9246326653705375,0.9411925718822945,0.9535052034665574,0.9563381092187854,0.9629865163082447,0.9703479054008808,0.9779075747497125,0.9808443752502494,0.9870960832116066,0.9890554825158635,0.9892094465385413,0.9900233981295764,0.9902772592124088,0.9899483421348841,0.9884794679174911,0.9882794859113077,0.9878742659122561,0.9868459076640007,0.9880021707911399,0.9900649317693379,0.9676690052308543,0.9381152393024581,0.8849014206207273,0.8402976173622979,0.7420108940035665,0.6767282478531783,0.6248817303833233
rotD50,"AvgSA([0, 6])",6.0,0.9242628010019591,-0.5181633953257937,0.9624840656265911,1.0,0.9626111841293155,0.9616784937193567,0.9558946311259104,0.9405232508202158,0.9234791188918051,0.914117533112933,0.9471882660078669,0.9612943963252923,0.9638801910240795,0.9520506980662774,0.9325639280206469,0.9310700910193295,0.932339404786053,0.9263889933291468,0.9182801955485695,0.9272481095678713,0.9304113036830378,0.9298262842046503,0.9360887667048717,0.9381072839639144,0.9382867682211643,0.9319054755641119,0.9308577016026073,0.9335174371806416,0.9368444052202571,0.9524663035193358,0.9761306151940689,0.9896623470805819,0.9858364842356139,0.9722059354143462,0.9472533561785396,0.8848172613887145,0.8374916633521682,0.7974257009424776
rotD50,PGA,None,0.9709970037993221,-0.479057295962507,0.9453999307499458,0.9626111841293155,1.0,0.9998060211092924,0.9948491445131117,0.992449464023028,0.9831047445584045,0.9703737189283289,0.9778498431873053,0.9884344076327751,0.9851160381187366,0.975878012842454,0.968639991011138,0.9653793057688007,0.9619267221227125,0.9538266457049388,0.9403222226394805,0.9411383288062649,0.9361484184509117,0.9317677820783201,0.9266060956513832,0.9265596889479063,0.9192661711705988,0.9104861177301791,0.9095901435133495,0.9097668258932712,0.9093881428914631,0.9110289022659213,0.9337501104985587,0.9360020803401208,0.9293531924269843,0.9155359246157062,0.8863711677273722,0.8147824186663291,0.7639996227551478,0.720889662489807
rotD50,SA,0.025,0.969343004149916,-0.4729968376308573,0.943189838264823,0.9616784937193567,0.9998060211092924,1.0,0.9963322661442967,0.9939342140500548,0.984848215837209,0.9719093416475598,0.9776400112980309,0.9873492353077952,0.9831794507208759,0.9738636772386727,0.9672822382072522,0.9639983879416509,0.960864692180688,0.9526276342492365,0.9388041467656413,0.9393264649334457,0.9341164447209723,0.9296940747598893,0.9242279274974272,0.9240536233278536,0.9165072076316801,0.9075345928023476,0.9068033108813687,0.9071091023036146,0.9068995549202319,0.9092587106267737,0.9325687818743505,0.9352645082840254,0.9291477444525696,0.9157847648693881,0.8871229500943285,0.8160479612813141,0.7653899778747553,0.7225701551554833
rotD50,SA,0.04,0.9619407296719842,-0.4571625110453005,0.9362056516845156,0.9558946311259104,0.9948491445131117,0.9963322661442967,1.0,0.99658291983813,0.9881728494594134,0.9751654581263842,0.9708562042154533,0.9783867560947334,0.9732315490121639,0.9650696772188614,0.961725445334572,0.9602829998778317,0.9585725989837255,0.9501915521117122,0.9365495672961726,0.9357524575852048,0.9299642173343996,0.9256088751138782,0.9194918071224062,0.9187003843664034,0.9102136760518087,0.9010774308781538,0.9002306540922724,0.9007649601038263,0.9010823437690231,0.9052874045452001,0.9287921140465457,0.9314517069375213,0.9262382307776507,0.9122392036340652,0.8844068771276592,0.8124680772291982,0.7610614488183104,0.7186658720149806
rotD50,SA,0.05,0.9669197262485132,-0.44082348041748026,0.9272006961130426,0.9405232508202158,0.992449464023028,0.9939342140500548,0.99658291983813,1.0,0.9907051880379212,0.9762086071227642,0.970820957955623,0.9745895331181025,0.966536884715693,0.9598413352231466,0.9602603102010558,0.9580633740649374,0.9559862759572857,0.9482845259382191,0.9337534304612677,0.9316364741633192,0.9244572497512261,0.9195795315573156,0.9108182335421898,0.9098166640879777,0.8996008667249455,0.8896463147298215,0.8889872692879485,0.8881797814034458,0.8875987963606913,0.8902458849164778,0.9144690456471729,0.9123596737323758,0.9052140487312144,0.8905469209013142,0.8613539132360426,0.7870338338583982,0.7345298598056611,0.6912561733919285
rotD50,SA,0.07,0.9439526408418307,-0.43310399539216454,0.8962970329310608,0.9234791188918052,0.9831047445584046,0.9848482158372092,0.9881728494594135,0.9907051880379212,1.0,0.9874286651469849,0.9680268739032298,0.9678247555144315,0.9548551735392061,0.9405294143615984,0.9388964310793714,0.93589895759911,0.931749983493496,0.9198598875145687,0.9041665206834588,0.9027394553929842,0.8948030082792909,0.8887646389653936,0.8793647485640718,0.8780119419072552,0.8681712172455684,0.8578460519588733,0.8571052863110619,0.8569852561186349,0.857364323266946,0.8603634927171697,0.8897472947338754,0.8947667422877519,0.8956216871280158,0.8914620157580241,0.8681314847352205,0.7999557520336011,0.752278335571121,0.7127825979699197
