,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.3165521918634989,0.8484510817540354,0.7953853440497954,0.881577768130127,0.8716750014944458,0.8333586273904969,0.8305274708073261,0.812705434593091,0.8202003797536772,0.8709459448229139,0.8625292105410148,0.8703395311257462,0.8665711238881183,0.8751503155293748,0.8756438031522646,0.8617913700607328,0.8425448824231361,0.8200254359177588,0.802700007055057,0.7941512047362705,0.7930028095657052,0.7941185584282511,0.7881440450978712,0.7761610843182598,0.7677510988119097,0.7703244865153351,0.7834865318949857,0.7943597398601318,0.8002019251172932,0.8061869435143971,0.7907954026946599,0.8013914399928238,0.7581076323955941,0.7714979346920988,0.7895713682270249,0.8146251624942097,0.83870350973605
GM,RSD595,None,-0.3165521918634989,1.0,-0.28917151672135766,-0.3450455149832085,-0.22918216943181274,-0.21337367876626587,-0.1510420039426799,-0.16116577439979005,-0.20579749072546794,-0.22935756826849074,-0.21912190221595398,-0.23730691827987732,-0.23262566369526233,-0.22453478196007395,-0.21947326570136347,-0.21160015799408297,-0.22460538792636517,-0.2457227491695665,-0.25163011140263153,-0.24053356503375445,-0.22695417358505598,-0.20755794169460665,-0.19954460121353948,-0.2107429223295071,-0.23793796026393998,-0.25482868579871715,-0.25835484423667193,-0.26058020073721777,-0.2611158237213822,-0.2772509593475113,-0.3159320120621338,-0.3352620541272178,-0.3463407798219238,-0.3521671747587587,-0.3584716943308281,-0.336283461945059,-0.3392739054568494,-0.35534759330946447
rotD50,"AvgSA([0, 3])",3.0,0.8484510817540355,-0.28917151672135766,1.0,0.9682430860434867,0.7960827952985168,0.7794736939688272,0.7264189334710759,0.7173420559307566,0.7016788562452323,0.7109750315523479,0.785685507946574,0.8000728940361735,0.8253226064017073,0.8567322472846634,0.8991229278813914,0.9215566106517221,0.9336404129579087,0.9388808706380469,0.9404372571771051,0.9465220306059671,0.9490172706662451,0.9513315837359528,0.9612642649929718,0.9632571086030889,0.9645293621752262,0.9595527218669597,0.9635079284313085,0.9720891844636863,0.9774870507294695,0.9771403473514357,0.9830604591932922,0.9755607674101928,0.9687005694464065,0.9446978081684554,0.9440393550213281,0.9373141989055275,0.9405276038736163,0.9399696945478848
rotD50,"AvgSA([0, 6])",6.0,0.7953853440497954,-0.3450455149832085,0.9682430860434867,1.0,0.8030656558833696,0.7907126041153993,0.7492233664195009,0.7420071922300491,0.7268181491030302,0.7309898368358733,0.7943927363240085,0.7760817533907179,0.7686151430574804,0.7643750741578459,0.8030047887221824,0.8275044865113793,0.8440554683763666,0.8474048225699792,0.8509273851406932,0.8604816364832489,0.8658756228698572,0.8713242742894081,0.894107867060572,0.9000077042821573,0.9062768192219861,0.9040039524085427,0.9129850876142497,0.9261915463570406,0.9368065506996063,0.9512296413182495,0.9701091537673279,0.9767655112725678,0.975102274364254,0.9844988312141374,0.984709258266114,0.9843031023392681,0.9820813343581822,0.9776966500048891
rotD50,PGA,None,0.881577768130127,-0.22918216943181274,0.7960827952985168,0.8030656558833696,1.0,0.998968141703658,0.9811680468487137,0.984780531505287,0.9772312466267837,0.9829133677399063,0.9813460107963387,0.954483160181434,0.9222078617076624,0.8490948172746458,0.8036884418755039,0.761135185349469,0.7163938933698853,0.6825362731920754,0.6524047945288575,0.6427103708654647,0.6410892197784009,0.6501632399877652,0.675452514163308,0.6760611908673381,0.6785467723238959,0.6605550715284666,0.6677898994760113,0.6882759077585807,0.7097629952247818,0.7457948741298546,0.7685739616988949,0.780538209623568,0.797379072032339,0.7831377906920323,0.8058337352813747,0.8350855801297532,0.8529819585109081,0.8653387419306272
rotD50,SA,0.025,0.8716750014944459,-0.2133736787662659,0.7794736939688272,0.7907126041153993,0.9989681417036581,1.0,0.9884945138079675,0.9905581974779278,0.9816984238324777,0.9850238990583994,0.9765552161403606,0.9451930305093379,0.9101907443056938,0.8333125392375689,0.7850052630643366,0.7410030317654159,0.6950971180279037,0.660760639554938,0.631249448572596,0.6220232693164509,0.6204811778384414,0.6301595942537447,0.6564798067853871,0.6580916071927497,0.661556262455504,0.6436886363954221,0.650912111801915,0.67158113628274,0.6930465856457106,0.729993726389101,0.7529509576723814,0.765267593693502,0.7827241316773877,0.7707157659859197,0.7936752813861446,0.8250061999296213,0.8427352433777133,0.8549664633695988
rotD50,SA,0.04,0.8333586273904969,-0.1510420039426799,0.7264189334710758,0.7492233664195009,0.9811680468487136,0.9884945138079674,1.0,0.9954745697819772,0.9817748987374346,0.9769426578744383,0.9478119162525009,0.9033336440639639,0.8615122858482398,0.776846002030615,0.722270881714256,0.6766907418954115,0.6298167689615619,0.5945520697872742,0.5673349791156516,0.5612991915173176,0.5608503608735573,0.5722044551459781,0.6006394822008164,0.6044886157566028,0.6092947808848819,0.5920061532468257,0.5991967180879224,0.6209401079493156,0.6412550088126713,0.6794852738975873,0.7010203135941924,0.7138245242895622,0.7337227897659454,0.7282565813817968,0.75177762911539,0.789321550924365,0.8066500982810381,0.8176233896426047
rotD50,SA,0.05,0.8305274708073261,-0.16116577439979005,0.7173420559307566,0.7420071922300491,0.984780531505287,0.9905581974779277,0.9954745697819772,1.0,0.9877357637954974,0.9842115543450066,0.9586378696616866,0.9138252916236348,0.8672179711776616,0.7748824485328404,0.7162573292289217,0.6668051334920251,0.6184726179102372,0.5828736050882622,0.555287606945148,0.5469326864849451,0.5456548779317725,0.5566319257820477,0.586580036937704,0.5895701963388683,0.595161832254353,0.5781962565515021,0.5861526695908874,0.6079350901555807,0.6286242356343201,0.6687723079490286,0.6926003439895326,0.7091958043411506,0.7287028747310295,0.7223227751510843,0.7460466282321635,0.7826147845467201,0.7999481586180839,0.8107484742767144
rotD50,SA,0.07,0.8127054345930911,-0.205797490725468,0.7016788562452324,0.7268181491030303,0.9772312466267837,0.9816984238324779,0.9817748987374347,0.9877357637954975,1.0,0.9904086580791066,0.9483994884242933,0.9008833668507013,0.8534095079938748,0.7543514950233021,0.6960550283629542,0.6479674109279067,0.6021948555837209,0.5709711718654645,0.5405881189073273,0.5301237390347597,0.5265233757350978,0.536054862173777,0.5638283591173268,0.5675323162941566,0.5789467836922984,0.5638344540486623,0.5707053621993066,0.5915938954192345,0.6132172974408049,0.6529795842993991,0.6811815088320059,0.6975411912185749,0.7176262781701247,0.709864589690653,0.7327257867401243,0.7668995098812432,0.7818300511401219,0.792628809992779
