,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,0.9999999999999933,-0.6617493603103692,0.743102467601424,0.731714702766812,0.937661121838309,0.9387417515010464,0.9135684932487539,0.8956803998755805,0.8693973360931463,0.8569907197015967,0.8509406699791395,0.8488654988420138,0.8105559572247673,0.7855110475490046,0.7459780457403095,0.7119922115483244,0.6989409150704362,0.6981953870653793,0.6887568791234246,0.6624001457033777,0.6463535393828299,0.6388630358442972,0.6329693569908024,0.6319734838750347,0.6362275573353349,0.6408388403623112,0.6575420698955272,0.682265383193679,0.6796772323006018,0.6837936005246722,0.6733295756651263,0.6635846602701907,0.6919696949926275,0.6981935579667566,0.707491444706702,0.7115818843537565,0.7261821683155446,0.7363647130186715
GM,RSD595,None,-0.6617493603103694,0.9999999999999977,-0.6050249232637772,-0.5801159291808322,-0.6810440048147561,-0.6751684477518581,-0.6234460383390504,-0.6196482976017023,-0.5695011874882543,-0.5958410044793054,-0.637648519764605,-0.6241793861820997,-0.6291004980830719,-0.6253868373487178,-0.5897371416133657,-0.573604085362807,-0.5591402764670241,-0.5580240749328059,-0.5526191296881078,-0.5605075208947816,-0.5474589788603631,-0.5431275441383231,-0.5387034319947299,-0.5435350008861154,-0.5416923525068089,-0.5532859059505051,-0.5567363837717997,-0.5743890668692887,-0.5648964809989543,-0.5536034622697922,-0.5435913907924997,-0.5456196430935937,-0.5654950380007058,-0.5390109637978767,-0.5450776350998991,-0.5650348443231491,-0.5803245811183595,-0.5814853743692392
rotD50,"AvgSA([0, 3])",3.0,0.7431024676014241,-0.6050249232637772,1.0000000000000004,0.9193034987567528,0.7371415865707126,0.7220046007112509,0.6411449169317239,0.6393621921737747,0.5774379022753539,0.6019497163072409,0.6500770664221323,0.7202142525014054,0.7471748951307472,0.7694899381544658,0.7811666716076024,0.7885322998136776,0.8045348595720884,0.8254684741197259,0.867118119744995,0.8714763072931047,0.8740376805779657,0.8720959856811231,0.8823383038504963,0.8881528332999878,0.8935359643441237,0.9057925459257973,0.9198642096898128,0.9255374178749237,0.9232179751069409,0.9277245119758913,0.9454417738271289,0.9189227191585545,0.922988118769497,0.8744822037366375,0.8707827238953819,0.8633550203545255,0.8678183389369983,0.8673231114818358
rotD50,"AvgSA([0, 6])",6.0,0.731714702766812,-0.5801159291808322,0.9193034987567528,1.0000000000000009,0.7069946953079936,0.6951516805529191,0.6282453164073908,0.6053822723057706,0.535352688317785,0.5371797787680732,0.6111218901034782,0.663813986443465,0.6565479481320163,0.678499754604546,0.6981437198403366,0.7287063624339951,0.7534969225722751,0.7877790705498822,0.8191875279862809,0.8023554730272359,0.807517692784888,0.8078850483032012,0.8032164345487153,0.8116053829635187,0.8228829879726902,0.8201691954196909,0.8286237321305293,0.8273323011416026,0.8293614998845351,0.847256577090588,0.8753345583679424,0.9129263150542561,0.9285984820220959,0.9691028314830551,0.967188934271163,0.9717744537515314,0.9675656970936563,0.9628334374968375
rotD50,PGA,None,0.937661121838309,-0.6810440048147561,0.7371415865707127,0.7069946953079936,0.9999999999999999,0.9981184532552752,0.9569075435392161,0.941997602955468,0.9060915952785527,0.9089013366120465,0.8969565555976133,0.8790129717671732,0.8384267542444191,0.8174568306816312,0.7767872523187332,0.7337845468221867,0.7128379116302588,0.7054922730625279,0.6907775626965704,0.655289512636592,0.6370635087867728,0.6315421904022284,0.6226831138134125,0.6218575548642844,0.6242216166252404,0.6385900096668445,0.6514821465212648,0.6690769708780336,0.6650050413638673,0.6675686379896919,0.6539634938344457,0.6476877656122619,0.6794621448682805,0.6760287592290664,0.6877645109838939,0.6918837313033807,0.7124003600124831,0.7219812642993566
rotD50,SA,0.025,0.9387417515010464,-0.6751684477518581,0.7220046007112509,0.6951516805529192,0.9981184532552752,0.9999999999999992,0.9672951401078093,0.9517585518730357,0.9130492115647388,0.90963427206879,0.8899026681473214,0.8684650620554188,0.8285689353882303,0.8069947476861301,0.7644681713321623,0.7214896270038021,0.7003705984943837,0.6933026400756378,0.6790492493667584,0.6426445129057348,0.6239418534788702,0.6175977666837472,0.6085807906392744,0.6072142640937646,0.609485302192185,0.6240585476938617,0.6365580609635756,0.6544945365949701,0.6504773133182343,0.6537884995845711,0.6391466377146088,0.6337761565525735,0.6650817219585278,0.6642429229176446,0.6762540285679173,0.6790943115622009,0.699801605371147,0.7095404980147638
rotD50,SA,0.04,0.913568493248754,-0.6234460383390505,0.6411449169317239,0.6282453164073908,0.9569075435392161,0.9672951401078093,1.0,0.9578677448928535,0.9171509414850008,0.8804082807990343,0.8390467481546622,0.8015251142091457,0.763049019603089,0.7415823310337106,0.695097088349471,0.6514955866059228,0.6296243303560298,0.6249677255266408,0.6158421369823354,0.5744016700979848,0.5532076388009664,0.5439169093321135,0.5360875212686173,0.5314679375064367,0.5347798090091318,0.5488735242406954,0.5592742025946104,0.580477497269762,0.5749154331557901,0.5843767404107482,0.5639449630049319,0.5642412588241651,0.594188834492573,0.6018381699246032,0.6134401885264574,0.6117942638419183,0.6319186561378194,0.6425012285519398
rotD50,SA,0.05,0.8956803998755805,-0.6196482976017023,0.6393621921737747,0.6053822723057706,0.9419976029554679,0.9517585518730357,0.9578677448928535,1.0000000000000002,0.9380398280427938,0.8962072758323062,0.8335050602077885,0.7874830747352578,0.7435673215956895,0.7200746226647512,0.6707369409247981,0.6304643975820068,0.6157689896005797,0.6085467208279616,0.6018188284932108,0.5660745247540542,0.5463748753122697,0.5383298296398665,0.5305706035872234,0.528276608163968,0.5314193371631636,0.5419159890288386,0.5511579130294825,0.5731670339446804,0.5672641240606882,0.5835617969602743,0.5634656576734322,0.5602815046569392,0.5843969488747854,0.5739823512493818,0.5855268532160385,0.5827907711434116,0.6028793240954192,0.6126162219255256
rotD50,SA,0.07,0.8693973360931463,-0.5695011874882543,0.577437902275354,0.535352688317785,0.9060915952785527,0.9130492115647388,0.9171509414850008,0.9380398280427938,1.0,0.8982295740780163,0.8147353750336497,0.7479599378394226,0.6997782546230084,0.6708692664266448,0.6190971916955452,0.5744409688195364,0.5591546586174954,0.5422574519174189,0.5336467797807226,0.5105253552050055,0.49027801338627397,0.4816054279773793,0.46741620782977433,0.4604088151273798,0.4652811505971041,0.4756115900823105,0.4908214729318053,0.5111923915261358,0.5031008392229467,0.5156132881255856,0.5091215768113211,0.4946205993919402,0.5274021994440292,0.5136248835132642,0.5239847746455937,0.5187351793921745,0.5369414800935003,0.5515233959349627
