,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.3410191861336759,0.8638942915849197,0.8765851466378931,0.9134465528776092,0.9047941487081391,0.8638304475796686,0.8612290990388382,0.843732630272616,0.8531433392781359,0.8922117511329805,0.888654207332587,0.8870624025115484,0.8785340143176006,0.8755326650140122,0.8663268170463821,0.8517796082795203,0.8422418383181552,0.825133592188484,0.811700400082174,0.8029247697733338,0.7991725076304811,0.7979504213151561,0.7929378320988063,0.7821397221667727,0.7740207821382066,0.7755451459070868,0.7856838005686293,0.7922800681371303,0.8031111042109975,0.8098906100148127,0.7988066804903324,0.8064302742965876,0.7878616967187121,0.787406070322005,0.7843563370887738,0.7881555856829722,0.7889471089293774
GM,RSD595,None,-0.3410191861336759,1.0,-0.32205793899807306,-0.353121215524579,-0.3366645106771772,-0.32348157015756823,-0.2636593662767009,-0.2604965060721263,-0.27624376569457776,-0.30301417656670193,-0.3239424369502255,-0.3412595162331247,-0.3379635957289313,-0.32594407039463863,-0.307535784177627,-0.3054656082342561,-0.30601418349907883,-0.30735909852537396,-0.29985196432002587,-0.2924056053613665,-0.2838765326265716,-0.2713949958298434,-0.2669093562910255,-0.2682696204677779,-0.2776142571922936,-0.2909949793187594,-0.29308978576455263,-0.30193397728840127,-0.3053707693594336,-0.3026899537347611,-0.34581494488270137,-0.3661321352837022,-0.388581053546062,-0.3839470421262966,-0.3953729714236336,-0.38558720766407745,-0.3961195258452211,-0.40824813447654446
rotD50,"AvgSA([0, 3])",3.0,0.8638942915849196,-0.32205793899807306,1.0,0.9875376488946165,0.8166974842790625,0.8010763347533499,0.7395758973547282,0.7300801283740465,0.7023214759257764,0.7202009618136099,0.7853281989883554,0.8277960730944867,0.8629936641632472,0.8876864441307618,0.9123570177996374,0.9221491249464658,0.9317498070204336,0.9429473454138996,0.9549977433530394,0.9606964495972271,0.9630312232169009,0.9640481099397475,0.9686031423593346,0.9707718520814194,0.9721188969632482,0.971254627730429,0.9742026868095093,0.9795605115088563,0.9820876511665214,0.9827506699022264,0.978439126423746,0.9631480827694356,0.9490244485682501,0.9197820790481713,0.903235055979039,0.8806155540824614,0.8608633625046033,0.839979363828559
rotD50,"AvgSA([0, 6])",6.0,0.8765851466378931,-0.353121215524579,0.9875376488946166,1.0,0.8502630167384673,0.8368246853564243,0.7818014211204539,0.7695612316469025,0.7442667817951997,0.7583952361374033,0.8208025175378946,0.84874259826134,0.8703569978742299,0.8823791406552334,0.8987981598078224,0.9069357883771034,0.9143302097916646,0.9189597827869642,0.9220531697184149,0.926231636297064,0.9285603352454542,0.927994108276172,0.9336516071696378,0.9352937568067488,0.9359385926320792,0.9339106092688958,0.9387224943815611,0.9473801096907049,0.9552154280838212,0.9700148649032535,0.9813434706622122,0.9824585387557907,0.980961653841359,0.9640319801816195,0.9556994140232841,0.941435680582161,0.9271510586877192,0.9107276589123663
rotD50,PGA,None,0.9134465528776091,-0.3366645106771772,0.8166974842790625,0.8502630167384672,1.0,0.9988365891998879,0.9760244786826279,0.9758035401744898,0.9634437469608965,0.9699657079603469,0.9676973018196415,0.9406992237523368,0.90699501000141,0.859154371824144,0.8231533202886122,0.790458711789955,0.7619171815178442,0.7440218654324516,0.7234756666271082,0.7114283401595133,0.7056401816178876,0.7065524743577669,0.7156845093574454,0.7138493545501977,0.7104868983858313,0.7007747947519075,0.7056114175396315,0.7207310855682177,0.7322074013889213,0.7601005852328054,0.7789742409635111,0.7880716686401996,0.8004222706184817,0.7818389348237809,0.7903621671447447,0.7948067208738274,0.7975719714062969,0.7936907976916746
rotD50,SA,0.025,0.904794148708139,-0.32348157015756823,0.8010763347533499,0.8368246853564243,0.9988365891998879,1.0,0.9843296610062713,0.9830186857056725,0.9697379775490882,0.9731682455339848,0.9632468971238868,0.9308112128522289,0.8944680529683926,0.8438013719730846,0.8056537735163576,0.7719839204220486,0.7427101580989087,0.7243002005596895,0.7040815145560099,0.6923078948958776,0.686611882848468,0.6877849203427975,0.6977016384301458,0.6961911465739344,0.6933629874206791,0.6836194200500365,0.6884632717567444,0.7037517324398248,0.7153863449611383,0.7455446223536722,0.7643404009535606,0.7741861784966849,0.7873136772847982,0.7702794720144219,0.7795402670692042,0.7848061653046635,0.7877376756836756,0.7841170055039571
rotD50,SA,0.04,0.8638304475796686,-0.2636593662767009,0.7395758973547282,0.7818014211204539,0.9760244786826279,0.9843296610062713,1.0,0.9908859292604705,0.9754350924429868,0.9664912109941665,0.9313534792052816,0.8806171163073897,0.8369620949512646,0.7797464517962814,0.7365222893099901,0.701292475904509,0.6706755397371117,0.6516734515831221,0.6335136726239474,0.6231944033621809,0.6181115053922119,0.6199441073083127,0.631901188572178,0.6311534833516191,0.6294435253984346,0.6196071556528755,0.6241838922356446,0.6403111168638895,0.6516371655470861,0.6879283073651862,0.7049834409896919,0.716445848839492,0.7328490169075988,0.7220261902370779,0.7336575698531335,0.7422281395254167,0.7456932850250372,0.7419233692726487
rotD50,SA,0.05,0.8612290990388383,-0.2604965060721263,0.7300801283740465,0.7695612316469025,0.9758035401744899,0.9830186857056726,0.9908859292604706,1.0,0.9829794529757069,0.9737494938872169,0.93644831252303,0.8823516788569036,0.8344025259716885,0.7728031243564821,0.7274551056348914,0.6904203943091681,0.6601608949619249,0.6411300052483015,0.6238506369897749,0.6129801866810185,0.6072083394128346,0.6095293138349087,0.6220688190514592,0.6212236318793062,0.6199360427247378,0.6100532550062827,0.6150964871635852,0.6310225605954503,0.6421213751551408,0.679593097276364,0.6961177149384831,0.7071878277060172,0.7199681191016617,0.7053316531223077,0.7154808402722049,0.7204448898122809,0.7232089578868102,0.7188161551717233
rotD50,SA,0.07,0.843732630272616,-0.27624376569457776,0.7023214759257764,0.7442667817951997,0.9634437469608965,0.9697379775490882,0.9754350924429868,0.9829794529757068,1.0,0.9781537186754713,0.9245611832996686,0.8631856500280887,0.8121488516375612,0.7446755427618927,0.6986321255469228,0.6619833675845336,0.632610271742507,0.6145414529150184,0.5952123945658002,0.5848910568174385,0.5779611514781262,0.5793271387747289,0.5900586699961805,0.5890989305395502,0.5904994937942883,0.5812079086936492,0.5866410606484429,0.6016282897330422,0.6133830703125227,0.6493356504368614,0.6738944844342774,0.6840003820448018,0.6991350120877942,0.6828709493769876,0.6931764330271744,0.6978602605331222,0.6997310950561235,0.6974258603783938
