,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,0.999999999999992,-0.36747060663301406,0.8574566414876376,0.7727205913205889,0.8955053542564732,0.8862803370276924,0.8437361142015888,0.8384012078764167,0.8085157977031951,0.8176982137405862,0.86774430651137,0.8712202221728631,0.874339416243781,0.8745684067964998,0.875860759390735,0.868132904690711,0.8556425126152121,0.8503800475114135,0.8387513094637777,0.8279398643366324,0.81945672896825,0.8163938176126246,0.814623311699735,0.811237029687754,0.8005561523537473,0.7929084103710812,0.795440949515707,0.8004419314211478,0.8054917367959595,0.8021500879010228,0.8212379513768142,0.7856125627392009,0.7851162438413173,0.7366233961008648,0.7297016877708199,0.691249069360202,0.6873915174124576,0.6846003500706456
GM,RSD595,None,-0.367470606633014,1.000000000000001,-0.3507881914783841,-0.3762053022667433,-0.35568558137654,-0.34136853588864735,-0.27805683402522857,-0.27603099391517216,-0.28852804610342775,-0.3193257797434299,-0.3439125339834551,-0.36637604316223016,-0.3681853693669228,-0.3586319885950824,-0.3406363746099644,-0.33434535604274934,-0.33070816873106007,-0.3351972672136427,-0.3315816766298842,-0.32603342489613996,-0.3169094167925739,-0.30465836972487476,-0.2966910533438473,-0.2984509795758895,-0.3077402487244844,-0.31769259908496444,-0.3198421944722742,-0.32746020686664146,-0.3275543741686361,-0.33487179230608993,-0.353498240198185,-0.37573027915746604,-0.3883293518296715,-0.37632108159643485,-0.37770233946551734,-0.3613330731644988,-0.3598578889287929,-0.364083394411528
rotD50,"AvgSA([0, 3])",3.0,0.8574566414876374,-0.3507881914783841,1.0000000000000009,0.8764657297270058,0.7863474172839415,0.770799809384583,0.7091196889266482,0.6971427516558235,0.6572401749328016,0.6758811033550138,0.7540175160007186,0.8012490286848926,0.8426202765326738,0.867386470191811,0.8908071321779052,0.9055292603938597,0.9173876345709419,0.9273393608503859,0.9421644816681548,0.9494806275746573,0.9499206036725828,0.9493208450628091,0.9541984639371268,0.9551212628527044,0.9581057118609113,0.9576032345443558,0.9588878193877235,0.961892962573852,0.9624026923065852,0.9801540496826567,0.9804022661323872,0.9361631221900469,0.9187531764066988,0.8438270683385091,0.824836831799171,0.7679785466550243,0.7469525035461327,0.7280217569182152
rotD50,"AvgSA([0, 6])",6.0,0.7727205913205889,-0.3762053022667433,0.8764657297270058,1.000000000000001,0.7689813222200825,0.7583901347292753,0.7124198868367664,0.7017701222207336,0.668130253685776,0.682810204669574,0.7499578560062219,0.76545918853282,0.7714565785240117,0.7641762305038328,0.7667802100333496,0.7760720654254798,0.787599241382559,0.7933764809737923,0.8084728137017144,0.8112304913725374,0.8134524797855595,0.8137925521274638,0.8247095149421398,0.8240283234787695,0.8263575224977329,0.8167991188585417,0.8152490773017499,0.8161146854828574,0.8188897641081775,0.8492595711543082,0.8671890613062551,0.9106239834926768,0.9125045973072491,0.9645491242333415,0.9581552942227218,0.9459166329936034,0.9280225281139419,0.9112125514893138
rotD50,PGA,None,0.8955053542564732,-0.35568558137654,0.7863474172839415,0.7689813222200825,1.0000000000000007,0.9987889819181364,0.9761304932904229,0.9750446256229747,0.9591501590298461,0.9659460817599496,0.9666908802146901,0.9406397923906695,0.9045988151914791,0.8539282210341801,0.814179280160423,0.7787571414220755,0.7463798314643523,0.7271268382383242,0.7042530516467426,0.6922989818472106,0.6863070863074536,0.6877772396595262,0.6976870552311789,0.6954577883598503,0.6913630968043253,0.6804169667253724,0.684730677968509,0.6964807089307761,0.7093671831560744,0.7309363966585009,0.7639844739035553,0.7661725008367374,0.781519300398206,0.7539387991968216,0.762166625647391,0.7510095471932532,0.7528206080565083,0.7507002210119438
rotD50,SA,0.025,0.8862803370276923,-0.34136853588864735,0.770799809384583,0.7583901347292752,0.9987889819181364,1.0,0.9844266022279748,0.9824471837553705,0.9659716856756604,0.9695619156943446,0.9623290558651973,0.9306956489728606,0.8919916022518308,0.8384253803797436,0.796505779462176,0.7600976211704729,0.7269662348422078,0.7072448173396878,0.6846168822826088,0.6728067843101797,0.6668593587325554,0.6686083652567595,0.6792353335231197,0.6773449983672295,0.673686566190547,0.6626767002792301,0.6669627604600871,0.6790907668583122,0.6921828651381537,0.715548136729111,0.7493852378787667,0.7524345254453397,0.7685773879585834,0.7431458541350153,0.7521627501668153,0.7428784436806048,0.7450743486547335,0.7433088322522975
rotD50,SA,0.04,0.8437361142015887,-0.27805683402522857,0.7091196889266482,0.7124198868367663,0.9761304932904229,0.984426602227975,1.0000000000000004,0.9907481915167505,0.973272825495039,0.9641239620061091,0.9305374417096093,0.8805829131729079,0.834151698202356,0.7739485836287148,0.7270850451184419,0.689009058904446,0.6544764756756868,0.6345555006187734,0.6142231072714195,0.6032619695453783,0.5976668117657753,0.6003214271616623,0.6128862775275954,0.6117417104584146,0.6088547247074574,0.5978416813429235,0.601884912309932,0.6155200023388439,0.6283537385426782,0.6561825052533361,0.6910103365355076,0.6969127137643034,0.715599072608989,0.6974054029402257,0.7084372260917075,0.7053017232865261,0.7086308158924222,0.7074214478553686
rotD50,SA,0.05,0.8384012078764166,-0.27603099391517216,0.6971427516558235,0.7017701222207335,0.9750446256229747,0.9824471837553705,0.9907481915167505,1.0000000000000009,0.9816087927318607,0.9721066711900529,0.9359711225240498,0.8814747680203414,0.8294054135073202,0.7639229876572836,0.7144543508919349,0.6746672854553575,0.6402230834104259,0.6196886437305561,0.5996521112283645,0.5882824429186029,0.5821200873651333,0.5847844406817988,0.5978907405569317,0.5966192899078592,0.5937820630207249,0.582149952706155,0.586407603474673,0.5993273662079406,0.6122496067112512,0.6417918473647652,0.6784302387141096,0.6860490809974104,0.7035922872405516,0.684417617876484,0.695443823484304,0.69228065543564,0.6954985700436218,0.6937073556363198
rotD50,SA,0.07,0.8085157977031951,-0.28852804610342775,0.6572401749328016,0.668130253685776,0.9591501590298461,0.9659716856756604,0.973272825495039,0.9816087927318607,1.0000000000000002,0.9777864240077452,0.9219630095204522,0.8575090350285267,0.800547694712702,0.7272061620779098,0.6757022471772343,0.6348068425942396,0.6001223755065213,0.5797038886558795,0.5571388688292627,0.5464585121763612,0.5391581695798356,0.5409420005447891,0.5527403765456065,0.5509506333740397,0.5511848551220834,0.5401878034695382,0.5445823435633566,0.5573373856561666,0.5714150250810781,0.6024075138144871,0.6435312010405823,0.6536074377127387,0.6750884809581191,0.6561490324694635,0.6689175617358186,0.6687412604196973,0.6724491518521506,0.6731359697110916
