,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.13428387033483677,-0.14897894396803937,-0.39891808381930327,-0.39830219104961384,-0.40286651177730665,-0.4071075454131381,-0.4025281735821786,-0.40653446587087627,-0.39940835298011285,-0.3777664035470832,-0.36125955503427337,-0.3381267758888131,-0.31910910718636787,-0.30097619079112026,-0.27893253955026187,-0.26034202243401167,-0.24344797843846155,-0.21247648512854073,-0.19754874655623172,-0.1787596792141757,-0.14779281377916934,-0.11997877755854587,-0.08439559450701052,-0.05003445516448018,-0.022114937318549042,0.008699691157610736,0.02318550660105565,0.025387295500185512,0.010401222060351515,0.014799956745965384,0.024509139103946143,-0.019396063577070514,-0.006305973278125261,-0.02919700724566438,-0.0482177895069483,-0.07374758871161381
rotD50,"AvgSA([0, 3])",3.0,-0.13428387033483674,1.0,0.9526560732682421,0.7438882825746644,0.7306955393444606,0.6997627276919577,0.6815303128471859,0.6610980409621641,0.6589640893341847,0.672243750228505,0.7132319847326055,0.7477197475437696,0.7681424861264017,0.7986591620436864,0.8190611528689701,0.8367819994251956,0.8544812122896253,0.894305517581922,0.919605943733727,0.9286299877785775,0.9378312315246756,0.9515431980661786,0.9592957911293728,0.9677702429452301,0.9671892206946842,0.964003265186326,0.956645757388638,0.9489455293673672,0.927147769933988,0.9006268154757354,0.8696531713785051,0.8520623106679465,0.841305923983518,0.8337790400946264,0.8048413774405465,0.8079638289459746,0.8200231776311415
rotD50,"AvgSA([0, 6])",6.0,-0.14897894396803943,0.9526560732682423,1.0,0.6940775211858404,0.6873370913433151,0.6696442213100572,0.6573250887614597,0.634818646143041,0.617374141900677,0.6051246378326066,0.6304191696846939,0.6562548855631896,0.6723173237670328,0.6980232046968831,0.7135162239129381,0.7270682652078654,0.7435175487856385,0.7848330214503602,0.8078130324077462,0.8178385747547896,0.8301607985933193,0.8519161964958258,0.8678288151573811,0.8963065206940518,0.9120291752163094,0.9200065361190117,0.9246292494101442,0.9271924952382339,0.9391208092060142,0.9414190079632271,0.9348215461772499,0.9285467388883574,0.9399722571699833,0.9347553817126618,0.9310396358315053,0.9255042101499568,0.9242324533940623
rotD50,PGA,None,-0.39891808381930327,0.7438882825746645,0.6940775211858404,1.0,0.9989943165660174,0.9919927096678781,0.9866440083491418,0.9804239716529307,0.9801449945513977,0.977656779831319,0.9739139673838925,0.9620726881559093,0.9517949970264975,0.9391445580156597,0.92479788024468,0.9111423348760054,0.8943581013030749,0.8577437243789329,0.8226491215327401,0.804027587342773,0.7843132565137487,0.7544327503633543,0.7188160970916165,0.6659812869201855,0.6265509172607713,0.5956375106936265,0.5607687638919755,0.5368355671143853,0.4898496470751884,0.464443116525732,0.4484671715616575,0.44631434665669734,0.4788782405793142,0.49333355946877877,0.5223354516862293,0.5463267151480617,0.5851737999965845
rotD50,SA,0.025,-0.39830219104961384,0.7306955393444607,0.6873370913433151,0.9989943165660173,1.0,0.9960584918284364,0.9914495893683387,0.9848106025873096,0.9820913372025695,0.9760115861517077,0.9695579797133179,0.9553928353767133,0.9436922017318125,0.9300059469628923,0.9146835793019493,0.9006011115614296,0.8832566909625683,0.8455479799212811,0.8095110048951746,0.7905052887030621,0.7705503551647945,0.7406479817900125,0.7044791429932378,0.6510593910179352,0.6115199643961726,0.5804887590658229,0.5459657914303563,0.5218575191723331,0.4756884703660234,0.45184419650512764,0.43739257460239245,0.4356606641008026,0.4723568614308762,0.48717003231493633,0.5186924711462932,0.54280525893879,0.5815558629286028
rotD50,SA,0.04,-0.4028665117773067,0.6997627276919578,0.6696442213100572,0.9919927096678781,0.9960584918284365,1.0,0.9984429485769885,0.9917388384948128,0.9834184929445665,0.9679659465498749,0.9544569786579963,0.9347582847225229,0.9200954879007432,0.904675518596676,0.8873469975268055,0.872111875067056,0.8534766528352419,0.8142573260891346,0.7761982362894193,0.7564746853414532,0.7361817541974115,0.7060885532118248,0.6694253734722722,0.6151383446979417,0.5755228098881755,0.5441545323023003,0.510442424736111,0.48647873231905436,0.44359023023688093,0.4237489832982649,0.4133885927912175,0.41326594911911607,0.45527141331628923,0.47059585920805114,0.5074149695869592,0.5312140199123118,0.5701377694701951
rotD50,SA,0.05,-0.4071075454131381,0.681530312847186,0.6573250887614597,0.9866440083491417,0.9914495893683387,0.9984429485769883,1.0,0.9954365488156433,0.9849216077067359,0.9640498460564659,0.9456815956358736,0.9222830603248502,0.9057781314079596,0.8884681271547057,0.8697276419793519,0.853622315404069,0.8341496038102318,0.793426917768092,0.754304625645701,0.7342779667038287,0.7138445158599344,0.6840076776835471,0.6470187269978609,0.592969753448499,0.5538180173851639,0.5224750823422578,0.4895064852065127,0.46538758015893444,0.4249902293138216,0.40752052333261524,0.39911423923303974,0.3994416608829975,0.4440952335701752,0.4594773844954438,0.498115275937002,0.5216866370872253,0.560973447718953
rotD50,SA,0.07,-0.40252817358217874,0.6610980409621641,0.634818646143041,0.9804239716529307,0.9848106025873096,0.9917388384948128,0.9954365488156433,1.0,0.9912638387344486,0.9663295661170406,0.9425405597082762,0.9145541465827794,0.8946776767723822,0.8739456234208557,0.8536240467097638,0.836322955565162,0.8152531571237948,0.7717868429139352,0.7314536775156213,0.7109391223450799,0.6900235516232351,0.6599500837051572,0.6223261660570212,0.5683716597854551,0.5294214993512971,0.49790957102403827,0.46537055672440053,0.44122916825052155,0.40270990277731766,0.3867322840592546,0.37999743456817786,0.3808907493835141,0.422437287380503,0.4382235727617504,0.4774582644314985,0.5006422672489292,0.5411290268620637
