,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,0.9999999999999963,0.06545327053326334,0.14338891725835326,-0.4069759765236101,-0.4135860266769412,-0.43027254694001427,-0.45012644389969025,-0.4791684796648665,-0.4785809993927227,-0.4455664976043347,-0.38737993118288094,-0.33122456859525007,-0.2774519320103858,-0.2285508997493965,-0.17950119820583033,-0.1292460074030895,-0.08532354775644196,-0.03212429069548658,0.015314798876998473,0.03515922945537243,0.04860888499725134,0.07921963219889487,0.11133081130641691,0.15162460404023664,0.17639396842147584,0.19601266643856965,0.20643145934518933,0.21235088168971006,0.22132469485410372,0.2217086521737385,0.23033623793288663,0.24598155741058939,0.22868993732816895,0.23249461899423782,0.24411764044273088,0.23645261433501147,0.2029174048002657
rotD50,"AvgSA([0, 3])",3.0,0.06545327053326334,1.0000000000000016,0.9593167345140603,0.6984494231848809,0.6834195061922792,0.6310673811899696,0.5969957384248604,0.557871428253766,0.5522246173435426,0.6014884737923043,0.6622436402084488,0.7206357010912731,0.778066484869818,0.8242840257353304,0.8559251213003177,0.8815218032501094,0.9013141527416807,0.9296102552835198,0.9458405818438521,0.9499572666661791,0.9527265920819,0.9563245293699828,0.959458105840864,0.9615260110892466,0.9636078754775305,0.9621181873236002,0.9595542034246616,0.9562244500968758,0.948652412275883,0.933452373173159,0.9108572845896913,0.8947618112335122,0.8720686854542349,0.8611216526655321,0.834683943937686,0.8333269674281453,0.836508216279859
rotD50,"AvgSA([0, 6])",6.0,0.14338891725835326,0.9593167345140604,0.9999999999999979,0.5970437987929325,0.5849625449894806,0.5397059751325816,0.5063762804928177,0.46008642919235626,0.4437720150738069,0.47997169497796593,0.5374248839104914,0.594097690631518,0.6516237337159289,0.7046718698656178,0.7452714116416318,0.7803414862279926,0.8066417352396783,0.8426160508204622,0.8655465002855545,0.8734568531874958,0.8798335757030812,0.8911672933047118,0.9007240947275443,0.9149326059411729,0.9291132725408996,0.9401206225113513,0.9479556083269601,0.954151381820237,0.9627265697532298,0.9625447832566366,0.9609268185769244,0.9550227844015983,0.9541762935011497,0.9464937970502593,0.9378895062652006,0.932502902330161,0.9295066648565004
rotD50,PGA,None,-0.40697597652361006,0.698449423184881,0.5970437987929323,1.0000000000000002,0.998274722335047,0.98328893776973,0.9744009114164146,0.9628973648179923,0.9602160230475729,0.9636353892751357,0.9572877184780597,0.940004340999562,0.9170330351317807,0.888170545572864,0.8557406351158473,0.8238275772149103,0.7940263001781848,0.7467307376995792,0.7032542930399158,0.6821716390642163,0.6653740286830157,0.6316527209608935,0.6068505545758063,0.5725751257016645,0.5492569202093599,0.530679370417476,0.5217352156841356,0.5153326063826756,0.5088308211123083,0.49516380782823144,0.45907408136523115,0.4481796585536931,0.44237987874213097,0.44689719023146224,0.43624393032505515,0.45800174060467275,0.4828403999003163
rotD50,SA,0.025,-0.4135860266769412,0.6834195061922792,0.5849625449894805,0.998274722335047,0.9999999999999993,0.9902584835917105,0.9821387105847843,0.9692624949416522,0.9616492687431649,0.9595936700262421,0.9494730930334965,0.9291988081582264,0.9042146005167558,0.8739913308508268,0.8404869276520615,0.8079145556156747,0.7777259200515299,0.7298749866310881,0.686320994085225,0.6652915963887939,0.6485011708810161,0.6147319399382718,0.5899181343081342,0.5557562064720937,0.532787327007171,0.514526014341823,0.506010171138759,0.5000200620830288,0.493758407619694,0.48101420643981024,0.44507571957631586,0.43407566433891714,0.4303536919322707,0.4354288404027923,0.42613557323930096,0.4481118299542507,0.47306227268839257
rotD50,SA,0.04,-0.43027254694001427,0.6310673811899696,0.5397059751325813,0.98328893776973,0.9902584835917105,1.0,0.9951325719011475,0.9785543062254983,0.958906386060295,0.9403801438927161,0.918767876441946,0.8900453757917699,0.8581940466353157,0.8239394572785188,0.7878742353076049,0.7531704315229448,0.722065311422114,0.6738305715259377,0.6298277744901676,0.6088429249899272,0.5923381984287897,0.5580871999124795,0.5334122137056779,0.5003658354129834,0.47897008760909976,0.46204946714815953,0.45469546013862633,0.44954188036088694,0.4432256342572339,0.4321376534569989,0.3969792497401958,0.3864384713091413,0.38593726847748766,0.39198943488893007,0.3871623422311054,0.4093434972270104,0.4342007011476728
rotD50,SA,0.05,-0.45012644389969025,0.5969957384248604,0.5063762804928176,0.9744009114164146,0.9821387105847843,0.9951325719011475,1.0000000000000004,0.9876060025009765,0.9630786029953355,0.9341824814771357,0.9058388998315182,0.8713684923879003,0.8362505890706654,0.799416562063817,0.7607940917517956,0.7241936782729045,0.6916589580729768,0.64169196747144,0.5965245621240944,0.5750478379326689,0.5580485470058706,0.5235640497829385,0.4985515629431529,0.4656877680399649,0.4438007335847565,0.42712747073437346,0.4201168303994518,0.415202081982326,0.4093121095975998,0.3981337072351128,0.3625775376575958,0.35167860610574647,0.3519984100736617,0.3580401797159786,0.3541712961782593,0.3764802168218743,0.4015922102246228
rotD50,SA,0.07,-0.4791684796648665,0.557871428253766,0.46008642919235615,0.9628973648179923,0.9692624949416522,0.9785543062254983,0.9876060025009766,1.0,0.979140346465862,0.9377561030490973,0.8997135080408523,0.8585358834029012,0.818980979736178,0.7793547111914727,0.7377650294429817,0.6984431815391217,0.6642086932416085,0.6119141290276395,0.5651292141752726,0.5430817235680818,0.5252841292238021,0.4899885796947774,0.46396776395909717,0.42915181935333147,0.40575611006646023,0.38774144824583,0.3801969565950484,0.374826653410701,0.36701720837860263,0.35322746102612324,0.3169591429580755,0.3051870643200642,0.3048814841163394,0.30975270776263525,0.303751894665881,0.3261214597677683,0.3507143175780446
