,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA[0,3]","AvgSA[0,6]",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,-0.10785072918775869,-0.06743897089631515,-0.4405024254052499,-0.43873428786673613,-0.4365814024195999,-0.4436833101071606,-0.4563905433867283,-0.4608786540350416,-0.44328800339087593,-0.41148097301780673,-0.38115661309887966,-0.34609621705123944,-0.3150406987067904,-0.28163287654158303,-0.24844821097216374,-0.21785332052989714,-0.18218438606015594,-0.14471244772106362,-0.12944529867438442,-0.11687851561367261,-0.09089939448202007,-0.06582156388920243,-0.03299459830428086,-0.009542987329945359,0.006969810236166975,0.01923827895440753,0.02289198007950636,0.029264608525233923,0.023585980528679315,0.03460106626513621,0.04278124612512805,0.03842406730940551,0.042386545188932055,0.06407021430651981,0.04819171409156146,0.020616219972374936
rotD50,"AvgSA[0,3]",3.0,-0.10785072918775869,1.0,0.9702431856960726,0.7238269772839141,0.7088934163677485,0.6640866820559457,0.6365680828629079,0.6060031402079086,0.6010852928282425,0.6385725329645011,0.6872180049932517,0.7336665607331183,0.7774516324309945,0.8127051050333446,0.8364715768621046,0.8563656002138134,0.8746933953773209,0.9042636004084718,0.924171644722777,0.9301503887358701,0.9353677266756564,0.94421118832677,0.9507495894996137,0.9550621287279389,0.9570412437430106,0.9570521395786338,0.9538263905700022,0.9506504313226046,0.9352380229751603,0.9119023125975423,0.885564329825446,0.868799147606073,0.8502599566388338,0.8375082689331814,0.8115962386896315,0.8130112153374077,0.8199988743801218
rotD50,"AvgSA[0,6]",6.0,-0.06743897089631518,0.9702431856960727,1.0,0.6530411414229059,0.6396745523121639,0.598469934697073,0.572182527609152,0.540103852957993,0.5306020019557486,0.5610368501972579,0.6050717344346066,0.6484278821540506,0.6886131694750645,0.7238356384391195,0.7514695744970038,0.7745062538535917,0.7949031901508464,0.8295485489655191,0.8536220958446643,0.8619588036653427,0.8693017287665825,0.8819165198162681,0.8928095346473448,0.9088591537564885,0.9225128056842021,0.9321450858617406,0.9383185542016798,0.9443834125583417,0.9550511453982924,0.9568789669271797,0.9546763042388525,0.9537635362656528,0.9467311723324059,0.9402968034734014,0.9198173336891602,0.9132289408468258,0.9093922137309374
rotD50,PGA,None,-0.4405024254052499,0.7238269772839142,0.6530411414229059,1.0,0.9969706643753701,0.9808934206586107,0.9717378276021492,0.9608560681776654,0.9562831376532122,0.9533821222180037,0.9440444854407978,0.9264543209230578,0.9049404599661938,0.8811645910068808,0.8556680640230869,0.8312008997263653,0.8081529309868176,0.768857314266805,0.7328524910621393,0.7142774110239731,0.698986745166668,0.6708270656944924,0.6456158632941391,0.6076180249188725,0.5802636647777272,0.5604625844583446,0.5449194147291576,0.534393590320222,0.5164474845941612,0.5028841841742646,0.48343214107213794,0.48081545742721643,0.4859641414295011,0.4926841940338197,0.49905781787325704,0.5251883536048566,0.5558592696077999
rotD50,SA,0.025,-0.4387342878667362,0.7088934163677486,0.6396745523121639,0.9969706643753701,1.0,0.9886062980867898,0.9793919585382602,0.9658476542946098,0.956010284892473,0.9473047766497508,0.9345503331234785,0.9143765146604013,0.8912715279391789,0.8664595722711661,0.8401536877808838,0.8154347289218453,0.7921014871900156,0.7526131769482902,0.716639526768414,0.6980623909091807,0.6829346354755531,0.6549005433144298,0.6297240583768651,0.5920165935874674,0.5650583356538201,0.5454701010488968,0.5302436988089424,0.5200380759576321,0.5024997330522588,0.4900993942128165,0.4710736113906006,0.4686889769617627,0.4771558984312126,0.48417004309016626,0.4923050099399439,0.5184280344323179,0.5488077882815316
rotD50,SA,0.04,-0.4365814024196,0.6640866820559458,0.598469934697073,0.9808934206586107,0.9886062980867899,1.0,0.9925619931265051,0.9741719932550117,0.9515312928047764,0.9268257569203434,0.9040109341128348,0.8769870257951478,0.8489022260615163,0.821262776814519,0.7934069892758733,0.7677583294416223,0.743917060306684,0.7046477685713328,0.6686098951924807,0.6502023529534604,0.635515605749683,0.6078553323982281,0.5832245630892267,0.5465190371548366,0.5206913423458167,0.5019361883091867,0.48759218734777976,0.4779687054547934,0.4620967271883376,0.45280220965218376,0.43527231480361667,0.43353877456366186,0.4458617542293475,0.4534458562270255,0.4650928862833534,0.4905202182396156,0.5200809710426284
rotD50,SA,0.05,-0.44368331010716056,0.6365680828629079,0.5721825276091519,0.9717378276021492,0.9793919585382601,0.9925619931265051,1.0,0.9831591281882,0.9552342879483315,0.9208336389572518,0.8911784900790898,0.8590544462388255,0.8281748559872257,0.798191617244999,0.7685761136972855,0.7417003680459839,0.7168850297490648,0.6765761098563562,0.6399195227051371,0.6214562628192027,0.6064423816628001,0.5788452700624231,0.5541813031887215,0.5180215018565828,0.49246112405981846,0.4739832936603736,0.4600365633104362,0.4505929012823698,0.43658228444838126,0.4286676655872148,0.41173836567394434,0.4099885169564837,0.4228003382400672,0.4304183491259416,0.44303483898803875,0.4680378410429006,0.49748804481652903
rotD50,SA,0.07,-0.45639054338672824,0.6060031402079087,0.5401038529579929,0.9608560681776653,0.9658476542946097,0.9741719932550117,0.9831591281882,1.0,0.9723049049370408,0.9276162058906694,0.8883629310623881,0.8496133113105712,0.8139366617130661,0.7799988678280745,0.7476370507772273,0.7183193157732447,0.6920923043421152,0.6496265822281193,0.6110706081376241,0.5920968798097179,0.5767198285258208,0.548545702562322,0.5237059886923473,0.4870351791369924,0.46065659103116013,0.44148830272574463,0.42772048164288096,0.4182551475802144,0.40457924745490936,0.3970200714166141,0.38078923678709176,0.37919284776983214,0.38923910680498236,0.3966028326731534,0.4055204695559805,0.4304730683954421,0.4597429713332393
