,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0000000000000087,-0.5008746494047067,0.6804374003027827,0.6027630649210348,0.8434539595130527,0.8397327114420884,0.8284511549193262,0.8183743944729689,0.8047611718175707,0.7950480638134525,0.7932962126985061,0.793574282351123,0.7889347533275095,0.778520068789482,0.7688535498630201,0.754715638701683,0.7375191380399084,0.7223439519622791,0.699410646972084,0.669873577447845,0.6547936307440028,0.6448433217269878,0.6219438132902257,0.6033975992219661,0.5782627921893616,0.5608534277766769,0.5461415159239029,0.5342397402066849,0.5289782832652857,0.5188127071875875,0.5044863707991607,0.4859960987254751,0.48594227843533305,0.4828792469665618,0.48296921874696336,0.4766151430472436,0.4862333373032603,0.5098754115564373
GM,RSD595,None,-0.5008746494047067,0.9999999999999983,-0.10723367624125744,-0.044346739719195026,-0.4484834871950556,-0.44680867551193393,-0.4455491763017083,-0.4527295192974633,-0.46545460047328996,-0.46905400405501935,-0.4526913463417288,-0.41960156227412193,-0.38812367341474885,-0.35225703155403165,-0.32181565642159954,-0.28802654850435194,-0.2534308787424122,-0.2222142461930483,-0.18667499801763546,-0.14687296164339592,-0.13021939080685058,-0.1169443742631949,-0.08869266771740279,-0.06260824161822515,-0.026955695182450137,-0.0017440791841319453,0.01538096208256442,0.02853657123352251,0.032080077492819714,0.03522684544891692,0.030211569192978585,0.03137461382786318,0.03820257693987692,0.03294197172737092,0.0369177243790292,0.047232365138706135,0.03233118093854321,0.004461740523170977
rotD50,"AvgSA([0, 3])",3.0,0.6804374003027825,-0.10723367624125743,1.0000000000000049,0.9366276156453844,0.716300398400461,0.7020857102583185,0.6585312794479325,0.631070444263191,0.6000757703471787,0.5931371462711663,0.6257649087007596,0.6749921289864568,0.7196299453641412,0.761792930717774,0.7970845905660322,0.8197726068850947,0.8406549816292571,0.859111110670781,0.8892117264388859,0.9092950012291301,0.9146807190614873,0.9197203824345082,0.9291723140297857,0.9351523165352185,0.9391547504466602,0.940736877078621,0.9396396020986092,0.9385786635821481,0.9350678972876133,0.9270033933055251,0.9072681852705557,0.8657071750860702,0.8462219545865812,0.8218635538706477,0.8093545397033919,0.779734792651465,0.7790318690305401,0.784591307974371
rotD50,"AvgSA([0, 6])",6.0,0.6027630649210348,-0.04434673971919502,0.9366276156453845,0.9999999999999978,0.6228378166212254,0.6127245278437479,0.5777259093399952,0.5533577498775298,0.5187869740563251,0.5028334900071993,0.5188693012648823,0.5577968735217288,0.5939155433916317,0.6323428539829298,0.6685788150963509,0.6951365914704535,0.7197304934211801,0.7423253024246432,0.7855428492555673,0.8118917714655368,0.8195974029634173,0.8266267869836639,0.8419974223388451,0.8511966622895013,0.8676427215989335,0.8791168667908201,0.8846289101491208,0.8923005082979242,0.8966537275788599,0.9160699161121115,0.9276295456149425,0.9373661868680208,0.9303965480944484,0.9461479751441936,0.9372141890956103,0.9180567276200077,0.9082255585422115,0.9026151767967575
rotD50,PGA,None,0.8434539595130527,-0.4484834871950556,0.716300398400461,0.6228378166212254,1.0000000000000022,0.9968752880957784,0.9803510744999014,0.9710834250519796,0.9598637856478046,0.9549683485511657,0.9515478038746406,0.9425501780661888,0.9245150145462836,0.9030442974132263,0.879682866865476,0.8535950004769725,0.8290078020114706,0.8055516659835333,0.7648971777638988,0.7278070616215777,0.7087922654152726,0.6927215835774675,0.6634330797519358,0.6376311795692904,0.5984153724694867,0.5707052972561188,0.5508071881635002,0.5335424244786645,0.523581012033639,0.5058514538976557,0.48617393925844127,0.46111602911678684,0.4570579610785686,0.4559603365981383,0.46214679575545126,0.45709863842290976,0.48002080938614256,0.5086189543227708
rotD50,SA,0.025,0.8397327114420884,-0.4468086755119339,0.7020857102583185,0.6127245278437479,0.9968752880957784,0.9999999999999994,0.9881180848335431,0.9786964732257543,0.9646707071407357,0.9545997056120681,0.9454830683029056,0.9330615755952786,0.9124692741982449,0.8895345152446039,0.8652042689907025,0.8382911413907771,0.8135059029848674,0.78977307442885,0.7488379960728742,0.7118408541939693,0.6928381888548264,0.6769301392755153,0.6477120030785737,0.6219666000952899,0.5830276610079631,0.5556625084558104,0.5359901411054798,0.5191076103646264,0.5094020475911448,0.49208212596727613,0.4733232031783636,0.44901245799965533,0.4451925868811526,0.4461837024518315,0.45271539073979183,0.4495528828624605,0.47259116754033237,0.5010134402647121
rotD50,SA,0.04,0.8284511549193263,-0.4455491763017083,0.6585312794479325,0.5777259093399952,0.9803510744999014,0.9881180848335431,0.9999999999999991,0.9921178579879895,0.972755882860963,0.9497865247765717,0.9248206033909709,0.9021731169567178,0.874693825040824,0.8469110808211489,0.8199573729543789,0.791549681226979,0.7658731300568948,0.7415554599033677,0.7007691777705509,0.6636014054039824,0.6447338879918368,0.6292451891348257,0.600271249042422,0.5751377673433172,0.5372198908265045,0.5108995980587996,0.49206040097539067,0.4763611608157182,0.4672020984580683,0.45165791530087557,0.4358190102938944,0.4137124420943167,0.41074855313924463,0.4145976286889868,0.42159807050845305,0.42182033116380874,0.44435073479228526,0.4722271089340816
rotD50,SA,0.05,0.8183743944729689,-0.4527295192974633,0.631070444263191,0.5533577498775298,0.9710834250519795,0.9786964732257543,0.9921178579879893,0.9999999999999989,0.9821825117743527,0.9537183649866555,0.9188947221480417,0.8893251370206342,0.8566770775812093,0.8262225134329106,0.7968335730663728,0.7665834921191731,0.739689406425074,0.7143731952965737,0.6725094017924237,0.6346651199146606,0.6157305731742014,0.5998317758861444,0.5708771227803123,0.5456067472463262,0.5080724557412556,0.48195057578873723,0.46336354657525697,0.4481311968584894,0.43909226749288227,0.4251276071775049,0.410526524875145,0.38953535014545054,0.38655018216300646,0.3917609352617478,0.39883594750577817,0.3998801446634494,0.4220938089566117,0.4500088751661149
rotD50,SA,0.07,0.8047611718175707,-0.46545460047328996,0.6000757703471787,0.5187869740563251,0.9598637856478046,0.9646707071407357,0.972755882860963,0.9821825117743527,1.0000000000000016,0.9714250818124197,0.9260365687990366,0.8867530267391818,0.8472287169128686,0.8119287488328144,0.7784912020965585,0.745369871617639,0.7160613664772821,0.6894031587112142,0.6452805708266905,0.6055396272777417,0.5860709677729533,0.5698423424739674,0.5406499060545076,0.5150093507869247,0.47681560542370977,0.45001702182666187,0.43084168727426236,0.4157254785828479,0.40660837988452525,0.3928607736955392,0.37848403999918107,0.3583762896846498,0.35541003311401137,0.35973950580870906,0.3664449800227683,0.36589261712169246,0.38780518176991574,0.4156762528538599
