,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0,0.023913645949878985,0.06662263313748035,-0.4319356843388156,-0.42205464832269873,-0.39902251430165014,-0.4254833028943975,-0.45042013461944924,-0.48706208091556624,-0.4921896219438709,-0.4662232094361479,-0.4438546161976822,-0.4166549967691035,-0.3644946236301447,-0.32178932667546145,-0.28904254486721687,-0.2555491360824798,-0.19782711932355176,-0.14911021375279698,-0.10974111627835212,-0.0729842771846753,-0.057831242154556685,-0.021772520961913594,0.0018691000562710677,0.03814919053667388,0.07735065106488687,0.09596325919621577,0.11770083120393417,0.140455434721893,0.22162811169047808,0.21383879923802482,0.21748630373278935,0.23818737598209708,0.22877600040520124,0.20031567752688678,0.1553475701064056,0.14355744075821952
rotD50,"AvgSA([0, 3])",3.0,0.02391364594987899,1.0,0.9236324534651873,0.6870007904059376,0.6787684714316439,0.6386932583860991,0.598812962892706,0.542572690365029,0.503834161460987,0.48451527325396293,0.5414042078410959,0.5779068763040998,0.6254851274748741,0.7048152028128448,0.7753151113612633,0.8165606942696625,0.8460192131729609,0.8952086452042753,0.9268604362233775,0.9410085366772746,0.9496616083128456,0.9605195304161115,0.9676985009095672,0.9692077069835949,0.9668473561479983,0.9669718034313055,0.9688316641503925,0.9643567056069647,0.9594220111966452,0.9496949862415787,0.9301193801757822,0.9172463127985063,0.9012393734273125,0.9042899654238552,0.8226274669790136,0.8248747859555599,0.8055533983645359
rotD50,"AvgSA([0, 6])",6.0,0.06662263313748037,0.9236324534651873,1.0,0.6541671976399158,0.6529843807798802,0.6460779962666865,0.6201001420602883,0.5647802993833761,0.5102845042286202,0.47122869716067867,0.496802551473765,0.4935036064880537,0.5026673447337153,0.5542890766268234,0.6232409996042514,0.6537837139063997,0.687656869875723,0.7453439081431338,0.7995923874241855,0.8160186873256938,0.8355577325917314,0.8588724035696499,0.8716407853261249,0.8837999799066516,0.8964234268182092,0.9115290636327911,0.9221185506424984,0.9233499836652387,0.9239489898948988,0.9301677359058763,0.9257668833125011,0.9248830832940034,0.9317435217839135,0.9443426778894228,0.955605140194598,0.9488854934174357,0.9272300496775208
rotD50,PGA,None,-0.4319356843388156,0.6870007904059376,0.6541671976399158,1.0,0.9986062446999051,0.9860161302340071,0.9794218016589364,0.9698884566488806,0.9630746384040492,0.9530423108907502,0.9538200210614841,0.9480967033295377,0.936881745802146,0.9235420911040905,0.9114575575503593,0.8916803226571604,0.8747488631825172,0.8098979557630693,0.7629545023794462,0.7387445634308816,0.7153407501145647,0.6969556363796866,0.6729635395005602,0.6356403605752436,0.5967220510314255,0.5766207131922888,0.5725489994658816,0.5665118067719429,0.5402647094754838,0.5039117422446315,0.5240040332233545,0.5335564833909869,0.4716812840694525,0.4874932443805096,0.5226891922271267,0.5664584685894603,0.581185444549296
rotD50,SA,0.025,-0.4220546483226988,0.6787684714316439,0.6529843807798803,0.9986062446999051,1.0,0.9915652163345122,0.9834328338045615,0.9721317633390427,0.9646539306910544,0.951259757186332,0.9504421315734082,0.9428860919909061,0.929965796008878,0.9151427970904601,0.9005230192950375,0.8827948015335436,0.866122217035789,0.79926867466793,0.751887897951111,0.7282999187995373,0.7048823549201522,0.6871565740005292,0.6644400538860223,0.6269690801094293,0.5871924785572394,0.5679488276326177,0.5640911596870569,0.5593881872591037,0.5338590571575209,0.5019244283906894,0.5243978052236828,0.5341878983039805,0.47306523312123605,0.488104292360781,0.5245912086025531,0.5669469678648474,0.5803491553777519
rotD50,SA,0.04,-0.39902251430165014,0.6386932583860991,0.6460779962666864,0.9860161302340071,0.9915652163345121,1.0,0.9931821711616412,0.981748497719319,0.9653542114283341,0.9472297377957068,0.9405838708386464,0.9231909197816289,0.9006057631763892,0.8797512600964309,0.8633519703163002,0.8411169432528662,0.824542416621366,0.752150084323213,0.7041308946315399,0.6789853154242169,0.6573443982759468,0.6420255153262078,0.6203159430889726,0.5824193087443289,0.5443599980680514,0.5273943153245436,0.526680197482763,0.5256343598234835,0.49960937436247005,0.47356980931982023,0.5003117570280587,0.5122989255624691,0.4564455919041859,0.4715542926516698,0.5292668498136589,0.5700598889223909,0.5813382042241775
rotD50,SA,0.05,-0.4254833028943975,0.5988129628927059,0.6201001420602881,0.9794218016589363,0.9834328338045615,0.9931821711616412,1.0,0.9888976510958507,0.9723165305584103,0.9507562508500623,0.9391917680414985,0.9174770438665485,0.8902445732469672,0.8631652248025304,0.84372613467961,0.8161999027009382,0.7966375132875384,0.7204986218557575,0.6716820122627573,0.6431508087824277,0.6203116137809206,0.6042292530250011,0.5807428147212675,0.5414168108449162,0.5045379479823273,0.4879494085537006,0.48823806297875666,0.48554549895637233,0.45753592630685297,0.42892275647512085,0.4575282961853862,0.47245475255752645,0.41735537569086545,0.43457144258546937,0.5058628218658224,0.5462396308933508,0.5577125010731937
rotD50,SA,0.07,-0.4504201346194493,0.542572690365029,0.5647802993833761,0.9698884566488806,0.9721317633390427,0.981748497719319,0.9888976510958508,1.0,0.9859483954225162,0.9658437243276435,0.9455748349725688,0.9173295991256406,0.8865351879036263,0.8538693404463639,0.8269767866715333,0.7930911624467939,0.7704104627006686,0.687501259796477,0.6314817368436945,0.6005663320047526,0.5746127319893307,0.555040456326704,0.5313438002442086,0.49169300758132384,0.45284420774720646,0.43058621824186666,0.4271006316298111,0.42278786995185286,0.3944035929931403,0.3614922955454943,0.39659345600469287,0.41289212297459504,0.3517480654880445,0.37001447178515534,0.44764307383281965,0.48982995054180517,0.5073085707327473
