,,,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,RSD595,None,1.0000000000000013,-0.31196587982702656,-0.1315533634152535,-0.3997116312273818,-0.3615233796384837,-0.328486815542501,-0.3338662745209768,-0.3473094472009,-0.3511551237286593,-0.34542960147278146,-0.33360980182495925,-0.33731365367204125,-0.3570854510620449,-0.3539039965269208,-0.34578158110672924,-0.3341567999967476,-0.3485769065019996,-0.3655472319373394,-0.34406515790204284,-0.356265531052541,-0.33485290427985104,-0.2847476258317477,-0.2755466580045932,-0.2785308734831241,-0.2390106539175286,-0.24282719945824768,-0.22289513222568016,-0.2031069847326833,-0.21912962565588825,-0.170744146904802,-0.14510187831586507,-0.17634977934464627,-0.13978125780297077,-0.10721022848597772,0.0006555326562918619,0.002629851869650142,-0.007767865892258999
rotD50,"AvgSA([0, 3])",3.0,-0.31196587982702656,0.9999999999999976,0.8242194411212321,0.7286224959168291,0.71079260931712,0.6692591918886251,0.6593401958386852,0.6149606822562048,0.5738092508084333,0.5341496429604347,0.5857929946026671,0.6265543431658434,0.7046497761035869,0.6722268645503172,0.7142371121105304,0.7334445907411381,0.7341518380521861,0.7633240876507427,0.7854269230668327,0.7900729169655701,0.7961341414050904,0.8176425943624747,0.8251586618945477,0.8321291261898315,0.8462724255663969,0.861641911265156,0.8575377687226101,0.8568763762239647,0.8661469127511028,0.8798527765194961,0.8339979447206921,0.8134728413968723,0.7800041281183268,0.7411590044959103,0.6521206552310072,0.62856114577079,0.6111156114233374
rotD50,"AvgSA([0, 6])",6.0,-0.13155336341525345,0.824219441121232,0.9999999999999958,0.5824277764205232,0.5662017888100659,0.5260022687772992,0.517336467244724,0.4905201802800641,0.4566565288191059,0.3988970744739185,0.46117724831221885,0.48622568822141715,0.5200043787556506,0.4955496139238414,0.5386838823441463,0.5616735551031284,0.5583184451325743,0.5598380328760125,0.5398132966048413,0.5581965166139309,0.5733066353832597,0.6042442767444508,0.6237678276771875,0.6666841347103784,0.6870599693715376,0.7134300647493101,0.7309934219105796,0.7633988151054033,0.8083882974204838,0.8456260880591546,0.8872058695524471,0.8920926052096952,0.9038068633273336,0.8794922726947063,0.912059340084282,0.8787802237723752,0.8502585921564602
rotD50,PGA,None,-0.3997116312273818,0.7286224959168291,0.5824277764205232,0.9999999999999999,0.9847111161187307,0.9449381475002702,0.9374224053442834,0.930803330719153,0.9173199490339338,0.8904826386777527,0.8993145654593971,0.8892744936749439,0.8741430807851761,0.8370784787353603,0.8139134032406526,0.7838339263833181,0.7437660085968143,0.6811887343584861,0.6394294503392558,0.6074849885473779,0.604074358887878,0.5917747540582818,0.5809512043346756,0.5481971506840645,0.547486954040955,0.5594951353234544,0.5195867392021506,0.49950519267387306,0.5371942669416552,0.5183433552733075,0.5315318473670682,0.5726219127629257,0.5390183895384676,0.5234931531772519,0.48258089964086254,0.48861299675228903,0.48860684601976384
rotD50,SA,0.025,-0.36152337963848374,0.71079260931712,0.566201788810066,0.9847111161187307,0.9999999999999992,0.9685913455718701,0.9471832875325467,0.9276570344635988,0.9042294777565164,0.865708881765248,0.873073497746775,0.8628845609022753,0.8479789401528705,0.8064064034935502,0.783224062610959,0.7544768384889079,0.7108905357881612,0.6565603880783162,0.6179662244009487,0.5873548877229867,0.5895264713100447,0.5732281745586679,0.5615290228383335,0.5238267579624899,0.525409343244008,0.5458511899766946,0.5035932219652344,0.4892922185161558,0.5230656141389063,0.5016122401895294,0.5232213781767059,0.5706876881244277,0.5430076468016118,0.5238571876449511,0.47497865012268514,0.47663487734406956,0.4773890196081698
rotD50,SA,0.04,-0.328486815542501,0.6692591918886251,0.5260022687772992,0.9449381475002702,0.96859134557187,0.9999999999999992,0.967126038868742,0.9208090944203233,0.8794617241181509,0.8191541837720616,0.8240906786610068,0.8089539419088038,0.790746411489152,0.7482319237344169,0.7179046357215625,0.6889703388004165,0.64730989191112,0.6103216382162239,0.566465283904682,0.5398884592503562,0.5466609003420054,0.5358696707629932,0.5297986589678111,0.49492133084646556,0.49862639555737576,0.5166464887568837,0.48199241030853146,0.4673338295668976,0.4942464764435792,0.4837474203071846,0.5133505474870689,0.5627692492870123,0.5328290169239238,0.5140556350489339,0.46563769776424635,0.4652360446196434,0.46588413402423473
rotD50,SA,0.05,-0.3338662745209768,0.6593401958386851,0.517336467244724,0.9374224053442834,0.9471832875325467,0.967126038868742,0.9999999999999994,0.9432474309751198,0.889979604218923,0.816175869012935,0.8155675844524815,0.8010367082113048,0.7781329912628874,0.7361704301921195,0.7021608653267905,0.6705612551350859,0.6310256202838804,0.5902692809661046,0.5478314917866011,0.523102829944412,0.5258695644309075,0.5254712353504056,0.5306290181711821,0.49685342791637593,0.5006962458743882,0.5087789753521373,0.47956300292681076,0.45698059385540296,0.49487139610137726,0.4786244885145455,0.5064154779012575,0.5514606089806252,0.5240365277585217,0.5188369947388042,0.46413167659859367,0.4665362836615009,0.463219406351395
rotD50,SA,0.07,-0.34730944720090007,0.6149606822562048,0.49052018028006417,0.930803330719153,0.9276570344635987,0.9208090944203232,0.9432474309751198,0.9999999999999992,0.9452040905479326,0.8631116703954907,0.8386542926876893,0.8050006065128356,0.7756647609403612,0.7173642855338314,0.6742683244519089,0.638278368498647,0.5912295119869333,0.5427581446304601,0.49583295991133103,0.47168294422631496,0.48485552695171863,0.4794395071596178,0.4880410605771412,0.4606235980332516,0.45846795951971947,0.4638059545360574,0.4331572110396968,0.4057383264502234,0.45124017647238135,0.4364109907257805,0.46790291014766483,0.5109066391636691,0.49230473458191065,0.4921248149057554,0.439515724266374,0.4557081128112667,0.46147754237074307
