,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.5172052423660988,0.8207923813284967,0.7891234191212865,0.8695575940394701,0.858291643189279,0.8366104545721555,0.834915540625621,0.8164145395756046,0.8092820645424714,0.8175575025638105,0.8334825157196635,0.8382424640069016,0.8399070386653438,0.8411620010117066,0.8449728217032936,0.8519711002015424,0.851631078641023,0.8396737073818072,0.8215575097409468,0.8135493844277903,0.7974245348320643,0.7775158981433883,0.7642485018321113,0.7495959987399858,0.7384095313597163,0.7267625852193438,0.7153024514287085,0.6991648153553297,0.6685699498658261,0.6320604650988227,0.618529848793809,0.6257508646301583,0.6158365591849353,0.6250605337618343,0.591459923164331,0.5925799399404498,0.590990655713587
GM,RSD595,None,-0.5172052423660989,1.0,-0.21021915507758285,-0.19260521947129042,-0.46137881071564896,-0.45476682233683485,-0.44635502287150963,-0.45783263151641374,-0.4749327351119057,-0.4883277422622719,-0.47153744030088063,-0.438712676030061,-0.39999171832410696,-0.3652694189429257,-0.33017597716221203,-0.31281003249823375,-0.30256140098232176,-0.2840436219659245,-0.2594016768326825,-0.22350774577418042,-0.20847899197824554,-0.18622867037817215,-0.15695557613869643,-0.13648979568011574,-0.11623055977962343,-0.1088844660621303,-0.11638033070426888,-0.10534632384278397,-0.10948239953110765,-0.06949274320964419,-0.005592851334108446,-0.005539901621250243,-0.027107027239031675,-0.006284930215936456,-0.019123267540368024,-0.04640296231407033,-0.06339552658745554,-0.0781704219695749
rotD50,"AvgSA([0, 3])",3.0,0.8207923813284966,-0.2102191550775828,1.0,0.987671425461924,0.8045103892115808,0.7936592876750101,0.7617704154682058,0.7423418049624106,0.7006404445006309,0.6818174415416056,0.6926872720790453,0.7459521926341797,0.7816526358912107,0.8116405956450635,0.8352982600376381,0.8646070438548358,0.887912249819431,0.9037656447189142,0.9247397887892456,0.936975278461997,0.9433774511382087,0.9456198762238018,0.9498180167518694,0.9520502201410367,0.9551761442670361,0.9571727963674779,0.9632168376084383,0.9632661814615427,0.9598002566382121,0.9436899744774343,0.9202589596583104,0.9120360823900252,0.9065189262120711,0.886509882638217,0.8859877126079003,0.8506569742959954,0.8428606247917974,0.8274592168298512
rotD50,"AvgSA([0, 6])",6.0,0.7891234191212865,-0.19260521947129042,0.9876714254619241,1.0,0.7790158944711602,0.7703512271754204,0.7433752621474368,0.7250640874054232,0.6832780520360685,0.6587413104494086,0.6602588764321328,0.7073608310575127,0.7336055829497073,0.7583410321919646,0.7748135364428709,0.8058306386238757,0.8294418040803733,0.8423923289334578,0.8629413896207344,0.8774284650039611,0.8871108593053796,0.8917792830348626,0.9003265197881737,0.9080044017009715,0.9204646259862566,0.9308393167462982,0.9486880198061864,0.9581773896777886,0.9641473099598006,0.9626086529689061,0.9513305640824751,0.9512623319005205,0.9522894145361848,0.9405402019967711,0.9428826843271588,0.9200059779153146,0.912710490021279,0.8980267096977411
rotD50,PGA,None,0.8695575940394701,-0.46137881071564896,0.8045103892115808,0.77901589447116,1.0,0.9980285496011061,0.9865925925177048,0.9816087276972376,0.9734083765270021,0.9696148764522802,0.9685816679883249,0.9687997355667748,0.9552999062397378,0.9381343732945139,0.9199191215090026,0.9112846795663325,0.8988089251108358,0.8756278444817585,0.8282470093285295,0.7898119750278706,0.7686902997493934,0.752760103463292,0.7291814741132157,0.7075265028117274,0.6818786780925441,0.6609584026276997,0.6565724143421514,0.6510809311470956,0.6437500375018598,0.6085638349710393,0.5736409850076712,0.5854842230088019,0.6015046112603958,0.587181778697018,0.6073419369957648,0.6081234348402006,0.6392007691475026,0.6566581552069395
rotD50,SA,0.025,0.8582916431892789,-0.45476682233683485,0.7936592876750101,0.7703512271754203,0.998028549601106,1.0,0.9923888001232013,0.9859517619789782,0.9762568339995062,0.9709183418512787,0.9661320215371939,0.9639313351038584,0.9478788403189021,0.9290620946347178,0.9090727354705886,0.9001578710056737,0.8875193170189398,0.8630349683439794,0.8150346385168854,0.7769445320415453,0.7562744090711065,0.7406096817028107,0.7164034580609483,0.6953244717942565,0.6691935679245237,0.6476653085508762,0.6450936857022954,0.6399716477906665,0.6338278235278461,0.5983444185861557,0.5646684412645341,0.5795292711646016,0.5971123553574582,0.5848257114744824,0.6040437083430877,0.6052861673985493,0.6353217511805149,0.6535155192669081
rotD50,SA,0.04,0.8366104545721555,-0.44635502287150963,0.7617704154682058,0.7433752621474368,0.9865925925177049,0.9923888001232013,1.0,0.9939192034290789,0.9833177957188185,0.9715368396421409,0.9576178926355245,0.9467342430918188,0.9231863493762144,0.8988794480407845,0.8759952306661825,0.8661331402159114,0.8532958217061756,0.8281020375198282,0.779013800990272,0.7405318180523232,0.719670944955846,0.7055937449064675,0.682337606574021,0.6619172607763941,0.6362457061727635,0.6142775822385631,0.6114166431225325,0.6088247719161212,0.6044519546777809,0.5669535779899161,0.5333041099525044,0.5533716599360547,0.574297526365418,0.5663756271904452,0.5880795216363649,0.5945289406620602,0.6249469128863842,0.6437200365780665
rotD50,SA,0.05,0.834915540625621,-0.4578326315164137,0.7423418049624106,0.7250640874054232,0.9816087276972377,0.9859517619789783,0.9939192034290789,1.0,0.9887118262529269,0.9750168636676717,0.9560130855372009,0.9410231072727451,0.9138697467306366,0.8873440962068128,0.8623931740295147,0.8516958359051982,0.8379910071036093,0.8123122036453693,0.7613812700033953,0.7218467921825639,0.6999946153404273,0.6849325381159738,0.6618354833823098,0.6415724053285993,0.6162555644716868,0.5936813197413405,0.5896953851641518,0.5880464824362134,0.582888434100457,0.5436353651541493,0.5082835439542842,0.5289302984233429,0.5516935063992409,0.5460078120963694,0.5718671648480467,0.5817809683791884,0.6130442330213582,0.6317134205520802
rotD50,SA,0.07,0.8164145395756046,-0.47493273511190565,0.7006404445006309,0.6832780520360684,0.9734083765270021,0.9762568339995062,0.9833177957188185,0.9887118262529268,1.0,0.9881472660509734,0.9656371037580401,0.9394461794522857,0.9031738196405634,0.8726294568014015,0.842018862310043,0.828186582419577,0.8111060996433919,0.7816798876112784,0.7273806934337305,0.6833155809745765,0.6596327312837309,0.6434480672041415,0.6179948181402258,0.5965813389399975,0.5701731212727316,0.5462775256120243,0.5416067320998693,0.5405190668676924,0.5350430857920278,0.49375309991094773,0.4534417279617258,0.4786212143373031,0.5017995241981233,0.4985586376225789,0.5282290405410164,0.5424384770050491,0.5778460975879878,0.601365085431173
