,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.49580933161864416,0.7728003084211316,0.7038655944752509,0.8589894453604384,0.8449470453983156,0.8177329651333669,0.8142121174755155,0.7907920436598969,0.783880173930219,0.7933544117145892,0.8103445035854764,0.8238294701528274,0.8373953376923546,0.843788280874853,0.8517181434349301,0.8603264601416214,0.8650732823511373,0.8578653693189581,0.8410097356369709,0.8326515523922444,0.820143643574233,0.8045694720966367,0.7912754503657867,0.7741322279619649,0.7587732120217097,0.7455310540343582,0.7341933196209803,0.7161724661525061,0.6802309772436117,0.6366797127002541,0.6233775153066989,0.6238391214266413,0.627856873713667,0.6279463300435573,0.5702154865662902,0.5634556932645952,0.5483939608641629
GM,RSD595,None,-0.49580933161864427,1.0,-0.10805230246450549,-0.0858944653695281,-0.46551129305196187,-0.45814906261606075,-0.4467702870159121,-0.4562362946808886,-0.47085123025807696,-0.4871775829007165,-0.4707877904412113,-0.4416564316545376,-0.40852675390218496,-0.38499214617291266,-0.35047717955744584,-0.3330324057166754,-0.319798429536571,-0.30129979415023656,-0.27548252821000685,-0.2367806386638794,-0.2203092910616661,-0.19999674220446312,-0.17378153457681036,-0.15120276348121459,-0.11884298108144667,-0.10200843248408806,-0.10731776232797197,-0.10043162951301225,-0.10449009866725342,-0.06970961157706422,-0.03187307145338824,-0.0433437677014481,-0.05318991589930522,-0.032644179319857594,-0.03238738754448057,-0.0343516017341869,-0.05287948342680374,-0.058926880272313284
rotD50,"AvgSA([0, 3])",3.0,0.7728003084211317,-0.1080523024645055,1.0,0.920044862124001,0.7043290045729699,0.6895251979310021,0.654167612678777,0.6290576879241396,0.588265902493866,0.5621873224871765,0.5680600685156679,0.6279851354707635,0.667308790048296,0.7105308614904643,0.749416395206871,0.7781936440041554,0.8050971194513578,0.8314010850817198,0.8725792120514421,0.8976766143590431,0.9111233249250145,0.9166587975951784,0.9301368107667495,0.9380447536161872,0.9433045144860905,0.9397788889307824,0.939449984640636,0.9327043129107706,0.9220462608152701,0.920564364749426,0.9375499106940588,0.912353641271177,0.8994675585674043,0.88584967333123,0.8776313366529308,0.805197650815405,0.7867745836681547,0.7603338724274188
rotD50,"AvgSA([0, 6])",6.0,0.703865594475251,-0.0858944653695281,0.920044862124001,1.0,0.6627162779425568,0.6486643856872539,0.6278118490603835,0.6066140365361998,0.5715124785300018,0.5299823463029544,0.5175983862719479,0.5630430536992034,0.5777210427944228,0.6061052004887987,0.6327249642205515,0.6691312189027155,0.6947752688722503,0.7187296355212589,0.7562940894972504,0.7837700418627087,0.7967713774879214,0.8048221737922536,0.817342454555441,0.8258627158290028,0.8338337327125596,0.8389371322005286,0.8498183496874689,0.8597201179023332,0.8636650009493291,0.885592946399652,0.9105741079276882,0.9198680843922675,0.9258473214326222,0.9375780943977721,0.9340779421486035,0.9450076731721077,0.9239800350216882,0.8966918337776995
rotD50,PGA,None,0.8589894453604384,-0.4655112930519618,0.7043290045729698,0.6627162779425568,1.0,0.997217510547263,0.9835035218490082,0.9790654034883526,0.9703499079352406,0.9670163976600299,0.9659287767971182,0.9682797805868814,0.9560256208081342,0.9409578727739621,0.9221090332947788,0.912861104769808,0.8979061016957668,0.8778803990929948,0.8281696292211697,0.7879526112114733,0.7687371859572767,0.7531716801500684,0.7337941692703142,0.7134697676908713,0.6832074390134026,0.6539207882074238,0.65891641173164,0.6597237585450122,0.6588553930243396,0.6147376315836689,0.5708206648860092,0.5812395176121214,0.5908042184613393,0.5854698879186627,0.5880312813967473,0.5853761506843524,0.6060247123066527,0.6097314133139262
rotD50,SA,0.025,0.8449470453983156,-0.45814906261606075,0.6895251979310021,0.6486643856872539,0.997217510547263,1.0,0.990854597229679,0.9847592873114124,0.9738979881550532,0.9687389047205583,0.964260757968023,0.9643307312031222,0.9493002026114402,0.9316909549576765,0.9108367602742656,0.9010414275166477,0.8858013310162314,0.8645669405015521,0.8129692923035254,0.7724546676439585,0.7527290674949846,0.7379018251983119,0.7178891834850356,0.6976935697563139,0.6672803672259652,0.6369617335413882,0.6437917744009531,0.6450811067468136,0.6458320761084676,0.602121055370205,0.5596538294066756,0.5732925413841157,0.5846462883799889,0.5802310663621489,0.5831539253665868,0.5792197489492039,0.6000064734993082,0.6046552988969155
rotD50,SA,0.04,0.8177329651333669,-0.4467702870159121,0.6541676126787769,0.6278118490603835,0.9835035218490082,0.990854597229679,1.0,0.9933349182886553,0.9809220391344152,0.9690571026137874,0.9564683344183519,0.9482809843168969,0.9236207924817378,0.9003195926088807,0.8755675057128698,0.8650415305141093,0.8493036157417472,0.8264737926079143,0.7718030994989552,0.7300450372724061,0.7102230900385983,0.6967398684253745,0.6774251844735919,0.6585086181035454,0.6285160168483116,0.5975452895714192,0.6058412987200549,0.6103733840315784,0.613596107866603,0.5702989614508647,0.5321197358353705,0.5523746290360014,0.5674495209857577,0.5657697874740929,0.5715164304284704,0.575850969492327,0.5957836529334647,0.6016347143764509
rotD50,SA,0.05,0.8142121174755154,-0.45623629468088855,0.6290576879241395,0.6066140365361997,0.9790654034883526,0.9847592873114123,0.9933349182886552,1.0,0.9866630460697701,0.9733352004515345,0.9555111208502814,0.943832497284022,0.9160083563618274,0.8905989598209824,0.8636784207239119,0.8515142796332363,0.8345306580611648,0.811196301744812,0.754248037109222,0.7122060031007712,0.6915896357264442,0.676970566437383,0.6575127432389938,0.6387256684551051,0.6087546488057584,0.5771000224615321,0.5840532669194312,0.5892716668697552,0.5915838810507353,0.5470166421975872,0.5065621817053308,0.5277609035131307,0.5438646269882635,0.5435824102848037,0.5522054811650132,0.5598721886994348,0.5810251547232791,0.5870870790704018
rotD50,SA,0.07,0.7907920436598969,-0.47085123025807696,0.588265902493866,0.5715124785300018,0.9703499079352406,0.9738979881550534,0.9809220391344152,0.9866630460697702,1.0,0.9869164601273802,0.9645649051280677,0.941400461428127,0.9037365102601422,0.8734458414539067,0.8400183074090386,0.8241401049276393,0.8033787179030796,0.7769215821464523,0.7181024166565573,0.6731635609332063,0.6514144113951593,0.6355393437170018,0.6149688179870964,0.5958421644916543,0.5647226624843061,0.5319281026039203,0.5386115607804945,0.5439114364927305,0.5456158584512438,0.5016384161419001,0.4620086854306176,0.48827660151197405,0.504695960389796,0.501867819390237,0.5139428056639352,0.5287556572702741,0.5533421833901733,0.5640135001004049
