,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.441292556764189,0.7987607520193034,0.7177999587796982,0.910039520491298,0.90451400965541,0.8809178914287022,0.8709207402832253,0.846450580616463,0.8346078384769989,0.8713905886080662,0.9096952690043597,0.9114099957723021,0.9127570446188242,0.9024055452333158,0.9018425793370058,0.8936519163116485,0.8755768865417316,0.8540546505247244,0.8308505362660539,0.8217381349313007,0.8136286786835639,0.7993711234719479,0.7961052499289414,0.7733494978191016,0.7666628284665664,0.75547357065354,0.7458229683234892,0.7462397874019696,0.7253186159056043,0.6925900436035874,0.7116892309359132,0.7093771838606313,0.717629356643733,0.720750759142927,0.6503679265324781,0.6596160044804756,0.6624157731200974
GM,RSD595,None,-0.441292556764189,1.0,-0.03500352420152303,-0.02828053130044164,-0.2818775952415392,-0.2773954566463502,-0.2590559326059807,-0.274612410116525,-0.25270174355633035,-0.2476295688636177,-0.268517463166875,-0.3204399729477344,-0.28994124486553585,-0.2418054252636368,-0.19413683981936775,-0.18331966541569922,-0.16632822327507088,-0.13510863128493086,-0.07927262292517018,-0.056774925681576556,-0.05063362565208409,-0.04235479906421063,-0.02819663128669367,-0.023024018758223956,0.0055074105626524445,0.012039239322337242,0.006724703458221209,0.005122382467799603,0.0030982276228554164,0.008988418055338124,0.019786357522324053,-0.00811300637463532,-0.02157360171636616,-0.15966055144450586,-0.17472473298396562,-0.09192631547956834,-0.13982889829190775,-0.1835224874897511
rotD50,"AvgSA([0, 3])",3.0,0.7987607520193034,-0.035003524201523015,1.0,0.9635977463594988,0.8359328211245396,0.8305079450141651,0.8019912231583971,0.774116083871845,0.7479957403911827,0.7336395391730899,0.7721416505388731,0.7902922760697181,0.8162455920772631,0.8527250619911254,0.8743762154619766,0.895340684177632,0.9125893708758825,0.9331684424465013,0.9558123707989464,0.9688337182405172,0.9708698491935056,0.9738873341293784,0.9778513061991625,0.9817482372560774,0.9818258756571244,0.9828478188615429,0.984278760528439,0.9828007611741459,0.9831109453543239,0.9785255183597085,0.9702579993373809,0.9583703464351321,0.9466435959152105,0.9315324491054088,0.9207813156235967,0.8733584485551136,0.8431826896951715,0.8137570934708578
rotD50,"AvgSA([0, 6])",6.0,0.7177999587796983,-0.02828053130044163,0.9635977463594989,1.0,0.7757891934270665,0.7748876343804979,0.7610084126450872,0.7340972183398125,0.7143927562891745,0.6855117508565522,0.7113783707116301,0.7117174586716744,0.7212433519221297,0.7427906654897852,0.7553451462671437,0.782367966128737,0.8101846483975341,0.843132692589034,0.8774836225440984,0.8998012836118727,0.906070992809581,0.915206712734251,0.9268918867837901,0.9355385367321418,0.938977496696804,0.9470809065126573,0.955901578876405,0.9623173499991894,0.9651210842252114,0.973729076960592,0.9723834379086327,0.977959921157987,0.9702210743949603,0.9752936282158042,0.9670770125917612,0.9518503601082857,0.9248680692315959,0.8976706146752746
rotD50,PGA,None,0.910039520491298,-0.2818775952415392,0.8359328211245396,0.7757891934270665,1.0,0.9993319783018003,0.9898374583130981,0.9849691220245421,0.9717446627323243,0.9671640683579963,0.9788363709855971,0.9727052088165821,0.9626738566448,0.9605653439423157,0.9449380304820584,0.9316286602980735,0.9153948677064188,0.9002153812390109,0.8742401695671261,0.8490858907782596,0.842833197514802,0.8415452629622147,0.828813427444195,0.8246689586844915,0.8032703712591381,0.7921694943529732,0.7765924347339944,0.7630555910265112,0.7653048068536596,0.7534953205368234,0.7398214298322655,0.7576435020952218,0.7602393119224323,0.7498408978538559,0.7560541890968254,0.7137941840787921,0.7113864165657852,0.7121337699171042
rotD50,SA,0.025,0.9045140096554101,-0.2773954566463502,0.8305079450141651,0.7748876343804979,0.9993319783018003,1.0,0.9935904942148377,0.9887718514751331,0.9742616918719638,0.9682393330797063,0.978236250290381,0.9687500327291431,0.9565755680977397,0.9531019830678449,0.9377438912575343,0.9241511118381326,0.9076662385961419,0.8919105344070911,0.8656448471659804,0.8412675359541321,0.8352601560985435,0.8342937664352998,0.8221465515267052,0.8183814665195841,0.7978687331828768,0.7869372851778688,0.7711592566425559,0.7575676145097028,0.7597062433121434,0.7489845352785838,0.7360794021477085,0.7545902019726611,0.757362502797494,0.7475919996808932,0.7541821136102901,0.714487177609269,0.7123205513170544,0.7128204436641932
rotD50,SA,0.04,0.8809178914287022,-0.2590559326059807,0.8019912231583971,0.7610084126450872,0.9898374583130981,0.9935904942148377,1.0,0.9977563880182048,0.9845750330256586,0.9711088159419555,0.9713377454191384,0.9484234765196382,0.9315709538360062,0.9262340664273655,0.9110724072419826,0.8964209832588775,0.8789803958923592,0.8618127509387014,0.8324173146932757,0.8072455789024892,0.8009156828110067,0.8010288647961038,0.7891003862084225,0.7868737371967035,0.767037010613591,0.7562249777127461,0.7407175140273792,0.7283444172094137,0.7315392486377296,0.7247720982546354,0.7133899329982855,0.7339898620031913,0.7384296445545979,0.7308474953063696,0.7401969499973481,0.7149197994795418,0.7163608483658966,0.7196928486869385
rotD50,SA,0.05,0.8709207402832253,-0.274612410116525,0.774116083871845,0.7340972183398125,0.9849691220245421,0.988771851475133,0.9977563880182048,1.0,0.9894921860135745,0.9761041275685591,0.9721602832579923,0.9436762215985218,0.9232207322363977,0.9166080641014477,0.8981686004764097,0.881245134691118,0.8610398503853901,0.8418329892188224,0.8090812937986265,0.7813985252343357,0.7746501352027388,0.7742247264777395,0.7612984933133197,0.7587577964841752,0.7383037054831614,0.7262106373365105,0.7107076924166839,0.6982524701995472,0.7020528908440332,0.6954406989286193,0.6845169685269634,0.7061612852966307,0.7114932944528135,0.7059511484549786,0.7168019893509566,0.6941228517021197,0.6976943965308745,0.7044203501872386
rotD50,SA,0.07,0.846450580616463,-0.2527017435563304,0.7479957403911827,0.7143927562891745,0.9717446627323243,0.9742616918719638,0.9845750330256586,0.9894921860135745,1.0,0.9871197987253294,0.969756710361612,0.9337464454251766,0.906946086692078,0.8974383173725798,0.8709966894648655,0.8554311613665065,0.8338478766478183,0.8154241728661584,0.7840679236908081,0.7553661675664393,0.7477404302521407,0.747262483711291,0.7341531421229192,0.7324582374352591,0.712124710214059,0.7005486946539374,0.6831272578931833,0.6712197016390237,0.6763807706361076,0.6695345108881209,0.6600902391964183,0.6880785371242304,0.6944857901274671,0.6840444826532284,0.6958463305443394,0.6828171615777829,0.6858943940144369,0.6933269954526998
