,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.4403041310151707,0.8477821700544165,0.831768617377404,0.8039169741606059,0.79051644860475,0.7674169466402913,0.7622034078353946,0.7358293721309543,0.730812000429005,0.7642075015636471,0.7850718422887953,0.8058429369108654,0.8167798418851857,0.8075935819123333,0.8240711509096819,0.8379451486591797,0.8351673841376621,0.8334064406858422,0.8315984147519346,0.8346404924373085,0.8345951084688055,0.8257052110314929,0.811818682723059,0.7912004371621921,0.7882705402458027,0.7927713779590453,0.7915834414217076,0.7934774998996934,0.8046984909331965,0.7889149585881275,0.8019049855077676,0.8091630887646545,0.8143228666584235,0.8216686503342382,0.8170251388825528,0.833401302080228,0.8471286046424706
GM,RSD595,None,-0.44030413101517074,1.0,-0.17098943842170786,-0.17387219150209532,-0.32005895765127623,-0.31151365002475523,-0.2999074645751245,-0.3072258578722085,-0.29208254534701494,-0.28065745424903454,-0.2868560942531885,-0.2836283319079859,-0.26253667233174166,-0.24624495451331274,-0.23164222177125507,-0.22642435276046594,-0.23759721619540533,-0.2314601130985404,-0.233605713060054,-0.20863478093091656,-0.2110288440072882,-0.20356920052690666,-0.18198095467278722,-0.15774581874829166,-0.12934080804230974,-0.11952314939601172,-0.12469040382627275,-0.13338285764296606,-0.14430420393017804,-0.16099638425443305,-0.1304239947231351,-0.1526176903160177,-0.16049829995217607,-0.08639227514624721,-0.0935461891520129,-0.18444265231304693,-0.21201952875351945,-0.22464275977798806
rotD50,"AvgSA([0, 3])",3.0,0.8477821700544165,-0.17098943842170786,1.0,0.9506179257140854,0.8092912223313975,0.7928168722013317,0.749785817456782,0.7284535116008974,0.7017248310181311,0.7002659938610091,0.755868844479036,0.8045335217587396,0.8538455336181355,0.8914737710164098,0.9084332626312516,0.9257216627235277,0.9341296906092933,0.9410631172524538,0.9560468510973771,0.9637526970163409,0.9665434015620205,0.9681817182925866,0.968574459144456,0.9645811791095932,0.9582195949991881,0.9574725046708618,0.9589197670211143,0.9592690656537228,0.9601466164596143,0.9619489139996877,0.9595603545068796,0.9512221366223551,0.9496870374267673,0.9215433998088729,0.9259679055193591,0.904579332592975,0.9023798189069399,0.8998502212103593
rotD50,"AvgSA([0, 6])",6.0,0.8317686173774039,-0.1738721915020953,0.9506179257140853,1.0,0.7097594441440738,0.6893251836376643,0.6467068128561089,0.6303059889414376,0.5984421798192894,0.5872944282887034,0.6442088003366823,0.6961370844701045,0.7438639588541348,0.7903662679112287,0.8147597382119719,0.842567302623278,0.8642968729450332,0.8733669217567865,0.8963811931957236,0.9125666509605435,0.9202527874470364,0.9266268583855665,0.9301921350933997,0.9207543038714895,0.923328414370074,0.9266997473548976,0.9259041036245024,0.9238437872312009,0.9209085234161815,0.9296036738860535,0.929139535648055,0.9375066799761322,0.9411025471130802,0.9701446335061711,0.9729623526341706,0.9809778481745629,0.9773108831236461,0.9747698055598687
rotD50,PGA,None,0.8039169741606058,-0.32005895765127623,0.8092912223313974,0.7097594441440738,1.0,0.9987663220608252,0.9882712383389233,0.9809572581878857,0.9728748723617199,0.9724235243354677,0.9824304415289136,0.9799299029840236,0.9608041909298181,0.9443049136003315,0.9224673780109383,0.9051706609809055,0.8901967203497717,0.8728919624656866,0.8379160109446836,0.8113280525040002,0.7919854776295141,0.7823039148871993,0.7625863050763271,0.738569250912761,0.6993457992021662,0.6838902772413858,0.6782744214200457,0.6797571558490667,0.6856101364551852,0.689218768912456,0.6931363903298857,0.7016069833729802,0.7083751822039421,0.6520458470240676,0.6699738676320225,0.6567989904028669,0.6730232130034903,0.6755462299852639
rotD50,SA,0.025,0.7905164486047501,-0.3115136500247553,0.7928168722013318,0.6893251836376645,0.9987663220608253,1.0,0.9931566896720775,0.9862660731051188,0.9784069772871021,0.975854327987008,0.980925955078268,0.9750312491892772,0.9520253186222234,0.9330053334315065,0.9102580423219022,0.8920822457279703,0.8767919327796652,0.8590333701261567,0.8230306675974907,0.7959063003326217,0.7754870281655384,0.7652524059894252,0.74431337757037,0.7202637899730506,0.6812692865269333,0.6660507430084943,0.6604178659777281,0.6624070869729994,0.6683185718877439,0.6715359456342912,0.6769336929410343,0.6854235633576105,0.6921326728254953,0.6334246644333958,0.6516560121866177,0.6382367362260748,0.654671971280462,0.6559246925563006
rotD50,SA,0.04,0.7674169466402913,-0.2999074645751245,0.749785817456782,0.6467068128561089,0.9882712383389234,0.9931566896720775,1.0,0.995864415445828,0.988244338736234,0.9796488625931853,0.9721496390679711,0.954944231746691,0.9225363737948924,0.8994313244641591,0.8751361951329845,0.8561879962850778,0.841666410606689,0.8225382791220387,0.7844307078191399,0.7586917181021001,0.737735020204441,0.7275752889649039,0.7034413433805601,0.6784052857228896,0.6391329647567334,0.6247716660635964,0.6194915072399728,0.6221729387566236,0.6281230270345568,0.6278832798896966,0.6333301626726625,0.6433838333434734,0.6501760625615136,0.5952470338684881,0.613622027447331,0.6010466926645327,0.6199399506348735,0.6213635178179278
rotD50,SA,0.05,0.7622034078353946,-0.3072258578722085,0.7284535116008974,0.6303059889414377,0.9809572581878857,0.9862660731051188,0.995864415445828,1.0,0.9930100813823993,0.9819581060047093,0.9655012420616966,0.9419681639113073,0.9046227566847584,0.8817544866430863,0.8549284739732987,0.8367833811582913,0.8221437358270469,0.8027867592862321,0.7645580005585013,0.7412313566152248,0.7207751639527773,0.7114237461707297,0.6860655257295294,0.6618815546863132,0.620801529020539,0.6057304909216212,0.6003874636005619,0.6028599671788305,0.6090197250549161,0.607254232243067,0.6119773582470197,0.6222199279926224,0.6294199564683908,0.5801496973801967,0.5981416412194492,0.585597185273491,0.604016408110109,0.6076606403673489
rotD50,SA,0.07,0.7358293721309545,-0.29208254534701494,0.7017248310181312,0.5984421798192895,0.97287487236172,0.9784069772871021,0.9882443387362341,0.9930100813823994,1.0,0.9903528090676613,0.9670440540433717,0.9357906681113466,0.8928334754154446,0.865142537671015,0.8334271609353645,0.8116917684870965,0.7948959221963199,0.7750016044153994,0.7361719689272258,0.7119878847456977,0.6900349209354362,0.6809658343428507,0.6560160551771032,0.6321334158888033,0.5921952895540122,0.5760764088856957,0.5699892868313646,0.5726394392657291,0.5778988837593245,0.5766040570732072,0.5849093723879596,0.5922045436086306,0.5996074980323823,0.5506982818132531,0.5689670447108166,0.5548882576988524,0.5741832194098133,0.5771801570865063
