,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,0.9999999999999976,-0.5789150170302961,0.7047994810378843,0.557750344638634,0.8634252771577255,0.8565428971737197,0.8293859516829629,0.8188268186359334,0.7926924625244404,0.7883945115972116,0.7968184049182199,0.7958603388110483,0.8010835928074537,0.796524313373256,0.7922433200160527,0.7761668622277692,0.7560345409851581,0.7595367161415221,0.732955384089363,0.7040463639533543,0.6859109650298653,0.679146770695714,0.6471066830283472,0.6135155765651445,0.5712003365041896,0.5614713705672235,0.5289243439931245,0.514949619046672,0.5140811377773603,0.4800282246148328,0.4829515915657523,0.4959491228930263,0.514655267956935,0.4276399793204171,0.43718356582745166,0.458681599236476,0.49984041423261755,0.5298908330936248
GM,RSD595,None,-0.5789150170302961,0.999999999999999,-0.4637999271640756,-0.3434960334457221,-0.49981582494158827,-0.4791855646414619,-0.4279887058921602,-0.42204243439804806,-0.4287151097515304,-0.4450952399625423,-0.4497068465602683,-0.49634760681910395,-0.49464604570303294,-0.48492240145726606,-0.46510470292951833,-0.4693695805424818,-0.45383656789960447,-0.457888504919895,-0.43305190424993145,-0.404780458484315,-0.3926475808559257,-0.389922311870917,-0.38326766508351623,-0.37022205804089586,-0.3296053096155627,-0.321643220210994,-0.3076589536591831,-0.29233528669240044,-0.2878592686768166,-0.2724671155877917,-0.3085089006794132,-0.34040083159991147,-0.3503988594186507,-0.27511013184640254,-0.28347167718596905,-0.2573788825190707,-0.3037566371709682,-0.33317203418127883
rotD50,"AvgSA([0, 3])",3.0,0.7047994810378843,-0.46379992716407553,0.9999999999999982,0.8448580635530311,0.7431077412153324,0.7284442698999433,0.6832342776667745,0.6654754454979275,0.625262166649076,0.6242446896649159,0.6478095162569046,0.6808926027061871,0.7095451890041966,0.7381369604271428,0.7751655106749378,0.7768608344888872,0.7845684289722055,0.8148979818291227,0.8372868708731441,0.8662201261111273,0.8722777190004203,0.8697771554652567,0.877520749993667,0.8846514429305711,0.8864140183091581,0.8841241858622959,0.8845345970625658,0.8793089988790199,0.8726552990084236,0.8694029780165562,0.8825990250803861,0.8672089125552885,0.861115236204423,0.7907674612849238,0.7919189993217419,0.747215266161517,0.7553856463920634,0.7518807101770789
rotD50,"AvgSA([0, 6])",6.0,0.5577503446386339,-0.3434960334457221,0.8448580635530312,1.0000000000000013,0.666523929835766,0.6633073059786128,0.6330710726663901,0.614900150210621,0.5803409721978469,0.5583919959239809,0.5991709846974936,0.591497546532208,0.5724128339636201,0.5818618351142324,0.5965632796855115,0.6001559386039217,0.6261060742644112,0.6677597509470516,0.6855325414648931,0.7056759438878306,0.7247420163776535,0.7251483701178093,0.7260554112654334,0.7434417670648856,0.733065265987735,0.7222067073165831,0.7348676706676578,0.7419413396331743,0.7386197231967622,0.7502547983427873,0.7694007639608206,0.840790268672568,0.8418228833140479,0.9148529152082362,0.9210227121447159,0.9484290728789017,0.946272450417572,0.9325505795962776
rotD50,PGA,None,0.8634252771577255,-0.4998158249415883,0.7431077412153326,0.6665239298357662,1.0000000000000002,0.9957418318924798,0.9690068136020411,0.9517496104001861,0.9342525090916358,0.9342254281932083,0.9371748089085369,0.9247262622068079,0.8969507813224332,0.8896786044011412,0.8708709817862986,0.8394000983243434,0.8209518135901969,0.8186879292649557,0.7843634968692912,0.7444335940856965,0.722444008483772,0.7026785868845549,0.6635232235373905,0.6334656287200924,0.5752473128759421,0.5479316860826807,0.5150230279201072,0.502700340747741,0.4928841744010581,0.4738865403768293,0.4916773951096055,0.5347457144777852,0.5468989109634985,0.5095871901163351,0.5242942468103782,0.5634903434497607,0.6011759614288955,0.6263285122065515
rotD50,SA,0.025,0.8565428971737198,-0.47918556464146195,0.7284442698999434,0.6633073059786129,0.9957418318924798,1.0000000000000002,0.9819310928054038,0.963995687144734,0.9414129197931592,0.9379110071257606,0.9334629533295398,0.9127093558698,0.8773149751934948,0.869493718514345,0.8526360118922853,0.8216562041875984,0.8038355626063869,0.8016043486192046,0.766403978035857,0.7245186016990597,0.7041189400150379,0.6849770807185513,0.6446650381578986,0.616181879130256,0.557495702899811,0.5311783309858699,0.49907771656273825,0.48873811209934503,0.479101500847405,0.46358921292266964,0.48425843847667616,0.5279761190942946,0.5400559317926236,0.508476330144158,0.5231164261835713,0.564215174122486,0.599339154109329,0.6226276852697815
rotD50,SA,0.04,0.829385951682963,-0.4279887058921602,0.6832342776667746,0.6330710726663902,0.9690068136020411,0.9819310928054038,1.0000000000000007,0.9819191942451942,0.944080933238709,0.9207814375218515,0.9051480819503709,0.8781794013135079,0.8292976332005755,0.8166731223136706,0.8028659313308032,0.7731654808208057,0.755212605221239,0.7526482851155608,0.7200607143724106,0.6687920923126901,0.6504815293366115,0.6326092458057545,0.5907058373874269,0.5667972733006197,0.5085682482981468,0.48395519320050817,0.44962650719770275,0.44192370660874813,0.4333318376052831,0.42146459341264414,0.4484881885465708,0.49585664883826297,0.5077727258567685,0.48033172320910816,0.4964666681931481,0.5408280775993508,0.5757969942385701,0.5979039025681926
rotD50,SA,0.05,0.8188268186359334,-0.42204243439804806,0.6654754454979274,0.614900150210621,0.951749610400186,0.9639956871447339,0.9819191942451942,1.0000000000000004,0.9587001754537994,0.9231454514857689,0.8996291575551295,0.8624861722560997,0.8101493786150138,0.7942038860385037,0.7706182042041536,0.7379187257933595,0.7254121691714497,0.7257706999150323,0.6865172817950379,0.6422877490460638,0.6253698912587523,0.6058331665985875,0.5651309195975781,0.5398737411557446,0.48535222623181956,0.4634135573079084,0.4285130113786744,0.41953863839330685,0.4101243392594036,0.39587903979809264,0.431837009283424,0.4853362733696594,0.4947603570545865,0.4681989479946833,0.4841623718823387,0.5213425367369673,0.5585707518321593,0.5810935622362626
rotD50,SA,0.07,0.7926924625244404,-0.4287151097515304,0.6252621666490761,0.5803409721978469,0.9342525090916357,0.9414129197931591,0.944080933238709,0.9587001754537995,1.0000000000000002,0.9467687903189906,0.8981838818723763,0.8593720590334657,0.8070892567951214,0.7866780721062268,0.7572251116193452,0.7237942218376032,0.7082301567163904,0.7062008399667393,0.668498901100185,0.6213617666087253,0.6027825083060593,0.581246258172997,0.537735103212744,0.5102753411822182,0.4501068774277265,0.4340673842142468,0.39347110104103555,0.3807999296611791,0.36826829949952283,0.3515574966970047,0.38792110746035785,0.44546179300237027,0.4544705218107505,0.4304668000528221,0.44431128386429286,0.4878343134456286,0.5289712754881649,0.5502536051178833
