,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.45590216633616987,0.8312911291991282,0.8169817293467669,0.8759951569314812,0.8679590838524673,0.8478330758512816,0.840877609846562,0.8219842250091025,0.8157153231308979,0.837067878585794,0.8506167063819347,0.863787563173801,0.8667692361735015,0.857602003892892,0.8588494786597757,0.8587446039269521,0.8520302345196786,0.8405154799665656,0.821668535427571,0.8170379295938902,0.8136634525042336,0.8015371502618697,0.7889189027411695,0.769341017943109,0.7611969747821773,0.7536374576396005,0.7487987319743644,0.7484765728562183,0.7446458316626403,0.7263661163564984,0.7246116311064258,0.735623272302458,0.7262086067685454,0.7293886464742033,0.7194334251866218,0.740271609694514,0.7525026789870485
GM,RSD595,None,-0.45590216633616987,1.0,-0.2183133907893137,-0.2145057030538539,-0.3889652147202668,-0.3799358409520116,-0.3530560122116259,-0.36044573720270756,-0.3552508839445814,-0.35540824257285847,-0.3716810169407064,-0.3957826479902715,-0.383661755877108,-0.35448404381764037,-0.32240002445550603,-0.30637876362482236,-0.29209028444317925,-0.2797306913279148,-0.24968515541577108,-0.2193971974743558,-0.21168141088989378,-0.20364784686083243,-0.1943551388658688,-0.1835338981297825,-0.15190965300428447,-0.137408785305219,-0.1371179624618197,-0.13916272512702357,-0.14272556727781668,-0.14613085691541805,-0.1470643070547177,-0.16940657621148386,-0.18785681208898095,-0.2129787511076066,-0.2210956499855025,-0.1991669887163173,-0.23729214939712207,-0.2686046699339315
rotD50,"AvgSA([0, 3])",3.0,0.8312911291991281,-0.2183133907893137,1.0,0.9899922574447494,0.8346350071585559,0.8247209005030747,0.7921133305288811,0.7698469713882905,0.7476534017942215,0.7386414104926221,0.7745955311121057,0.801114135395753,0.8356831524155004,0.8676868055181821,0.8904921642335057,0.9090473741394758,0.9208889322188041,0.9340633522021757,0.9535312660781133,0.9653203128076654,0.9689330954134965,0.9713378212452896,0.9736667348152392,0.9749715295554543,0.9736640357300781,0.974432718267849,0.9750801666743049,0.9743269652972555,0.9732242441620127,0.9677807501883517,0.9599145373143484,0.9534082744657151,0.9497147559995449,0.9393209061751927,0.9336125707864794,0.907594799566677,0.8940276884147266,0.8797216809103404
rotD50,"AvgSA([0, 6])",6.0,0.816981729346767,-0.21450570305385397,0.9899922574447495,1.0,0.8167350531288189,0.807652411600301,0.7773621426261588,0.7558642446639404,0.7334185750057695,0.7208684763990578,0.7555355411024284,0.7783582608010785,0.8080913797454807,0.8353115017953257,0.8554127160670335,0.8763931658683516,0.890447104119183,0.9027146158189053,0.9212146874555796,0.9344262199521801,0.9390170830730716,0.9416673011917093,0.9438369551816759,0.9469917918285576,0.9490437441375373,0.9559628918015861,0.9614103127349015,0.9660152530101822,0.9685118709932967,0.9755009955591223,0.9758183639657311,0.9773748417439221,0.9791646031714893,0.9742528989601269,0.9721702029788519,0.9555131493912239,0.9438552788338535,0.9299064106193753
rotD50,PGA,None,0.8759951569314813,-0.3889652147202668,0.834635007158556,0.8167350531288188,1.0,0.9985998269900644,0.9870739719461087,0.9796599784470902,0.9717052174209178,0.9698968006725573,0.975585510949066,0.9705307728150568,0.9561110118815667,0.9468771298194834,0.9290303672953595,0.9136617631159641,0.9008853882833178,0.8877847965052972,0.8582313157330983,0.8302430094906121,0.8170088963291123,0.8096726075172852,0.792200067988316,0.7772946326497334,0.7468107841683692,0.7294914458251487,0.7181820189376155,0.7138836522155241,0.7145021924600407,0.7104950763235427,0.7120134971641257,0.7207727166846118,0.7295209124181277,0.7280719513852849,0.7377148078706313,0.7336973058467637,0.7497671397249706,0.76176146730762
rotD50,SA,0.025,0.8679590838524675,-0.3799358409520116,0.8247209005030748,0.807652411600301,0.9985998269900644,1.0,0.9922516325590793,0.9852916427629163,0.9760941045754977,0.9720788884650978,0.9739194746090478,0.9649356728746223,0.9470079566166028,0.9365382581907824,0.9186083296624016,0.9030401861093665,0.8904681765029132,0.8771546856443545,0.8467476477062843,0.8187529480099318,0.8054053947273794,0.7982370690243138,0.780412219591011,0.7660167910322215,0.7356945485402155,0.7186895078535712,0.7076239142956563,0.7038561351271662,0.7045535861767042,0.7010513177806482,0.7026987383501706,0.711343859538442,0.7202105022088147,0.7203060414632027,0.7304910492998377,0.7262270471324966,0.7419875721293755,0.7532342439203475
rotD50,SA,0.04,0.8478330758512815,-0.35305601221162586,0.7921133305288811,0.7773621426261587,0.9870739719461086,0.9922516325590792,1.0,0.9949477837744366,0.9830414234864081,0.9716086462153947,0.9626203419634222,0.9435632296672479,0.9181147120151288,0.9053314119537679,0.8874345681151066,0.8714985070885436,0.8592827052094635,0.8450436738095531,0.8130940672458554,0.7844067847154463,0.7711285395428634,0.7645337859627215,0.7451117061553748,0.7309879043645765,0.701440206950799,0.684243262450344,0.6728809162013991,0.6697908173793194,0.6710344977187486,0.6677506141612042,0.6696490632067127,0.679401341285405,0.6878035378281425,0.6904409165543132,0.702174522791111,0.6996228770947257,0.7169260563599993,0.7292589871161855
rotD50,SA,0.05,0.8408776098465621,-0.36044573720270756,0.7698469713882906,0.7558642446639405,0.9796599784470903,0.9852916427629163,0.9949477837744367,1.0,0.988496081833794,0.9737488039683618,0.958106242821035,0.9341508339163204,0.9048801859525402,0.8905970793319832,0.8690515838873778,0.8523942815179937,0.8399604380683698,0.8251949337536488,0.7911238672231472,0.7630805813981121,0.7496460922986483,0.7426799182928939,0.7226355488717986,0.7083059025603813,0.6781528059273745,0.6603485393513494,0.6484710401032966,0.6451650718351195,0.646619146173645,0.6425258065347945,0.6454762492344112,0.6563100252745474,0.6656808918278633,0.6701813752887997,0.6823888507951689,0.6786020358662888,0.6975926286799911,0.7121578003231558
rotD50,SA,0.07,0.8219842250091025,-0.3552508839445814,0.7476534017942216,0.7334185750057695,0.9717052174209178,0.9760941045754977,0.9830414234864082,0.988496081833794,1.0,0.9843734010699143,0.9600445176141196,0.9317783778844255,0.8986653910613134,0.8803471769010167,0.8533382571852686,0.8352706114991978,0.8211549394584771,0.8055450918457056,0.7717779713718893,0.7425354711701918,0.7280419850428351,0.7204688577886054,0.6999870225833554,0.6856864526275763,0.6550729213901283,0.637247343811681,0.6235758560506158,0.6198524304807672,0.6207439413473159,0.615913745964531,0.6220465118115155,0.6353014150466406,0.6446087138254641,0.6495330848971242,0.6614258901181698,0.6580225865121258,0.6778914470114248,0.6919967463638197
