,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,0.9999999999999979,-0.40497986849536866,0.7863996283093768,0.6648049524286652,0.8373969313871726,0.8275421942970851,0.8029490459763278,0.7955827831294774,0.770114515770416,0.7623680141917505,0.7929959039406012,0.8163846366539079,0.8271347381886152,0.8296846345315337,0.8217061457098328,0.8280131417160728,0.8306916435720304,0.8208197827428215,0.8086692751544321,0.7904794419803584,0.7851982655197612,0.7785960374022195,0.7583572349870852,0.7417399616644738,0.7195783042325709,0.7111977141939875,0.7005145425226363,0.6959695710135446,0.6930300177722738,0.6924731100700869,0.6793691739745569,0.6811094005703019,0.6896047514838453,0.6392467279659129,0.6431260959504109,0.6003567000814758,0.62303632578551,0.6310572650750503
GM,RSD595,None,-0.40497986849536866,1.0000000000000036,-0.15179083386530415,-0.12284550974563686,-0.3294776496871761,-0.31855731507490576,-0.29289225189514223,-0.29819422945685375,-0.29013825127894094,-0.29119959262627937,-0.3031954373709859,-0.3339688202129331,-0.32171986697857285,-0.3013722570936619,-0.27145871880719236,-0.2635091878269395,-0.25156914630949495,-0.23775883316508833,-0.20349579785937358,-0.17845605370681328,-0.17043390387348425,-0.16200866748445442,-0.14750587086062786,-0.13617250666042569,-0.10052254498386205,-0.09001735161734986,-0.08823120213311327,-0.0873389803476825,-0.08955042991924463,-0.08849230856906823,-0.08589854263949714,-0.11395536229277442,-0.12552304787628585,-0.1523755216646112,-0.1635343349399391,-0.13904240212060487,-0.17800508977421256,-0.20800565887067546
rotD50,"AvgSA([0, 3])",3.0,0.7863996283093769,-0.15179083386530412,1.0000000000000004,0.8625336889792912,0.7926205684149192,0.7786309692672709,0.7353640603688691,0.7119146179185222,0.6861489396237199,0.6812647985050864,0.7267749228460786,0.758232521108172,0.7968064187084096,0.8365637155533124,0.8600779085545168,0.8820023021634866,0.8975495310915188,0.9160285737839053,0.9401060379892504,0.9547475590869506,0.9580053533165646,0.9607006415892605,0.9652367630941168,0.9657875663776121,0.9679014330327048,0.9659328905986415,0.9636728382820025,0.9610366859573372,0.9579694324904509,0.9587099164423358,0.9556149089335073,0.9379580506045985,0.9304716963372381,0.8678606562227115,0.8616002664433136,0.7819688114342398,0.7692054259705691,0.7522457064017304
rotD50,"AvgSA([0, 6])",6.0,0.6648049524286652,-0.12284550974563685,0.8625336889792911,1.0000000000000013,0.6648275246174284,0.6581660207726757,0.6333202521731748,0.6134114483608011,0.5924330514029991,0.5701436995494259,0.6079681274775725,0.617357025592537,0.6381297815694783,0.658847723414928,0.6743074021871276,0.6997846620855485,0.7258232527918184,0.7423251824651285,0.7623826822342705,0.7802260469589877,0.78851242774428,0.7991694286999657,0.8146011804151072,0.8213555432831832,0.8330419060610342,0.826655320463593,0.8292028838509916,0.8326456530189505,0.8293600115222152,0.8486985923527888,0.8656336461050534,0.8820483448506645,0.8857615849032209,0.9181139261285111,0.9090455484845992,0.953645912639064,0.9391801598949875,0.9206730548067508
rotD50,PGA,None,0.8373969313871726,-0.329477649687176,0.7926205684149192,0.6648275246174283,1.0000000000000007,0.9982330841459667,0.984147842423445,0.975652862649627,0.9649843400359317,0.9632995397042103,0.9726484809882803,0.9672009997869015,0.9491542596091149,0.9378779805240532,0.9190974897209768,0.8997055987588449,0.8835452726615318,0.8681926092530762,0.835982552645087,0.8049378312816671,0.7896140235064679,0.780141503829573,0.7568333926973881,0.7378366211176476,0.7043210077973994,0.687235899393811,0.6708791747491357,0.6644462714563566,0.6642184304023079,0.6632970380004288,0.662598327439616,0.6743352519829127,0.6820033140720206,0.6216650347095188,0.6323452326369211,0.6002742664602602,0.6162273056633683,0.6223848588529178
rotD50,SA,0.025,0.8275421942970852,-0.3185573150749057,0.7786309692672709,0.6581660207726756,0.9982330841459667,1.000000000000001,0.9907103530378124,0.982483905392964,0.9703749121235875,0.9665431455551912,0.9713417694426832,0.9616802878652772,0.9390785769055545,0.9252250442358756,0.9064226095943986,0.8862173354015702,0.8698655050623418,0.8539408277201197,0.8209642162573355,0.7893899363409909,0.7738746965236736,0.7642948886250351,0.7403303282700326,0.721570548011391,0.6883716145349525,0.671636982580251,0.6555106124070396,0.649674550114958,0.6493644881421712,0.6495365257973545,0.6505226647976312,0.6633195126180791,0.671093529716594,0.6130761386756732,0.6241362797778541,0.5956651195284776,0.6115577854854064,0.6168346626193721
rotD50,SA,0.04,0.8029490459763279,-0.29289225189514223,0.7353640603688691,0.6333202521731748,0.9841478424234451,0.9907103530378124,1.0000000000000013,0.9938638119919119,0.9790316655072072,0.9666999222553815,0.9595036200595086,0.9387558989702968,0.9062851303890561,0.8875809326112916,0.8685726635025438,0.8469296067398338,0.8304657977123331,0.8127717869790788,0.7780522111179906,0.7449691993392858,0.7292923975914646,0.7198704368741834,0.6939222893535786,0.6756397867322946,0.6429901298139991,0.6269495020314861,0.6107630783828213,0.6062987820151929,0.606393936800963,0.6076042731648045,0.611496497435934,0.6276506768276174,0.6361858080615597,0.5846384909822192,0.597486450620537,0.5792958887869031,0.5973842446325242,0.6035260357763356
rotD50,SA,0.05,0.7955827831294774,-0.29819422945685375,0.7119146179185222,0.613411448360801,0.975652862649627,0.982483905392964,0.9938638119919119,1.0000000000000016,0.9856500639110533,0.969581491636866,0.9551715488371717,0.9277672845979812,0.8910292664472079,0.8712086993780019,0.8480120685793714,0.8258300086159822,0.8095437024552287,0.7915095597031113,0.7544225509999831,0.7227203387069422,0.7072664036117625,0.6976874033405978,0.6710611008273795,0.6528035232724254,0.6197986147604095,0.6035107022371231,0.5871370203125722,0.5824165755156657,0.5827581357253975,0.5828025952751553,0.5876705146868054,0.6052265747061393,0.6139285178695006,0.5675465058816911,0.5807939967779524,0.5620708700024157,0.5808849838569775,0.5891125553811811
rotD50,SA,0.07,0.770114515770416,-0.2901382512789409,0.6861489396237199,0.592433051402999,0.9649843400359317,0.9703749121235875,0.9790316655072071,0.9856500639110533,1.0000000000000002,0.9816987379731636,0.9553409110728927,0.9211042749196702,0.8800967436966769,0.8571515227104687,0.8279949835690932,0.8046084511374101,0.7862006101260274,0.7680155954460485,0.7315680205688099,0.6990431607820221,0.6826059330892793,0.6730990852344058,0.6466341121548744,0.6289115251174395,0.5959096363644539,0.5804382767841422,0.5623369888479517,0.5571892510048942,0.5575237680337926,0.5562554439398364,0.5625288177976964,0.5819760154918469,0.5907943519722052,0.5485147752965297,0.5617622505919757,0.5454093578545233,0.5642420577911769,0.5721112715055758
