,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.3184693908363552,0.848432898938687,0.7953941381349549,0.8815765577219328,0.8716744470277853,0.8333553850885147,0.830524104367441,0.812708809419982,0.8202036498931328,0.8709413086426717,0.8625320947869265,0.8703422118705272,0.866574138970603,0.8751511063970467,0.8756416948573134,0.8617885498937446,0.8425455347725008,0.8200324678690945,0.8027034502283439,0.7941517969381948,0.7930030007148947,0.7941141106230819,0.7881426216935391,0.7761621789690171,0.7677534832319298,0.7703274728940497,0.783487455167159,0.7943567274112898,0.800200804483212,0.80618353317969,0.7907936741622367,0.8013870488330271,0.7581137387449035,0.7715009036272353,0.7895740697218033,0.8146253220576226,0.8387033189007219
GM,RSD595,None,-0.3184693908363552,1.0,-0.29037125197866004,-0.3475722533291546,-0.23376904382646618,-0.21794007938457322,-0.15550291117839057,-0.1659584015016832,-0.2112869201166508,-0.23501330309109278,-0.2241133167515301,-0.24227895597522298,-0.23717807213469633,-0.22742121985119973,-0.22142068133156256,-0.2129167372941194,-0.22504964410530787,-0.2458546185625953,-0.2514950725280948,-0.24039468486618812,-0.22695022396565848,-0.2077309090387518,-0.20013773374718918,-0.2114361949462201,-0.2386960256616634,-0.25523765059769105,-0.25863575910278913,-0.2607517955660926,-0.261449050068235,-0.27820624715431563,-0.3168784291587788,-0.3368946831427195,-0.34825536743174523,-0.35479107652747705,-0.3613035788541397,-0.3394334635948371,-0.34251516281308103,-0.3585956398577457
rotD50,"AvgSA([0, 3])",3.0,0.8484328989386871,-0.29037125197866004,1.0,0.9682251856750995,0.796084565587375,0.7794811670362495,0.7264453922986723,0.7173672883134029,0.7016659773121461,0.710944917520203,0.7857003839088006,0.8000609244838202,0.8253161892222214,0.8567200040050573,0.8991287938237061,0.9215693772319252,0.9336536523847425,0.9388764047434617,0.9404177626265517,0.9465124507419402,0.9490143073159768,0.9513422991578884,0.9612817960913876,0.9632634808468246,0.9645208875966267,0.9595431488760959,0.9635066732220371,0.9720927450285188,0.9774970540949033,0.9771441051408358,0.983073905718854,0.9755664824209573,0.9686983628742974,0.9446936637842108,0.94402290861523,0.9373162221038102,0.9405223061872406,0.9399537866366755
rotD50,"AvgSA([0, 6])",6.0,0.795394138134955,-0.3475722533291546,0.9682251856750995,1.0,0.8030645560112689,0.7907094888837364,0.7492114228267426,0.7419956913495599,0.7268254522166191,0.7310023607189885,0.7943849005082938,0.7760872402119188,0.7686196984510364,0.764380951021048,0.8030034537127951,0.8274992388374535,0.8440502479009224,0.8474067942499102,0.8509350351393851,0.8604868850988532,0.8658773709968108,0.871321160878377,0.8940997900605335,0.9000043397591551,0.9062799596629971,0.9040089347461997,0.9129881469066007,0.9261895272569863,0.9368004495828504,0.9512273806508404,0.970101276091055,0.976763542663538,0.9751016057362148,0.984504228143447,0.9847159580812614,0.9843038699924523,0.982081725049502,0.9776999818187415
rotD50,PGA,None,0.8815765577219329,-0.23376904382646618,0.796084565587375,0.8030645560112689,1.0,0.9989684043055782,0.9811698714922898,0.9847823804023,0.9772302908666883,0.982911120945274,0.9813473997587531,0.9544821265335498,0.9222074417997214,0.8490936744826324,0.8036889999096932,0.761136140923153,0.7163949663505795,0.6825360420085459,0.6524025672529885,0.6427094953235408,0.6410892385189545,0.6501639784992619,0.6754540757135775,0.6760615432538198,0.6785462240990735,0.6605541800612252,0.6677898239096398,0.6882759441282125,0.7097638373240939,0.7457950367459869,0.7685752852571217,0.780539121181122,0.7973789475195726,0.7831375831179643,0.8058317171062347,0.8350856070259121,0.8529816811311229,0.8653375405460526
rotD50,SA,0.025,0.8716744470277854,-0.21794007938457322,0.7794811670362496,0.7907094888837364,0.9989684043055782,1.0,0.9884953325411989,0.9905590813609212,0.981697310354631,0.985023011578763,0.9765568066093117,0.9451920845568411,0.9101897543019491,0.833311479759864,0.7850048679226685,0.7410037225374799,0.6950980452572086,0.6607604597669975,0.6312468221935092,0.6220219056627166,0.6204811476169024,0.6301593300568443,0.6564812989485546,0.6580920194201085,0.6615559854757939,0.6436877079336782,0.650911033400912,0.6715806767398391,0.6930474507504705,0.7299942100341864,0.7529518228699743,0.7652681873998083,0.7827259376043156,0.770713830585252,0.7936740457421796,0.8250051637870656,0.8427352425236887,0.8549664793651726
rotD50,SA,0.04,0.8333553850885147,-0.15550291117839055,0.7264453922986722,0.7492114228267425,0.9811698714922897,0.9884953325411988,1.0,0.9954794757541935,0.9817702979595576,0.9769375441850945,0.9478185776037613,0.9033293983006213,0.8615085580546493,0.7768414999339156,0.7222699039385818,0.6766940335145516,0.629820968866373,0.5945510579659095,0.5673243821442424,0.5612941236447868,0.5608495966043757,0.5722044278129412,0.6006461731959829,0.6044905183541904,0.6092929556803801,0.5920026481218731,0.5991929809232518,0.6209384263603572,0.6412589367977324,0.6794872160294003,0.7010244694295971,0.713827221139048,0.7337289270759244,0.7282486205783671,0.7517728184279114,0.7893180012586104,0.8066495884727014,0.8176228430437419
rotD50,SA,0.05,0.8305241043674412,-0.16595840150168323,0.717367288313403,0.7419956913495599,0.9847823804023,0.9905590813609213,0.9954794757541936,1.0,0.9877309076514352,0.9842066792799519,0.958644339197276,0.9138211097038582,0.8672141632447323,0.7748781875698657,0.7162562761815328,0.6668082842857859,0.6184769042426328,0.5828725438261024,0.5552774204681548,0.5469276936762074,0.5456541640627519,0.5566318752620152,0.5865862749365022,0.5895723622645569,0.5951601604145376,0.5781928872989235,0.586148471711452,0.6079338734894285,0.6286283863457863,0.6687739385565927,0.692605060591904,0.7091980672699009,0.7287095564341438,0.7223138201934464,0.7460426022601332,0.7826106978699642,0.799947580657314,0.8107484065443886
rotD50,SA,0.07,0.8127088094199821,-0.2112869201166508,0.7016659773121461,0.7268254522166191,0.9772302908666883,0.981697310354631,0.9817702979595577,0.9877309076514352,1.0,0.9904141227923655,0.948395015645221,0.9008864683854492,0.853411632043865,0.7543549020414979,0.696054758978416,0.6479644557890722,0.6021918853929359,0.5709721033585947,0.5405946084784639,0.5301271454544901,0.5265235761332175,0.5360537213140029,0.5638236525720747,0.5675308610352686,0.5789484337810826,0.5638369513964281,0.5707067812472867,0.5915943694098409,0.6132148619669597,0.6529778100919716,0.6811787573272527,0.6975392934373134,0.7176238378474469,0.7098683012117447,0.7327302492571381,0.7669002454232997,0.7818304653724267,0.7926307479959273
