,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,1.0,-0.35568763709963586,0.8639103226477185,0.8766317236552044,0.9134429707319792,0.9047918787307245,0.8638331332054702,0.8612318413804496,0.8437324152876619,0.8531402178692508,0.8922116197210196,0.8886530440728316,0.8870614755999193,0.8785316757628435,0.8755322441856792,0.866326494752047,0.8517796215043808,0.8422405116095283,0.8251304352543247,0.8116976518180811,0.8029236880925401,0.7991729878263197,0.7979513609173816,0.7929384217153133,0.7821381670900136,0.7740165420296715,0.775542238290106,0.785679638671789,0.7922769089808726,0.8031116436315839,0.8098869457508286,0.7988018192583973,0.8064218150803366,0.7878585731292381,0.7874004605823849,0.7843539413450722,0.7881520215050604,0.7889418909772198
GM,RSD595,None,-0.3556876370996358,1.0,-0.3401428048778166,-0.36840956907216266,-0.34986124792123974,-0.3362881159077124,-0.2751398635482585,-0.2724293666750746,-0.28775728057368916,-0.3148539596984954,-0.33621965866886855,-0.3565324747276606,-0.35498964065344374,-0.3423664241118452,-0.32412489750261064,-0.3221934747790405,-0.32244511107057916,-0.32416275454107524,-0.31751025740625455,-0.3106162502487701,-0.30232128837850847,-0.2899914405101073,-0.2852881191954426,-0.28732187530112446,-0.2968338207807038,-0.3102984787257335,-0.31214826811842933,-0.3204580508981646,-0.3233371503612388,-0.3174499183283138,-0.35873645450151126,-0.37494293563068554,-0.39633887382416466,-0.3909252788418726,-0.4015109651029591,-0.3894631922459344,-0.3993270873224398,-0.41084565363429004
rotD50,"AvgSA([0, 3])",3.0,0.8639103226477184,-0.3401428048778166,1.0,0.9875235644738066,0.8167184935866393,0.8010910936888109,0.7395593825624472,0.7300626588495609,0.7023190228556264,0.7202161397393935,0.7853272167060669,0.8278002025820503,0.8629965792176897,0.8877017952757508,0.9123609523480106,0.9221496274074044,0.9317481846194205,0.9429538505839404,0.9550145137301342,0.9607113489592729,0.9630367248321184,0.9640456734405456,0.9686018828700007,0.9707716869552304,0.9721310304194909,0.9712801734676869,0.9742214782498555,0.979585320816782,0.9821031946562676,0.982747772939811,0.9784568766443967,0.9631744807788086,0.9490577177342744,0.9197863826169497,0.9032456919978205,0.880611349337351,0.8608668779127029,0.8399932101273276
rotD50,"AvgSA([0, 6])",6.0,0.8766317236552043,-0.36840956907216266,0.9875235644738066,1.0,0.8503006531448595,0.8368457604857387,0.7817434998760483,0.7695074876922724,0.7442579137898816,0.7584281493760483,0.8208132082947066,0.8487614415272798,0.8703689891006384,0.8823944698955314,0.8987872904147671,0.9069235483396314,0.9143268337277661,0.9189766578619345,0.9220812623801631,0.9262478770026042,0.9285570227768586,0.9279710936014427,0.9336190539709642,0.9352589756387358,0.9359229047585069,0.9339240709111281,0.9387295804803409,0.9473945907120082,0.9552174738558734,0.9699848583137868,0.981365046092603,0.9825035286608411,0.9810293861435825,0.9640638037858107,0.9557435891653772,0.9414551948722926,0.9271888604009363,0.9107913966035478
rotD50,PGA,None,0.9134429707319791,-0.34986124792123974,0.8167184935866393,0.8503006531448595,1.0,0.9988363689624382,0.9760221605224213,0.9758047649431206,0.963443618561446,0.969964040604514,0.9676961473899114,0.940698612119116,0.9069948693187907,0.8591525553088801,0.8231524408269787,0.7904570664203125,0.7619160073391961,0.7440216194665232,0.7234754368230892,0.7114261686726744,0.7056381444797105,0.7065530198850959,0.7156842053362111,0.7138475618848519,0.7104830918138135,0.7007722007131649,0.7056084699312969,0.7207288573992033,0.7322042260911057,0.7600979109012459,0.778973337192388,0.7880642711241362,0.8004116739301204,0.7818398516411373,0.7903631359699596,0.7948018671636217,0.7975676625824853,0.7936901068668051
rotD50,SA,0.025,0.9047918787307245,-0.33628811590771246,0.801091093688811,0.8368457604857388,0.9988363689624383,1.0,0.9843282960169264,0.9830195729708203,0.9697381869604319,0.9731673048345726,0.963246047967439,0.9308107886226346,0.8944677889769062,0.8438001834166912,0.8056534831260577,0.7719829461287254,0.7427095374576992,0.7242999390574785,0.7040811519663156,0.6923068840071571,0.6866102459777744,0.6877852702162759,0.6977020175518541,0.6961901511980337,0.6933607223201401,0.683617486978826,0.6884618543930665,0.7037502810499158,0.7153839050969563,0.745543937620573,0.7643382589148512,0.774182303079522,0.7873061195496007,0.770281489044544,0.7795395348865732,0.7848045646441895,0.7877353241112658,0.7841154946427951
rotD50,SA,0.04,0.8638331332054702,-0.2751398635482585,0.7395593825624472,0.7817434998760483,0.9760221605224213,0.9843282960169263,1.0,0.990887815377127,0.9754366056329342,0.9664926833010292,0.9313541776193758,0.8806175244050617,0.8369626998236762,0.7797476619830142,0.736524632075387,0.7012945112382125,0.6706766914115555,0.65167376356275,0.6335142737216803,0.6231957306927516,0.618114124733191,0.6199456818003357,0.6319029932873991,0.6311566839864374,0.6294476686267091,0.619609600409267,0.6241878420947378,0.6403130678173329,0.6516413990665724,0.6879345880199257,0.7049850884583312,0.7164522440983777,0.7328529009318874,0.7220286762826538,0.7336584006994702,0.7422361832745147,0.7456984633416486,0.7419231986048423
rotD50,SA,0.05,0.8612318413804496,-0.27242936667507467,0.730062658849561,0.7695074876922725,0.9758047649431206,0.9830195729708203,0.990887815377127,1.0,0.9829802498502686,0.9737510870502267,0.9364482671198925,0.8823519366330624,0.8344028305220486,0.772805072169201,0.727456341715278,0.690422131316624,0.6601615290070684,0.6411303522770774,0.6238521225158933,0.6129825936950437,0.6072104558274385,0.6095300284986381,0.6220696919432702,0.6212257573174065,0.6199398000576083,0.6100576137998339,0.6150996696784102,0.6310265627957493,0.6421257379143345,0.6795949061057339,0.6961209054994436,0.7071921440150836,0.7199770950650528,0.7053321005013662,0.7154844123074637,0.720447679761188,0.723211975677146,0.718818392669482
rotD50,SA,0.07,0.8437324152876617,-0.28775728057368916,0.7023190228556263,0.7442579137898816,0.9634436185614459,0.9697381869604318,0.9754366056329341,0.9829802498502684,1.0,0.9781533711472411,0.9245609375023829,0.8631852719646276,0.8121485174935205,0.7446757811568826,0.6986323620347068,0.6619840711922589,0.6326105321603434,0.6145411154024483,0.5952120206416259,0.5848915441309432,0.5779616597958878,0.5793274331714283,0.5900594275068706,0.5891000101524887,0.5905008005611522,0.5812087817795102,0.5866414739603228,0.6016291636536895,0.6133839190104865,0.6493360274779602,0.6738945979249699,0.6840003873922048,0.6991375060141627,0.6828699161716203,0.6931760548240614,0.6978598759745122,0.6997308803794077,0.6974252610923062
