,,,GM,GM,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50,rotD50
,,,IA,RSD595,"AvgSA([0, 3])","AvgSA([0, 6])",PGA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA
,,,None,None,3.0,6.0,None,0.025,0.04,0.05,0.07,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.6,0.7,0.75,0.8,0.9,1.0,1.2,1.4,1.6,1.8,2.0,2.5,3.0,3.5,4.0,4.5,5.0,6.0,7.0,8.0
GM,IA,None,0.9999999999999977,-0.38006333450877533,0.857456641487638,0.772720591320589,0.8955053542564736,0.8862803370276927,0.8437361142015889,0.8384012078764168,0.8085157977031955,0.8176982137405863,0.8677443065113705,0.8712202221728632,0.8743394162437813,0.8745684067965,0.8758607593907353,0.8681329046907112,0.8556425126152123,0.8503800475114137,0.838751309463778,0.8279398643366326,0.8194567289682501,0.8163938176126249,0.8146233116997353,0.8112370296877542,0.8005561523537476,0.7929084103710813,0.7954409495157071,0.800441931421148,0.8054917367959596,0.8021500879010229,0.8212379513768143,0.7856125627392012,0.7851162438413175,0.7366233961008651,0.7297016877708202,0.6912490693602023,0.6873915174124579,0.6846003500706458
GM,RSD595,None,-0.3800633345087754,0.9999999999999954,-0.36458873477281617,-0.38310675446244,-0.36666299924315515,-0.3520402412900013,-0.28771466103102655,-0.2858030153796275,-0.29754819926252424,-0.32871910022125717,-0.35414018004366205,-0.3785854508836094,-0.3816496036737822,-0.3715383987745248,-0.3538867925204693,-0.3480621302719295,-0.344308455055872,-0.3490546010078363,-0.346424667108889,-0.34139390859259816,-0.332468049894711,-0.32031015478794533,-0.3122472615070572,-0.3144309423020386,-0.3237108034501118,-0.33382190959249974,-0.33581753171593887,-0.3431647838256882,-0.3428035369942184,-0.3473703983366492,-0.36552211128692724,-0.38444567281454367,-0.3961005317405157,-0.38302736846585966,-0.3837002182765668,-0.3649008045639661,-0.36285966118158064,-0.3665730499540373
rotD50,"AvgSA([0, 3])",3.0,0.8574566414876381,-0.36458873477281617,1.0000000000000016,0.8764657297270053,0.7863474172839419,0.7707998093845811,0.7091196889266491,0.6971427516558238,0.6572401749328025,0.6758811033550153,0.7540175160007179,0.8012490286848921,0.8426202765326734,0.8673864701918108,0.8908071321779044,0.90552926039386,0.9173876345709406,0.9273393608503846,0.9421644816681543,0.9494806275746578,0.9499206036725824,0.949320845062809,0.9541984639371273,0.9551212628527048,0.9581057118609114,0.9576032345443567,0.958887819387723,0.9618929625738504,0.9624026923065839,0.980154049682656,0.9804022661323863,0.9361631221900464,0.9187531764066986,0.8438270683385088,0.8248368317991703,0.7679785466550243,0.7469525035461325,0.7280217569182135
rotD50,"AvgSA([0, 6])",6.0,0.772720591320589,-0.38310675446243997,0.8764657297270053,1.0000000000000009,0.7689813222200821,0.7583901347292759,0.7124198868367658,0.7017701222207324,0.6681302536857762,0.6828102046695728,0.7499578560062213,0.7654591885328194,0.7714565785240117,0.7641762305038333,0.7667802100333493,0.776072065425479,0.7875992413825585,0.7933764809737927,0.808472813701714,0.8112304913725371,0.8134524797855588,0.8137925521274634,0.8247095149421392,0.8240283234787692,0.8263575224977329,0.8167991188585425,0.8152490773017502,0.8161146854828573,0.8188897641081777,0.8492595711543075,0.8671890613062548,0.9106239834926778,0.9125045973072493,0.9645491242333423,0.9581552942227223,0.9459166329936026,0.9280225281139413,0.9112125514893138
rotD50,PGA,None,0.8955053542564737,-0.36666299924315515,0.7863474172839419,0.7689813222200822,1.0000000000000002,0.9987889819181353,0.9761304932904221,0.975044625622974,0.9591501590298468,0.9659460817599492,0.9666908802146902,0.9406397923906691,0.9045988151914786,0.853928221034179,0.8141792801604234,0.7787571414220753,0.7463798314643518,0.7271268382383235,0.7042530516467418,0.6922989818472114,0.6863070863074533,0.6877772396595262,0.6976870552311801,0.6954577883598506,0.691363096804327,0.6804169667253736,0.6847306779685086,0.6964807089307761,0.7093671831560738,0.7309363966585014,0.7639844739035554,0.7661725008367362,0.7815193003982057,0.7539387991968208,0.7621666256473917,0.7510095471932536,0.7528206080565086,0.7507002210119428
rotD50,SA,0.025,0.8862803370276927,-0.3520402412900012,0.770799809384581,0.7583901347292759,0.9987889819181351,0.9999999999999984,0.984426602227975,0.9824471837553698,0.9659716856756602,0.9695619156943454,0.9623290558651965,0.9306956489728602,0.8919916022518297,0.8384253803797441,0.7965057794621758,0.7600976211704727,0.7269662348422076,0.7072448173396879,0.6846168822826088,0.6728067843101799,0.6668593587325546,0.668608365256759,0.6792353335231203,0.6773449983672285,0.6736865661905471,0.6626767002792305,0.6669627604600871,0.6790907668583123,0.6921828651381543,0.7155481367291107,0.7493852378787674,0.7524345254453401,0.7685773879585833,0.7431458541350152,0.7521627501668156,0.742878443680605,0.7450743486547325,0.7433088322522967
rotD50,SA,0.04,0.843736114201589,-0.28771466103102655,0.7091196889266491,0.7124198868367659,0.976130493290422,0.9844266022279751,0.9999999999999994,0.9907481915167503,0.9732728254950398,0.9641239620061083,0.9305374417096083,0.8805829131729077,0.834151698202355,0.7739485836287143,0.7270850451184414,0.6890090589044447,0.6544764756756857,0.6345555006187735,0.6142231072714196,0.6032619695453788,0.5976668117657754,0.6003214271616626,0.6128862775275954,0.6117417104584145,0.6088547247074572,0.5978416813429233,0.6018849123099322,0.6155200023388444,0.6283537385426781,0.6561825052533358,0.6910103365355068,0.696912713764305,0.7155990726089881,0.6974054029402256,0.7084372260917072,0.7053017232865265,0.7086308158924214,0.7074214478553684
rotD50,SA,0.05,0.8384012078764169,-0.2858030153796275,0.6971427516558238,0.7017701222207324,0.975044625622974,0.98244718375537,0.9907481915167503,0.9999999999999981,0.9816087927318596,0.9721066711900519,0.935971122524051,0.8814747680203402,0.8294054135073204,0.7639229876572822,0.7144543508919347,0.6746672854553575,0.6402230834104253,0.6196886437305563,0.5996521112283636,0.5882824429186023,0.5821200873651325,0.5847844406817992,0.5978907405569313,0.596619289907859,0.593782063020724,0.5821499527061554,0.5864076034746726,0.599327366207941,0.612249606711252,0.6417918473647647,0.6784302387141099,0.6860490809974111,0.7035922872405512,0.684417617876484,0.6954438234843039,0.6922806554356394,0.6954985700436206,0.69370735563632
rotD50,SA,0.07,0.8085157977031955,-0.2975481992625242,0.6572401749328024,0.6681302536857762,0.9591501590298467,0.9659716856756602,0.9732728254950398,0.9816087927318595,0.9999999999999993,0.9777864240077444,0.9219630095204516,0.8575090350285264,0.8005476947127027,0.7272061620779091,0.6757022471772341,0.634806842594239,0.6001223755065211,0.5797038886558792,0.5571388688292628,0.5464585121763608,0.5391581695798353,0.5409420005447897,0.5527403765456061,0.5509506333740406,0.5511848551220836,0.5401878034695387,0.5445823435633569,0.5573373856561674,0.5714150250810788,0.6024075138144873,0.6435312010405821,0.6536074377127395,0.6750884809581189,0.6561490324694631,0.6689175617358182,0.6687412604196975,0.6724491518521498,0.673135969711092
