storeys,group_id,folder,representative_site,representative_tag,n_sites,sites,median,dispersion,imls,target_pocs,n_extra
3,0,D:/08_wp1_fixed_record_sets/group_3s_00/3s/mdof,0,3s_cbf_dc2_site0,8,0 4 8 19 25 26 27 29,0.3931420206240298,0.21623693178476358,0.314 0.372 0.415 0.492 0.536,0.15 0.40 0.60 0.85 0.85,1
3,1,D:/08_wp1_fixed_record_sets/group_3s_01/3s/mdof,1,3s_cbf_dc2_site1,6,1 2 5 6 16 23,0.3819996601210207,0.1904015439992485,0.314 0.364 0.401 0.465,0.15 0.40 0.60 0.85,0
3,2,D:/08_wp1_fixed_record_sets/group_3s_02/3s/mdof,3,3s_cbf_dc2_site3,1,3,0.3825272841732061,0.18886796568351774,0.315 0.365 0.401 0.465 0.481,0.15 0.40 0.60 0.85 0.85,1
3,3,D:/08_wp1_fixed_record_sets/group_3s_03/3s/mdof,7,3s_cbf_dc2_site7,5,7 10 11 18 24,0.46623040775284913,0.19081191701363567,0.383 0.444 0.489 0.568,0.15 0.40 0.60 0.85,0
3,4,D:/08_wp1_fixed_record_sets/group_3s_04/3s/mdof,9,3s_cbf_dc2_site9,3,9 20 22,0.3601987280197424,0.18211704222158842,0.298 0.344 0.377 0.435 0.476,0.15 0.40 0.60 0.85 0.85,1
3,5,D:/08_wp1_fixed_record_sets/group_3s_05/3s/mdof,12,3s_cbf_dc2_site12,1,12,0.3622831388882218,0.18802198392758604,0.298 0.345 0.380 0.440 0.465,0.15 0.40 0.60 0.85 0.85,1
3,6,D:/08_wp1_fixed_record_sets/group_3s_06/3s/mdof,13,3s_cbf_dc2_site13,2,13 28,0.3562756440191636,0.1807604047182646,0.295 0.340 0.373 0.430 0.471,0.15 0.40 0.60 0.85 0.85,1
3,7,D:/08_wp1_fixed_record_sets/group_3s_07/3s/mdof,14,3s_cbf_dc2_site14,1,14,0.36267328102395674,0.18873379502886875,0.298 0.346 0.380 0.441 0.466,0.15 0.40 0.60 0.85 0.85,1
3,8,D:/08_wp1_fixed_record_sets/group_3s_08/3s/mdof,15,3s_cbf_dc2_site15,1,15,0.3606346048078661,0.18453952507398694,0.298 0.344 0.378 0.437 0.456,0.15 0.40 0.60 0.85 0.85,1
3,9,D:/08_wp1_fixed_record_sets/group_3s_09/3s/mdof,17,3s_cbf_dc2_site17,2,17 21,0.43093436740684643,0.17161689736636968,0.334 0.361 0.413 0.450 0.515 0.575,0.15 0.15 0.40 0.60 0.85 0.85,2
3,10,D:/08_wp1_fixed_record_sets/group_3s_10/3s/mdof,30,3s_cbf_dc2_site30,1,30,0.4561761892123099,0.21599126253908682,0.340 0.365 0.432 0.482 0.571 0.681,0.15 0.15 0.40 0.60 0.85 0.85,2
3,11,D:/08_wp1_fixed_record_sets/group_3s_11/3s/mdof,31,3s_cbf_dc2_site31,4,31 34 43 59,0.789180377035858,0.25911542757184575,0.603 0.739 0.843 1.032,0.15 0.40 0.60 0.85,0
3,12,D:/08_wp1_fixed_record_sets/group_3s_12/3s/mdof,32,3s_cbf_dc2_site32,4,32 33 36 50,0.4470725842025201,0.17083117720582588,0.375 0.428 0.467 0.534 0.563,0.15 0.40 0.60 0.85 0.85,1
3,13,D:/08_wp1_fixed_record_sets/group_3s_13/3s/mdof,35,3s_cbf_dc2_site35,3,35 39 58,0.4332417257452942,0.1776875715054676,0.360 0.414 0.453 0.521 0.538,0.15 0.40 0.60 0.85 0.85,1
3,14,D:/08_wp1_fixed_record_sets/group_3s_14/3s/mdof,37,3s_cbf_dc2_site37,1,37,0.45414047814640535,0.21709452700399565,0.363 0.430 0.480 0.569 0.649,0.15 0.40 0.60 0.85 0.85,1
3,15,D:/08_wp1_fixed_record_sets/group_3s_15/3s/mdof,38,3s_cbf_dc2_site38,1,38,0.8758756045036302,0.3252593297433471,0.625 0.807 0.951 1.227,0.15 0.40 0.60 0.85,0
3,16,D:/08_wp1_fixed_record_sets/group_3s_16/3s/mdof,40,3s_cbf_dc2_site40,1,40,0.44954061204007495,0.212113422875249,0.337 0.361 0.426 0.474 0.560 0.666,0.15 0.15 0.40 0.60 0.85 0.85,2
3,17,D:/08_wp1_fixed_record_sets/group_3s_17/3s/mdof,41,3s_cbf_dc2_site41,3,41 54 57,0.5873798462652654,0.22587692761871148,0.465 0.555 0.622 0.742,0.15 0.40 0.60 0.85,0
3,18,D:/08_wp1_fixed_record_sets/group_3s_18/3s/mdof,42,3s_cbf_dc2_site42,2,42 56,0.5535757192825865,0.23168695451378404,0.435 0.522 0.587 0.704 0.763,0.15 0.40 0.60 0.85 0.85,1
3,19,D:/08_wp1_fixed_record_sets/group_3s_19/3s/mdof,44,3s_cbf_dc2_site44,3,44 46 49,0.5871225593363817,0.24534250150125778,0.455 0.552 0.625 0.757,0.15 0.40 0.60 0.85,0
3,20,D:/08_wp1_fixed_record_sets/group_3s_20/3s/mdof,45,3s_cbf_dc2_site45,2,45 52,0.615520965818806,0.21061684581525306,0.495 0.584 0.649 0.766 0.800,0.15 0.40 0.60 0.85 0.85,1
3,21,D:/08_wp1_fixed_record_sets/group_3s_21/3s/mdof,47,3s_cbf_dc2_site47,1,47,0.6155441485356533,0.21040620173993899,0.495 0.584 0.649 0.766 0.800,0.15 0.40 0.60 0.85 0.85,1
3,22,D:/08_wp1_fixed_record_sets/group_3s_22/3s/mdof,48,3s_cbf_dc2_site48,2,48 51,0.7670476423986337,0.2639359122585532,0.583 0.717 0.820 1.008,0.15 0.40 0.60 0.85,0
3,23,D:/08_wp1_fixed_record_sets/group_3s_23/3s/mdof,53,3s_cbf_dc2_site53,1,53,0.7876307266661481,0.2558931634297706,0.604 0.738 0.840 1.027,0.15 0.40 0.60 0.85,0
3,24,D:/08_wp1_fixed_record_sets/group_3s_24/3s/mdof,55,3s_cbf_dc2_site55,1,55,0.5805885522719614,0.24513541530679264,0.450 0.546 0.618 0.749,0.15 0.40 0.60 0.85,0
