storeys,group_id,folder,ida_tag,representative_site,representative_tag,n_sites,sites,results_migrated,needs_run
3,0,D:/08_wp1_fixed_record_sets/group_3s_00/3s/mdof,ida_femap695,0,3s_cbf_dc2_site0,8,0 4 8 19 25 26 27 29,False,False
3,1,D:/08_wp1_fixed_record_sets/group_3s_01/3s/mdof,ida_femap695,1,3s_cbf_dc2_site1,6,1 2 5 6 16 23,False,False
3,2,D:/08_wp1_fixed_record_sets/group_3s_02/3s/mdof,ida_femap695,3,3s_cbf_dc2_site3,1,3,False,False
3,3,D:/08_wp1_fixed_record_sets/group_3s_03/3s/mdof,ida_femap695,7,3s_cbf_dc2_site7,5,7 10 11 18 24,False,False
3,4,D:/08_wp1_fixed_record_sets/group_3s_04/3s/mdof,ida_femap695,9,3s_cbf_dc2_site9,3,9 20 22,False,False
3,5,D:/08_wp1_fixed_record_sets/group_3s_05/3s/mdof,ida_femap695,12,3s_cbf_dc2_site12,1,12,False,False
3,6,D:/08_wp1_fixed_record_sets/group_3s_06/3s/mdof,ida_femap695,13,3s_cbf_dc2_site13,2,13 28,False,False
3,7,D:/08_wp1_fixed_record_sets/group_3s_07/3s/mdof,ida_femap695,14,3s_cbf_dc2_site14,1,14,False,False
3,8,D:/08_wp1_fixed_record_sets/group_3s_08/3s/mdof,ida_femap695,15,3s_cbf_dc2_site15,1,15,False,False
3,9,D:/08_wp1_fixed_record_sets/group_3s_09/3s/mdof,ida_femap695,17,3s_cbf_dc2_site17,2,17 21,False,False
3,10,D:/08_wp1_fixed_record_sets/group_3s_10/3s/mdof,ida_femap695,30,3s_cbf_dc2_site30,1,30,False,False
3,11,D:/08_wp1_fixed_record_sets/group_3s_11/3s/mdof,ida_femap695,31,3s_cbf_dc2_site31,4,31 34 43 59,False,False
3,12,D:/08_wp1_fixed_record_sets/group_3s_12/3s/mdof,ida_femap695,32,3s_cbf_dc2_site32,4,32 33 36 50,False,False
3,13,D:/08_wp1_fixed_record_sets/group_3s_13/3s/mdof,ida_femap695,35,3s_cbf_dc2_site35,3,35 39 58,False,False
3,14,D:/08_wp1_fixed_record_sets/group_3s_14/3s/mdof,ida_femap695,37,3s_cbf_dc2_site37,1,37,False,False
3,15,D:/08_wp1_fixed_record_sets/group_3s_15/3s/mdof,ida_femap695,38,3s_cbf_dc2_site38,1,38,False,False
3,16,D:/08_wp1_fixed_record_sets/group_3s_16/3s/mdof,ida_femap695,40,3s_cbf_dc2_site40,1,40,False,False
3,17,D:/08_wp1_fixed_record_sets/group_3s_17/3s/mdof,ida_femap695,41,3s_cbf_dc2_site41,3,41 54 57,False,False
